country,year,adult_pop,total_pop
AD,1800,1677,2441
AD,1801,1677,2441
AD,1802,1677,2441
AD,1803,1677,2441
AD,1804,1677,2441
AD,1805,1677,2441
AD,1806,1677,2441
AD,1807,1677,2441
AD,1808,1677,2441
AD,1809,1677,2441
AD,1810,1677,2441
AD,1811,1677,2441
AD,1812,1677,2441
AD,1813,1677,2441
AD,1814,1677,2441
AD,1815,1677,2441
AD,1816,1701,2476
AD,1817,1725,2511
AD,1818,1749,2546
AD,1819,1773,2581
AD,1820,1820,2650
AD,1821,1844,2685
AD,1822,1868,2720
AD,1823,1892,2755
AD,1824,1916,2790
AD,1825,1940,2825
AD,1826,1964,2860
AD,1827,1988,2894
AD,1828,1988,2894
AD,1829,2012,2929
AD,1830,2012,2929
AD,1831,2036,2964
AD,1832,2036,2964
AD,1833,2036,2964
AD,1834,2060,2999
AD,1835,2036,2964
AD,1836,2060,2999
AD,1837,2084,3034
AD,1838,2084,3034
AD,1839,2084,3034
AD,1840,2084,3034
AD,1841,2084,3034
AD,1842,2108,3069
AD,1843,2132,3104
AD,1844,2180,3173
AD,1845,2180,3173
AD,1846,2228,3243
AD,1847,2252,3278
AD,1848,2276,3313
AD,1849,2300,3348
AD,1850,2328,3389
AD,1851,2345,3414
AD,1852,2362,3439
AD,1853,2380,3464
AD,1854,2397,3490
AD,1855,2394,3486
AD,1856,2409,3508
AD,1857,2439,3551
AD,1858,2446,3561
AD,1859,2453,3572
AD,1860,2465,3588
AD,1861,2485,3618
AD,1862,2508,3651
AD,1863,2525,3677
AD,1864,2539,3696
AD,1865,2547,3708
AD,1866,2558,3724
AD,1867,2573,3745
AD,1868,2578,3754
AD,1869,2577,3751
AD,1870,2579,3755
AD,1871,2586,3764
AD,1872,2592,3774
AD,1873,2598,3783
AD,1874,2603,3790
AD,1875,2609,3799
AD,1876,2615,3807
AD,1877,2624,3821
AD,1878,2640,3843
AD,1879,2658,3870
AD,1880,2677,3897
AD,1881,2697,3926
AD,1882,2714,3951
AD,1883,2724,3965
AD,1884,2735,3982
AD,1885,2741,3990
AD,1886,2750,4003
AD,1887,2763,4023
AD,1888,2771,4034
AD,1889,2775,4040
AD,1890,2775,4040
AD,1891,2778,4045
AD,1892,2786,4056
AD,1893,2796,4070
AD,1894,2805,4084
AD,1895,2816,4099
AD,1896,2830,4120
AD,1897,2851,4151
AD,1898,2880,4193
AD,1899,2909,4235
AD,1900,2932,4268
AD,1901,2951,4297
AD,1902,2979,4337
AD,1903,3012,4385
AD,1904,3040,4426
AD,1905,3058,4452
AD,1906,3072,4472
AD,1907,3088,4496
AD,1908,3107,4523
AD,1909,3127,4552
AD,1910,3146,4580
AD,1911,3161,4602
AD,1912,3178,4626
AD,1913,3197,4655
AD,1914,3230,4702
AD,1915,3273,4765
AD,1916,3310,4819
AD,1917,3337,4858
AD,1918,3343,4868
AD,1919,3350,4878
AD,1920,3370,4906
AD,1921,3398,4946
AD,1922,3433,4997
AD,1923,3460,5038
AD,1924,3486,5076
AD,1925,3517,5120
AD,1926,3554,5174
AD,1927,3594,5232
AD,1928,3633,5290
AD,1929,3673,5347
AD,1930,3721,5417
AD,1931,3781,5505
AD,1932,3846,5599
AD,1933,3911,5694
AD,1934,3972,5783
AD,1935,4030,5867
AD,1936,4082,5943
AD,1937,4109,5983
AD,1938,4121,6000
AD,1939,4121,6000
AD,1940,4121,5999
AD,1941,4121,5999
AD,1942,4120,5999
AD,1943,4120,5998
AD,1944,4120,5998
AD,1945,4120,5998
AD,1946,4119,5997
AD,1947,4119,5997
AD,1948,4119,5997
AD,1949,4119,5996
AD,1950,4119,5996
AD,1951,4030,5819
AD,1952,3822,5455
AD,1953,3744,5323
AD,1954,3901,5602
AD,1955,4222,6165
AD,1956,4569,6765
AD,1957,4942,7399
AD,1958,5335,8068
AD,1959,5752,8771
AD,1960,6195,9510
AD,1961,6665,10283
AD,1962,7162,11086
AD,1963,7679,11915
AD,1964,8212,12764
AD,1965,8768,13634
AD,1966,9329,14626
AD,1967,9903,15837
AD,1968,10528,17176
AD,1969,11222,18555
AD,1970,11996,19977
AD,1971,12855,21442
AD,1972,13807,22957
AD,1973,14854,24523
AD,1974,15983,26130
AD,1975,17199,27773
AD,1976,18501,29436
AD,1977,19887,31097
