country,percentile,year,avg,share,p_low,p_high
AD,p0p1,2023,0,0,0,0.01
AD,p1p2,2023,3.1,0,0.01,0.02
AD,p2p3,2023,6.5,0,0.02,0.03
AD,p3p4,2023,9.6,0,0.03,0.04
AD,p4p5,2023,12.7,0,0.04,0.05
AD,p5p6,2023,656.1,0.0001,0.05,0.06
AD,p6p7,2023,1716.7,0.0004,0.06,0.07
AD,p7p8,2023,2771.1,0.0006,0.07,0.08
AD,p8p9,2023,3856.3,0.0008,0.08,0.09
AD,p9p10,2023,4961,0.001,0.09,0.1
AD,p10p11,2023,6141.7,0.0013,0.1,0.11
AD,p11p12,2023,7223.3,0.0015,0.11,0.12
AD,p12p13,2023,8275.1,0.0017,0.12,0.13
AD,p13p14,2023,9528.8,0.002,0.13,0.14
AD,p14p15,2023,10615.1,0.0022,0.14,0.15
AD,p15p16,2023,11483.8,0.0024,0.15,0.16
AD,p16p17,2023,12345.7,0.0026,0.16,0.17
AD,p17p18,2023,13114.6,0.0028,0.17,0.18
AD,p18p19,2023,13916.5,0.0029,0.18,0.19
AD,p19p20,2023,14675.8,0.0031,0.19,0.2
AD,p20p21,2023,15481.1,0.0033,0.2,0.21
AD,p21p22,2023,16214.1,0.0034,0.21,0.22
AD,p22p23,2023,17018.9,0.0036,0.22,0.23
AD,p23p24,2023,17738,0.0037,0.23,0.24
AD,p24p25,2023,18547.1,0.0039,0.24,0.25
AD,p25p26,2023,19226.6,0.0041,0.25,0.26
AD,p26p27,2023,20002,0.0042,0.26,0.27
AD,p27p28,2023,20742.3,0.0044,0.27,0.28
AD,p28p29,2023,21430.4,0.0045,0.28,0.29
AD,p29p30,2023,22038.1,0.0046,0.29,0.3
AD,p30p31,2023,22640,0.0048,0.3,0.31
AD,p31p32,2023,23148.5,0.0049,0.31,0.32
AD,p32p33,2023,23735.6,0.005,0.32,0.33
AD,p33p34,2023,24306.1,0.0051,0.33,0.34
AD,p34p35,2023,24824.5,0.0052,0.34,0.35
AD,p35p36,2023,25508.9,0.0054,0.35,0.36
AD,p36p37,2023,26193.2,0.0055,0.36,0.37
AD,p37p38,2023,26851.9,0.0057,0.37,0.38
AD,p38p39,2023,27427.4,0.0058,0.38,0.39
AD,p39p40,2023,28000.9,0.0059,0.39,0.4
AD,p40p41,2023,28613.8,0.006,0.4,0.41
AD,p41p42,2023,29247,0.0062,0.41,0.42
AD,p42p43,2023,29835.8,0.0063,0.42,0.43
AD,p43p44,2023,30475.5,0.0064,0.43,0.44
AD,p44p45,2023,31096.3,0.0066,0.44,0.45
AD,p45p46,2023,31674.6,0.0067,0.45,0.46
AD,p46p47,2023,32319.4,0.0068,0.46,0.47
