country,variable,percentile,year,ppp,age,pop
AD,xlcusp999i,p0p100,2023,0.60406351,999,i
AE,xlcusp999i,p0p100,2023,2.38113952,999,i
AF,xlcusp999i,p0p100,2023,14.8148251,999,i
AG,xlcusp999i,p0p100,2023,1.83099747,999,i
AI,xlcusp999i,p0p100,2023,0.64174867,999,i
AL,xlcusp999i,p0p100,2023,42.6409569,999,i
AM,xlcusp999i,p0p100,2023,148.468414,999,i
AO,xlcusp999i,p0p100,2023,211.85524,999,i
AR,xlcusp999i,p0p100,2023,139.504227,999,i
AT,xlcusp999i,p0p100,2023,0.72571301,999,i
AU,xlcusp999i,p0p100,2023,1.40520775,999,i
AW,xlcusp999i,p0p100,2023,1.35393763,999,i
AZ,xlcusp999i,p0p100,2023,0.51419622,999,i
BA,xlcusp999i,p0p100,2023,0.71097571,999,i
BB,xlcusp999i,p0p100,2023,2.23317289,999,i
BD,xlcusp999i,p0p100,2023,28.6542969,999,i
BE,xlcusp999i,p0p100,2023,0.72489995,999,i
BF,xlcusp999i,p0p100,2023,194.522888,999,i
BG,xlcusp999i,p0p100,2023,0.78182054,999,i
BH,xlcusp999i,p0p100,2023,0.17680462,999,i
BI,xlcusp999i,p0p100,2023,724.492065,999,i
BJ,xlcusp999i,p0p100,2023,204.96051,999,i
BM,xlcusp999i,p0p100,2023,1.1570121,999,i
BN,xlcusp999i,p0p100,2023,0.51963907,999,i
BO,xlcusp999i,p0p100,2023,2.3334167,999,i
BQ,xlcusp999i,p0p100,2023,1.36234689,999,i
BR,xlcusp999i,p0p100,2023,2.44314766,999,i
BS,xlcusp999i,p0p100,2023,0.97778845,999,i
BT,xlcusp999i,p0p100,2023,19.5271797,999,i
BW,xlcusp999i,p0p100,2023,5.08767414,999,i
BY,xlcusp999i,p0p100,2023,0.76557678,999,i
BZ,xlcusp999i,p0p100,2023,1.08939373,999,i
CA,xlcusp999i,p0p100,2023,1.14194274,999,i
CD,xlcusp999i,p0p100,2023,994.986877,999,i
CF,xlcusp999i,p0p100,2023,238.996811,999,i
CG,xlcusp999i,p0p100,2023,224.119202,999,i
CH,xlcusp999i,p0p100,2023,0.99068147,999,i
CI,xlcusp999i,p0p100,2023,213.933472,999,i
CL,xlcusp999i,p0p100,2023,433.64563,999,i
CM,xlcusp999i,p0p100,2023,195.057114,999,i
CN,xlcusp999i,p0p100,2023,3.65518498,999,i
CN-RU,xlcusp999i,p0p100,2023,3.65518498,999,i
CN-UR,xlcusp999i,p0p100,2023,3.65518498,999,i
CO,xlcusp999i,p0p100,2023,1468.34753,999,i
CR,xlcusp999i,p0p100,2023,319.939667,999,i
CS,xlcusp999i,p0p100,2023,11.556016,999,i
CU,xlcusp999i,p0p100,2023,0.67177516,999,i
CV,xlcusp999i,p0p100,2023,48.5191422,999,i
CW,xlcusp999i,p0p100,2023,1.24010623,999,i
CY,xlcusp999i,p0p100,2023,0.58403033,999,i
CZ,xlcusp999i,p0p100,2023,13.3145809,999,i
DD,xlcusp999i,p0p100,2023,0.7120626,999,i
DE,xlcusp999i,p0p100,2023,0.71206361,999,i
DJ,xlcusp999i,p0p100,2023,86.1642838,999,i
DK,xlcusp999i,p0p100,2023,5.89583445,999,i
DM,xlcusp999i,p0p100,2023,1.38573396,999,i
DO,xlcusp999i,p0p100,2023,23.5081406,999,i
DZ,xlcusp999i,p0p100,2023,42.2217865,999,i
EC,xlcusp999i,p0p100,2023,0.41185728,999,i
EE,xlcusp999i,p0p100,2023,0.60256696,999,i
EG,xlcusp999i,p0p100,2023,4.79126406,999,i
ER,xlcusp999i,p0p100,2023,4.3424468,999,i
ES,xlcusp999i,p0p100,2023,0.58710623,999,i
ET,xlcusp999i,p0p100,2023,22.1838512,999,i
FI,xlcusp999i,p0p100,2023,0.78115255,999,i
FJ,xlcusp999i,p0p100,2023,0.87521172,999,i
FM,xlcusp999i,p0p100,2023,0.93669367,999,i
FO,xlcusp999i,p0p100,2023,6.33161879,999,i
FR,xlcusp999i,p0p100,2023,0.68816477,999,i
GA,xlcusp999i,p0p100,2023,236.058716,999,i
GB,xlcusp999i,p0p100,2023,0.68060225,999,i
GD,xlcusp999i,p0p100,2023,1.6158179,999,i
GE,xlcusp999i,p0p100,2023,0.86500531,999,i
GG,xlcusp999i,p0p100,2023,0.68060231,999,i
GH,xlcusp999i,p0p100,2023,3.30501914,999,i
GI,xlcusp999i,p0p100,2023,0.68060231,999,i
GL,xlcusp999i,p0p100,2023,4.78230047,999,i
GM,xlcusp999i,p0p100,2023,16.7228165,999,i
GN,xlcusp999i,p0p100,2023,3134.04883,999,i
GQ,xlcusp999i,p0p100,2023,229.032318,999,i
GR,xlcusp999i,p0p100,2023,0.52954394,999,i
GT,xlcusp999i,p0p100,2023,3.28514385,999,i
GW,xlcusp999i,p0p100,2023,212.687881,999,i
GY,xlcusp999i,p0p100,2023,77.3957214,999,i
HK,xlcusp999i,p0p100,2023,5.53423786,999,i
HN,xlcusp999i,p0p100,2023,11.0839739,999,i
HR,xlcusp999i,p0p100,2023,0.44327223,999,i
HT,xlcusp999i,p0p100,2023,73.4034729,999,i
HU,xlcusp999i,p0p100,2023,175.072723,999,i
ID,xlcusp999i,p0p100,2023,4823.81006,999,i
IE,xlcusp999i,p0p100,2023,0.75011039,999,i
IL,xlcusp999i,p0p100,2023,3.59778428,999,i
IM,xlcusp999i,p0p100,2023,0.68060231,999,i
IN,xlcusp999i,p0p100,2023,20.7739201,999,i
IQ,xlcusp999i,p0p100,2023,483.928253,999,i
IR,xlcusp999i,p0p100,2023,92172.0547,999,i
IS,xlcusp999i,p0p100,2023,147.986221,999,i
IT,xlcusp999i,p0p100,2023,0.61450267,999,i
JE,xlcusp999i,p0p100,2023,0.68060231,999,i
JM,xlcusp999i,p0p100,2023,92.3916245,999,i
JO,xlcusp999i,p0p100,2023,0.30460536,999,i
JP,xlcusp999i,p0p100,2023,93.0924301,999,i
