country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AD,p0p1,2023,0,0,0,0,0,.01
AD,p10p11,2023,14684.7,5682.8,.0031,.0012,.1,.11
AD,p11p12,2023,16164,6716.1,.0034,.0014,.11,.12
AD,p12p13,2023,18026.3,7749.3,.0038,.0016,.12,.13
AD,p13p14,2023,20204.1,8782.5,.0043,.0019,.13,.14
AD,p14p15,2023,20713.8,9816,.0044,.0021,.14,.15
AD,p15p16,2023,21072,10848.9,.0044,.0023,.15,.16
AD,p16p17,2023,21899.7,11882.4,.0046,.0025,.16,.17
AD,p17p18,2023,22004.6,12915.6,.0046,.0027,.17,.18
AD,p18p19,2023,22290.9,13948.6,.0047,.0029,.18,.19
AD,p19p20,2023,22417.3,14982.1,.0047,.0032,.19,.2
AD,p1p2,2023,0,0,0,0,.01,.02
AD,p20p21,2023,22835.4,15498.8,.0048,.0033,.2,.21
AD,p21p22,2023,22923.6,16232.4,.0048,.0034,.21,.22
AD,p22p23,2023,23343.6,17037.8,.0049,.0036,.22,.23
AD,p23p24,2023,23433,17758.3,.0049,.0037,.23,.24
AD,p24p25,2023,23952.6,18567.9,.0051,.0039,.24,.25
AD,p25p26,2023,24475,19248.1,.0052,.0041,.25,.26
AD,p26p27,2023,24904.4,20024.6,.0053,.0042,.26,.27
AD,p27p28,2023,25048.2,20765.8,.0053,.0044,.27,.28
AD,p28p29,2023,25422,21454.5,.0054,.0045,.28,.29
AD,p29p30,2023,25924.9,22062.8,.0055,.0047,.29,.3
AD,p2p3,2023,0,0,0,0,.02,.03
AD,p30p31,2023,25996.7,22665.5,.0055,.0048,.3,.31
AD,p31p32,2023,26364.1,23174.6,.0056,.0049,.31,.32
AD,p32p33,2023,26378.6,23762.6,.0056,.005,.32,.33
AD,p33p34,2023,26670.9,24333.3,.0056,.0051,.33,.34
AD,p34p35,2023,27014.9,24852.6,.0057,.0052,.34,.35
AD,p35p36,2023,27170.7,25537.6,.0057,.0054,.35,.36
AD,p36p37,2023,27646.1,26222.5,.0058,.0055,.36,.37
AD,p37p38,2023,28245.4,26882.3,.006,.0057,.37,.38
AD,p38p39,2023,28764.2,27458.4,.0061,.0058,.38,.39
AD,p39p40,2023,29279.2,28032.6,.0062,.0059,.39,.4
AD,p3p4,2023,0,0,0,0,.03,.04
AD,p40p41,2023,29835.5,28646,.0063,.006,.4,.41
AD,p41p42,2023,30397.2,29279.8,.0064,.0062,.41,.42
AD,p42p43,2023,30916.5,29869.7,.0065,.0063,.42,.43
AD,p43p44,2023,31487,30509.7,.0066,.0064,.43,.44
AD,p44p45,2023,32035.7,31131.1,.0068,.0066,.44,.45
AD,p45p46,2023,32538.6,31710.6,.0069,.0067,.45,.46
AD,p46p47,2023,33117.5,32356,.007,.0068,.46,.47
AD,p47p48,2023,33762,33070.9,.0071,.007,.47,.48
AD,p48p49,2023,34404.9,33787.2,.0073,.0071,.48,.49
AD,p49p50,2023,35007.3,34457.2,.0074,.0073,.49,.5
AD,p4p5,2023,0,0,0,0,.04,.05
AD,p50p51,2023,35645.6,35169.8,.0075,.0074,.5,.51
AD,p51p52,2023,36220,35821.1,.0076,.0076,.51,.52
AD,p52p53,2023,36853.5,36530.4,.0078,.0077,.52,.53
AD,p53p54,2023,37504.2,37263.1,.0079,.0079,.53,.54
AD,p54p55,2023,38184.9,38027.2,.0081,.008,.54,.55
AD,p55p56,2023,38930.4,38854.6,.0082,.0082,.55,.5600000000000001
AD,p56p57,2023,39629.8,39645.9,.0084,.0084,.5600000000000001,.57
AD,p57p58,2023,40292.4,40398.10000000001,.0085,.0085,.57,.58
AD,p58p59,2023,40979,41176.60000000001,.0086,.0087,.58,.59
AD,p59p60,2023,41652.4,41943.3,.0088,.0088,.59,.6
AD,p5p6,2023,3327.5,516.8000000000001,.0007,.0001,.05,.06
AD,p60p61,2023,42503.8,42891.4,.009,.009,.6,.61
AD,p61p62,2023,43181.4,43674.4,.0091,.0092,.61,.62
AD,p62p63,2023,44030,44630.2,.0093,.0094,.62,.63
AD,p63p64,2023,44769.8,45476.8,.0094,.0096,.63,.64
AD,p64p65,2023,45643.60000000001,46461.10000000001,.0096,.0098,.64,.65
AD,p65p66,2023,46395,47324.8,.0098,.01,.65,.66
AD,p66p67,2023,47355,48406,.01,.0102,.66,.67
AD,p67p68,2023,48230.8,49399.10000000001,.0102,.0104,.67,.68
AD,p68p69,2023,49081.9,50370.4,.0103,.0106,.68,.6899999999999999
AD,p69p70,2023,49912.7,51324.5,.0105,.0108,.6899999999999999,.7
AD,p6p7,2023,7932.5,1549.7,.0017,.0003,.06,.07
AD,p70p71,2023,50986.4,52538.60000000001,.0108,.0111,.7,.71
AD,p71p72,2023,51873.2,53552.9,.0109,.0113,.71,.72
AD,p72p73,2023,52835.2,54652.8,.0111,.0115,.72,.73
AD,p73p74,2023,53928.3,55885.60000000001,.0114,.0118,.73,.74
AD,p74p75,2023,54846.2,56941.7,.0116,.012,.74,.75
AD,p75p76,2023,56031.2,58282.8,.0118,.0123,.75,.76
AD,p76p77,2023,57046.3,59449.7,.012,.0125,.76,.77
AD,p77p78,2023,58258.2,60828.9,.0123,.0128,.77,.78
AD,p78p79,2023,59569.2,62320.4,.0126,.0131,.78,.79
AD,p79p80,2023,60845.8,63780.2,.0128,.0134,.79,.8
AD,p7p8,2023,12593.9,2583.2,.0027,.0005,.07,.08
AD,p80p81,2023,62183.2,65314.3,.0131,.0138,.8,.8100000000000001
AD,p81p82,2023,63520.4,66853,.0134,.0141,.8100000000000001,.82
