country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AE,p0p1,2023,11491,0,.0005,0,0,.01
AE,p10p11,2023,33950.2,18360,.0016,.0009,.1,.11
AE,p11p12,2023,35833,21698.2,.0017,.001,.11,.12
AE,p12p13,2023,37689.4,25036.4,.0018,.0012,.12,.13
AE,p13p14,2023,39502,28374.6,.0019,.0013,.13,.14
AE,p14p15,2023,41363.5,31712.7,.002,.0015,.14,.15
AE,p15p16,2023,43132.2,35050.9,.0021,.0017,.15,.16
AE,p16p17,2023,44867.10000000001,38389.1,.0021,.0018,.16,.17
AE,p17p18,2023,46517.9,41727.3,.0022,.002,.17,.18
AE,p18p19,2023,48178.9,45065.5,.0023,.0021,.18,.19
AE,p19p20,2023,49819.7,48403.60000000001,.0024,.0023,.19,.2
AE,p1p2,2023,11937.2,0,.0006,0,.01,.02
AE,p20p21,2023,51424.2,50072.7,.0024,.0024,.2,.21
AE,p21p22,2023,52863.2,51517.4,.0025,.0024,.21,.22
AE,p22p23,2023,54187,52836,.0026,.0025,.22,.23
AE,p23p24,2023,55401.60000000001,54031.9,.0026,.0026,.23,.24
AE,p24p25,2023,56512.2,55114.10000000001,.0027,.0026,.24,.25
AE,p25p26,2023,57693,56267.8,.0027,.0027,.25,.26
AE,p26p27,2023,58782.3,57355.4,.0028,.0027,.26,.27
AE,p27p28,2023,59940.60000000001,58512.60000000001,.0029,.0028,.27,.28
AE,p28p29,2023,61036.2,59600.9,.0029,.0028,.28,.29
AE,p29p30,2023,62229.5,60786.4,.003,.0029,.29,.3
AE,p2p3,2023,15819.4,0,.0008,0,.02,.03
AE,p30p31,2023,63385.2,61929,.003,.0029,.3,.31
AE,p31p32,2023,64538.5,63091.3,.0031,.003,.31,.32
AE,p32p33,2023,66107.90000000001,64687,.0031,.0031,.32,.33
AE,p33p34,2023,67812.7,66422.5,.0032,.0032,.33,.34
AE,p34p35,2023,69820.8,68472.5,.0033,.0033,.34,.35
AE,p35p36,2023,72231.3,70940.5,.0034,.0034,.35,.36
AE,p36p37,2023,74743.3,73535,.0036,.0035,.36,.37
AE,p37p38,2023,77358.2,76231,.0037,.0036,.37,.38
AE,p38p39,2023,80133.5,79088.70000000001,.0038,.0038,.38,.39
AE,p39p40,2023,84206.10000000001,83298.70000000001,.004,.004,.39,.4
AE,p3p4,2023,18392.8,0,.0009,0,.03,.04
AE,p40p41,2023,88736.3,87974.20000000001,.0042,.0042,.4,.41
AE,p41p42,2023,93340.5,92754.90000000001,.0044,.0044,.41,.42
