country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AF,p0p1,2023,5393.700000000001,0,.0009,0,0,.01
AF,p10p11,2023,20196.3,8366.300000000001,.0033,.0014,.1,.11
AF,p11p12,2023,20617.5,9887.5,.0033,.0016,.11,.12
AF,p12p13,2023,21029.1,11408.6,.0034,.0019,.12,.13
AF,p13p14,2023,21440.4,12929.8,.0035,.0021,.13,.14
AF,p14p15,2023,21850.6,14450.9,.0035,.0023,.14,.15
AF,p15p16,2023,22265.5,15972.1,.0036,.0026,.15,.16
AF,p16p17,2023,22684.2,17493.3,.0037,.0028,.16,.17
AF,p17p18,2023,23091.1,19014.4,.0038,.0031,.17,.18
AF,p18p19,2023,23511.1,20535.6,.0038,.0033,.18,.19
AF,p19p20,2023,23935.6,22056.7,.0039,.0036,.19,.2
AF,p1p2,2023,7760.1,0,.0013,0,.01,.02
AF,p20p21,2023,24470.9,22817.3,.004,.0037,.2,.21
AF,p21p22,2023,25026.8,23471.8,.0041,.0038,.21,.22
AF,p22p23,2023,25569,24110.6,.0042,.0039,.22,.23
AF,p23p24,2023,26106.9,24742.4,.0042,.004,.23,.24
AF,p24p25,2023,26673.7,25403.8,.0043,.0041,.24,.25
AF,p25p26,2023,27223.3,26043.8,.0044,.0042,.25,.26
AF,p26p27,2023,27784,26690,.0045,.0043,.26,.27
AF,p27p28,2023,28370.3,27360.3,.0046,.0044,.27,.28
AF,p28p29,2023,28929.8,27999.3,.0047,.0045,.28,.29
AF,p29p30,2023,29346.6,28484.4,.0048,.0046,.29,.3
AF,p2p3,2023,10876.9,0,.0018,0,.02,.03
AF,p30p31,2023,29741.7,28943.5,.0048,.0047,.3,.31
AF,p31p32,2023,30190.4,29403.9,.0049,.0048,.31,.32
AF,p32p33,2023,30642.4,29866.8,.005,.0049,.32,.33
AF,p33p34,2023,31095.9,30330.5,.0051,.0049,.33,.34
AF,p34p35,2023,31546.8,30790.3,.0051,.005,.34,.35
AF,p35p36,2023,32016.1,31268.3,.0052,.0051,.35,.36
AF,p36p37,2023,32470.6,31734.8,.0053,.0052,.36,.37
AF,p37p38,2023,32926.3,32200.7,.0053,.0052,.37,.38
AF,p38p39,2023,33405.1,32690.5,.0054,.0053,.38,.39
AF,p39p40,2023,33872.5,33166.4,.0055,.0054,.39,.4
AF,p3p4,2023,14122.4,0,.0023,0,.03,.04
AF,p40p41,2023,34331.5,33633.2,.0056,.0055,.4,.41
AF,p41p42,2023,34734,34062.3,.0056,.0055,.41,.42
AF,p42p43,2023,35133.9,34489.2,.0057,.0056,.42,.43
AF,p43p44,2023,35543,34925.1,.0058,.0057,.43,.44
AF,p44p45,2023,35963.8,35374.6,.0058,.0057,.44,.45
AF,p45p46,2023,36393.8,35833.5,.0059,.0058,.45,.46
AF,p46p47,2023,36826.4,36291.9,.006,.0059,.46,.47
AF,p47p48,2023,37254.9,36746,.0061,.006,.47,.48
AF,p48p49,2023,37705.1,37223.5,.0061,.006,.48,.49
AF,p49p50,2023,38146.1,37691.2,.0062,.0061,.49,.5
AF,p4p5,2023,15495.3,0,.0025,0,.04,.05
AF,p50p51,2023,38597.4,38170.3,.0063,.0062,.5,.51
AF,p51p52,2023,38996.5,38670.4,.0063,.0063,.51,.52
AF,p52p53,2023,39377.7,39152.8,.0064,.0064,.52,.53
AF,p53p54,2023,39771.4,39648.2,.0065,.0064,.53,.54
AF,p54p55,2023,40260.8,40247,.0065,.0065,.54,.55
AF,p55p56,2023,41834.8,42015.5,.0068,.0068,.55,.5600000000000001
AF,p56p57,2023,43734.60000000001,44143.4,.0071,.0072,.5600000000000001,.57
AF,p57p58,2023,45646.4,46285.9,.0074,.0075,.57,.58
AF,p58p59,2023,47592.10000000001,48468.3,.0077,.0079,.58,.59
AF,p59p60,2023,49570.3,50688.10000000001,.0081,.0082,.59,.6
AF,p5p6,2023,16274.2,760.6,.0026,.0001,.05,.06
AF,p60p61,2023,50901.10000000001,52208.4,.0083,.0085,.6,.61
AF,p61p62,2023,51531.7,52977.2,.0084,.0086,.61,.62
AF,p62p63,2023,52139.3,53719.9,.0085,.0087,.62,.63
AF,p63p64,2023,52772.2,54490.10000000001,.0086,.0089,.63,.64
AF,p64p65,2023,53405.8,55261.2,.0087,.009,.64,.65
AF,p65p66,2023,54057.10000000001,56051.5,.0088,.0091,.65,.66
AF,p66p67,2023,54714.2,56846,.0089,.0092,.66,.67
AF,p67p68,2023,55405,57677.4,.009,.0094,.67,.68
AF,p68p69,2023,56072,58483.5,.0091,.0095,.68,.6899999999999999
AF,p69p70,2023,56774.3,59327.9,.0092,.0096,.6899999999999999,.7
AF,p6p7,2023,17035.1,2281.7,.0028,.0004,.06,.07
AF,p70p71,2023,57468.10000000001,60162.9,.0093,.0098,.7,.71
AF,p71p72,2023,58291,61034.4,.0095,.0099,.71,.72
AF,p72p73,2023,59129.3,61921.10000000001,.0096,.0101,.72,.73
AF,p73p74,2023,60430.3,63311.5,.0098,.0103,.73,.74
AF,p74p75,2023,62084.60000000001,65086.7,.0101,.0106,.74,.75
AF,p75p76,2023,63752.5,66876.40000000001,.0104,.0109,.75,.76
AF,p76p77,2023,65478.4,68727.40000000001,.0106,.0112,.76,.77
AF,p77p78,2023,67185.2,70557.40000000001,.0109,.0115,.77,.78
AF,p78p79,2023,68943.7,72444.5,.0112,.0118,.78,.79
AF,p79p80,2023,70751.40000000001,74385.90000000001,.0115,.0121,.79,.8
AF,p7p8,2023,17803.8,3802.9,.0029,.0006,.07,.08
AF,p80p81,2023,72606.7,76381.10000000001,.0118,.0124,.8,.8100000000000001
AF,p81p82,2023,74608.10000000001,78482.90000000001,.0121,.0128,.8100000000000001,.82
AF,p82p83,2023,76753.2,80741.5,.0125,.0131,.82,.83
AF,p83p84,2023,79072.10000000001,83190.90000000001,.0128,.0135,.83,.84
AF,p84p85,2023,81632.40000000001,85905.90000000001,.0133,.014,.84,.85
AF,p85p86,2023,84434.90000000001,88889.5,.0137,.0144,.85,.86
AF,p86p87,2023,87563.10000000001,92229.70000000001,.0142,.015,.86,.87
AF,p87p88,2023,91088.90000000001,96011.40000000001,.0148,.0156,.87,.88
AF,p88p89,2023,95058.8,100288,.0154,.0163,.88,.89
AF,p89p90,2023,99630.90000000001,105233.4,.0162,.0171,.89,.9
AF,p8p9,2023,18582.3,5324,.003,.0009,.08,.09
AF,p90p91,2023,102829.4,108703,.0167,.0177,.9,.91
AF,p91p92,2023,110020.9,116066.2,.0179,.0189,.91,.92
AF,p92p93,2023,119048.2,125369.8,.0193,.0204,.92,.93
AF,p93p94,2023,130729.9,137476.1,.0212,.0223,.93,.9399999999999999
AF,p94p95,2023,145907.4,153259.6,.0237,.0249,.9399999999999999,.95
AF,p95p96,2023,165102.3,173241.8,.0268,.0281,.95,.96
AF,p96p97,2023,193667.4,201365.1,.0315,.0327,.96,.97
AF,p97p98,2023,238668.9,245970.4,.0388,.04,.97,.98
AF,p98p99,2023,327186.3,334404.3,.0532,.0543,.98,.99
AF,p99.1p99.2,2023,448922.9,459329.9,.0073,.0075,.991,.992
AF,p99.2p99.3,2023,479715.7,494556.2,.0078,.008,.992,.993
AF,p99.3p99.4,2023,516435.1,536586.5,.0084,.0087,.993,.9940000000000001
AF,p99.4p99.5,2023,565339.9,591913.8,.0092,.0096,.9940000000000001,.995
AF,p99.5p99.6,2023,633495.5,668382.5,.0103,.0109,.995,.996
AF,p99.6p99.7,2023,728276.9,774066.1000000001,.0118,.0126,.996,.997
AF,p99.7p99.8,2023,880057.1000000001,941515,.0143,.0153,.997,.998
AF,p99.8p99.9,2023,1206173.5,1297603.1,.0196,.0211,.998,.9990000000000001
AF,p99.9p100,2023,2822630.9,3089471.5,.0459,.0502,.9990000000000001,1
AF,p99p99.1,2023,422457.2,429041.8,.0069,.007,.99,.991
AF,p9p10,2023,19381.8,6845.200000000001,.0031,.0011,.09,.1
