country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AG,p0p1,2023,0,0,0,0,0,.01
AG,p10p11,2023,8728.300000000001,4201,.0013,.0006,.1,.11
AG,p11p12,2023,10033,5097.700000000001,.0015,.0007,.11,.12
AG,p12p13,2023,11731.6,6016.3,.0017,.0009,.12,.13
AG,p13p14,2023,14582.9,6955.6,.0021,.001,.13,.14
AG,p14p15,2023,15524.6,7911.8,.0023,.0012,.14,.15
AG,p15p16,2023,18309.5,8884.700000000001,.0027,.0013,.15,.16
AG,p16p17,2023,19093.5,9872.1,.0028,.0015,.16,.17
AG,p17p18,2023,20081,10873.4,.003,.0016,.17,.18
AG,p18p19,2023,20802.6,11887.2,.0031,.0017,.18,.19
AG,p19p20,2023,20826.6,12913.5,.0031,.0019,.19,.2
AG,p1p2,2023,0,0,0,0,.01,.02
AG,p20p21,2023,20902.3,13430.1,.0031,.002,.2,.21
AG,p21p22,2023,21167.3,14505.1,.0031,.0021,.21,.22
AG,p22p23,2023,21209.9,15582.5,.0031,.0023,.22,.23
AG,p23p24,2023,22230.1,16660.3,.0033,.0025,.23,.24
AG,p24p25,2023,22325.8,17739,.0033,.0026,.24,.25
AG,p25p26,2023,22593.6,18818.8,.0033,.0028,.25,.26
AG,p26p27,2023,22888.2,19897.8,.0034,.0029,.26,.27
AG,p27p28,2023,23837.1,20976.9,.0035,.0031,.27,.28
AG,p28p29,2023,24891.9,22055.9,.0037,.0032,.28,.29
AG,p29p30,2023,25951.8,23132.9,.0038,.0034,.29,.3
AG,p2p3,2023,0,0,0,0,.02,.03
AG,p30p31,2023,27013,24209.5,.004,.0036,.3,.31
AG,p31p32,2023,28076.7,25283.7,.0041,.0037,.31,.32
AG,p32p33,2023,29137.1,26356.2,.0043,.0039,.32,.33
AG,p33p34,2023,30193.4,27426.3,.0044,.004,.33,.34
AG,p34p35,2023,31251.8,28494,.0046,.0042,.34,.35
AG,p35p36,2023,32309.7,29558.1,.0048,.0043,.35,.36
AG,p36p37,2023,33357.6,30619.7,.0049,.0045,.36,.37
AG,p37p38,2023,34392.4,31676.8,.0051,.0047,.37,.38
AG,p38p39,2023,35429.7,32730.7,.0052,.0048,.38,.39
AG,p39p40,2023,36458.5,33780.2,.0054,.005,.39,.4
AG,p3p4,2023,0,0,0,0,.03,.04
AG,p40p41,2023,37479.6,34824.8,.0055,.0051,.4,.41
AG,p41p42,2023,38475.2,35865.3,.0057,.0053,.41,.42
AG,p42p43,2023,39466.7,36900.6,.0058,.0054,.42,.43
AG,p43p44,2023,40449.7,37930.2,.006,.0056,.43,.44
AG,p44p45,2023,41421.7,38954.1,.0061,.0057,.44,.45
AG,p45p46,2023,42383.3,39972.4,.0062,.0059,.45,.46
AG,p46p47,2023,43346.8,40984.5,.0064,.006,.46,.47
AG,p47p48,2023,44295.4,41989.4,.0065,.0062,.47,.48
AG,p48p49,2023,45233,42987.4,.0067,.0063,.48,.49
AG,p49p50,2023,46169,43978.5,.0068,.0065,.49,.5
AG,p4p5,2023,0,0,0,0,.04,.05
AG,p50p51,2023,47088.4,44961.10000000001,.0069,.0066,.5,.51
AG,p51p52,2023,47994.4,45935.2,.0071,.0068,.51,.52
AG,p52p53,2023,48891.9,46900,.0072,.0069,.52,.53
AG,p53p54,2023,49770.3,47855.8,.0073,.007,.53,.54
AG,p54p55,2023,50637.5,48801.10000000001,.0074,.0072,.54,.55
AG,p55p56,2023,51493.2,49736.3,.0076,.0073,.55,.5600000000000001
AG,p56p57,2023,52326.7,50659.7,.0077,.0075,.5600000000000001,.57
AG,p57p58,2023,53150.9,51571.8,.0078,.0076,.57,.58
AG,p58p59,2023,53961.3,52472.60000000001,.0079,.0077,.58,.59
AG,p59p60,2023,54756.3,53360.8,.0081,.0078,.59,.6
AG,p5p6,2023,4246.8,269.9,.0006,0,.05,.06
AG,p60p61,2023,55538.3,54236.8,.0082,.008,.6,.61
AG,p61p62,2023,56294.4,55100.3,.0083,.0081,.61,.62
AG,p62p63,2023,57037.9,55951.2,.0084,.0082,.62,.63
AG,p63p64,2023,57770.9,56790.3,.0085,.0084,.63,.64
AG,p64p65,2023,58488.5,57616.5,.0086,.0085,.64,.65
AG,p65p66,2023,59193.10000000001,58432.2,.0087,.0086,.65,.66
AG,p66p67,2023,59881.10000000001,59235.7,.0088,.0087,.66,.67
AG,p67p68,2023,60564.3,60030.7,.0089,.0088,.67,.68
AG,p68p69,2023,61235.7,60815.9,.009,.0089,.68,.6899999999999999
AG,p69p70,2023,61896.60000000001,61595.5,.0091,.0091,.6899999999999999,.7
AG,p6p7,2023,5586,935.2,.0008,.0001,.06,.07
AG,p70p71,2023,62545.3,62370.2,.0092,.0092,.7,.71
AG,p71p72,2023,63201.7,63144.2,.0093,.0093,.71,.72
AG,p72p73,2023,63853.3,63920.10000000001,.0094,.0094,.72,.73
AG,p73p74,2023,64518.60000000001,64703.4,.0095,.0095,.73,.74
AG,p74p75,2023,65192.4,65500.4,.0096,.0096,.74,.75
AG,p75p76,2023,65880.8,66318.5,.0097,.0098,.75,.76
AG,p76p77,2023,66600.10000000001,67167.3,.0098,.0099,.76,.77
AG,p77p78,2023,67354.5,68058.8,.0099,.01,.77,.78
AG,p78p79,2023,68161.3,69009.3,.01,.0102,.78,.79
AG,p79p80,2023,69041,70036.90000000001,.0102,.0103,.79,.8
AG,p7p8,2023,7609.1,1686.8,.0011,.0002,.07,.08
AG,p80p81,2023,70013.8,71167.8,.0103,.0105,.8,.8100000000000001
AG,p81p82,2023,71116.8,72433.2,.0105,.0107,.8100000000000001,.82
AG,p82p83,2023,72379.8,73874.10000000001,.0106,.0109,.82,.83
AG,p83p84,2023,73857.10000000001,75543.90000000001,.0109,.0111,.83,.84
AG,p84p85,2023,75617.7,77511.90000000001,.0111,.0114,.84,.85
AG,p85p86,2023,77752.2,79868.10000000001,.0114,.0117,.85,.86
AG,p86p87,2023,80362.90000000001,82733.70000000001,.0118,.0122,.86,.87
AG,p87p88,2023,83615.20000000001,86268.60000000001,.0123,.0127,.87,.88
AG,p88p89,2023,87698.70000000001,90686.60000000001,.0129,.0133,.88,.89
AG,p89p90,2023,92934.60000000001,96276.90000000001,.0137,.0142,.89,.9
AG,p8p9,2023,7836.900000000001,2489.1,.0012,.0004,.08,.09
AG,p90p91,2023,99757.5,103426.7,.0147,.0152,.9,.91
AG,p91p92,2023,108647.4,112669.6,.016,.0166,.91,.92
AG,p92p93,2023,120363.6,124783.6,.0177,.0184,.92,.93
AG,p93p94,2023,136036.7,140959.8,.02,.0207,.93,.9399999999999999
AG,p94p95,2023,157293,163112.7,.0231,.024,.9399999999999999,.95
AG,p95p96,2023,186934.7,194527.8,.0275,.0286,.95,.96
AG,p96p97,2023,230427,241388.1,.0339,.0355,.96,.97
AG,p97p98,2023,300439,317167.8,.0442,.0467,.97,.98
AG,p98p99,2023,434872.2,461044.1,.064,.0678,.98,.99
AG,p99.1p99.2,2023,597591.8,642889.4,.0088,.0095,.991,.992
AG,p99.2p99.3,2023,641265.6000000001,691250.3,.0094,.0102,.992,.993
AG,p99.3p99.4,2023,695679.1000000001,750682.1000000001,.0102,.011,.993,.9940000000000001
AG,p99.4p99.5,2023,766763.2000000001,826824,.0113,.0122,.9940000000000001,.995
AG,p99.5p99.6,2023,864191.1000000001,930081.6000000001,.0127,.0137,.995,.996
AG,p99.6p99.7,2023,1009240.3,1082052.5,.0148,.0159,.996,.997
AG,p99.7p99.8,2023,1249287.1,1335937.7,.0184,.0197,.997,.998
AG,p99.8p99.9,2023,1727439,1866234,.0254,.0275,.998,.9990000000000001
AG,p99.9p100,2023,5150202.4,5668186.5,.0758,.0834,.9990000000000001,1
AG,p99p99.1,2023,561755.5,602284.9,.0083,.0089,.99,.991
AG,p9p10,2023,7909.400000000001,3329.9,.0012,.0005,.09,.1
