country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AL,p0p1,2023,100663.6,0,.001,0,0,.01
AL,p10p11,2023,167725.7,105575.4,.0016,.001,.1,.11
AL,p11p12,2023,180535.3,124770.9,.0018,.0012,.11,.12
AL,p12p13,2023,195672.8,143966.4,.0019,.0014,.12,.13
AL,p13p14,2023,210730.7,163161.9,.0021,.0016,.13,.14
AL,p14p15,2023,226101,182357.5,.0022,.0018,.14,.15
AL,p15p16,2023,241949.1,201553,.0024,.002,.15,.16
AL,p16p17,2023,262005.9,220748.5,.0025,.0021,.16,.17
AL,p17p18,2023,281983,239944.1,.0027,.0023,.17,.18
AL,p18p19,2023,300526.6,259139.6,.0029,.0025,.18,.19
AL,p19p20,2023,317152.7,278335.1,.0031,.0027,.19,.2
AL,p1p2,2023,104179.9,0,.001,0,.01,.02
AL,p20p21,2023,337013.4,287932.9,.0033,.0028,.2,.21
AL,p21p22,2023,356053.3,309643.7,.0035,.003,.21,.22
AL,p22p23,2023,379785.7,336381.3,.0037,.0033,.22,.23
AL,p23p24,2023,398733.6,357855.9,.0039,.0035,.23,.24
AL,p24p25,2023,415427.1,376815.9,.004,.0037,.24,.25
AL,p25p26,2023,433474.5,397187.7,.0042,.0039,.25,.26
AL,p26p27,2023,452894.2,418833.7,.0044,.0041,.26,.27
AL,p27p28,2023,470917.1,438904.6,.0046,.0043,.27,.28
AL,p28p29,2023,484069.7,453674.8,.0047,.0044,.28,.29
AL,p29p30,2023,498858.1,470151.1,.0049,.0046,.29,.3
AL,p2p3,2023,104290.2,0,.001,0,.02,.03
AL,p30p31,2023,513689.3,486603.4,.005,.0047,.3,.31
AL,p31p32,2023,524863.2000000001,498161.8,.0051,.0048,.31,.32
AL,p32p33,2023,537574.8,511356.8,.0052,.005,.32,.33
AL,p33p34,2023,550819.4,525101.6,.0054,.0051,.33,.34
AL,p34p35,2023,561913.7000000001,536523.7000000001,.0055,.0052,.34,.35
AL,p35p36,2023,572615.9,547515.4,.0056,.0053,.35,.36
AL,p36p37,2023,584365.7000000001,559764.3,.0057,.0054,.36,.37
AL,p37p38,2023,595570.3,571412.5,.0058,.0056,.37,.38
AL,p38p39,2023,609145.7000000001,585563.8,.0059,.0057,.38,.39
AL,p39p40,2023,622678.2000000001,599640.2000000001,.0061,.0058,.39,.4
AL,p3p4,2023,106397.6,0,.001,0,.03,.04
AL,p40p41,2023,636498.6000000001,614003.9,.0062,.006,.4,.41
AL,p41p42,2023,652003.7000000001,630578.9,.0063,.0061,.41,.42
AL,p42p43,2023,665468.8,644965.3,.0065,.0063,.42,.43
AL,p43p44,2023,678725.6000000001,659129.1000000001,.0066,.0064,.43,.44
AL,p44p45,2023,691075.7000000001,672303.7000000001,.0067,.0065,.44,.45
AL,p45p46,2023,705594.5,687782.7000000001,.0069,.0067,.45,.46
AL,p46p47,2023,719549.7000000001,702542.8,.007,.0068,.46,.47
AL,p47p48,2023,735649,719577.8,.0072,.007,.47,.48
AL,p48p49,2023,753010.3,737922.2000000001,.0073,.0072,.48,.49
AL,p49p50,2023,767768,753486.4,.0075,.0073,.49,.5
AL,p4p5,2023,109907.8,0,.0011,0,.04,.05
AL,p50p51,2023,781208.6000000001,767621.9,.0076,.0075,.5,.51
AL,p51p52,2023,793595.5,781373.4,.0077,.0076,.51,.52
AL,p52p53,2023,806576.7000000001,795745.1000000001,.0078,.0077,.52,.53
AL,p53p54,2023,821414,812100.8,.008,.0079,.53,.54
AL,p54p55,2023,835399.8,827540.1000000001,.0081,.0081,.54,.55
AL,p55p56,2023,851094.8,844797.6000000001,.0083,.0082,.55,.5600000000000001
AL,p56p57,2023,868358.1000000001,863830.4,.0084,.0084,.5600000000000001,.57
AL,p57p58,2023,885964.4,883236.8,.0086,.0086,.57,.58
AL,p58p59,2023,903356.3,902414.9,.0088,.0088,.58,.59
AL,p59p60,2023,920785,921635,.009,.009,.59,.6
AL,p5p6,2023,110955.4,9597.800000000001,.0011,.0001,.05,.06
AL,p60p61,2023,938587.3,941265.1000000001,.0091,.0092,.6,.61
AL,p61p62,2023,957817.1000000001,962554.7000000001,.0093,.0094,.61,.62
AL,p62p63,2023,976783.4,983581.7000000001,.0095,.0096,.62,.63
AL,p63p64,2023,994224.3,1002989.2,.0097,.0098,.63,.64
AL,p64p65,2023,1010311.3,1020962.3,.0098,.0099,.64,.65
AL,p65p66,2023,1026606.7,1039160.3,.01,.0101,.65,.66
AL,p66p67,2023,1046510.3,1061230,.0102,.0103,.66,.67
AL,p67p68,2023,1067571.7,1084542.2,.0104,.0106,.67,.68
AL,p68p69,2023,1090440.3,1109807.9,.0106,.0108,.68,.6899999999999999
AL,p69p70,2023,1113854.2,1135665.3,.0108,.011,.6899999999999999,.7
AL,p6p7,2023,118557.8,28793.3,.0012,.0003,.06,.07
AL,p70p71,2023,1136790.2,1161037.7,.0111,.0113,.7,.71
AL,p71p72,2023,1162507.4,1188672.6,.0113,.0116,.71,.72
AL,p72p73,2023,1190748.6,1219009.3,.0116,.0119,.72,.73
AL,p73p74,2023,1220098.6,1250543.2,.0119,.0122,.73,.74
AL,p74p75,2023,1249197.4,1281810.1,.0122,.0125,.74,.75
AL,p75p76,2023,1280330.1,1315270.1,.0125,.0128,.75,.76
AL,p76p77,2023,1308718.3,1345717,.0127,.0131,.76,.77
AL,p77p78,2023,1340929.2,1380283.3,.013,.0134,.77,.78
AL,p78p79,2023,1373967.1,1415753.6,.0134,.0138,.78,.79
