country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AM,p0p1,2023,604021.7000000001,0,.0017,0,0,.01
AM,p10p11,2023,1245028.4,522963.9,.0034,.0014,.1,.11
AM,p11p12,2023,1277744.1,618048.2000000001,.0035,.0017,.11,.12
AM,p12p13,2023,1304753.2,713132.6000000001,.0036,.002,.12,.13
AM,p13p14,2023,1334463.1,808216.9,.0037,.0022,.13,.14
AM,p14p15,2023,1359228.6,903301.3,.0037,.0025,.14,.15
AM,p15p16,2023,1383885.2,998385.7000000001,.0038,.0027,.15,.16
AM,p16p17,2023,1408324,1093470,.0039,.003,.16,.17
AM,p17p18,2023,1433939,1188554.4,.0039,.0033,.17,.18
AM,p18p19,2023,1466567.6,1283638.8,.004,.0035,.18,.19
AM,p19p20,2023,1493119.2,1378723.1,.0041,.0038,.19,.2
AM,p1p2,2023,690211,0,.0019,0,.01,.02
AM,p20p21,2023,1519845.1,1426265.3,.0042,.0039,.2,.21
AM,p21p22,2023,1546244.2,1459609.2,.0042,.004,.21,.22
AM,p22p23,2023,1569093,1488922.8,.0043,.0041,.22,.23
AM,p23p24,2023,1587716.1,1513392.5,.0043,.0041,.23,.24
AM,p24p25,2023,1613679.6,1545290.8,.0044,.0042,.24,.25
AM,p25p26,2023,1641538.1,1578832.6,.0045,.0043,.25,.26
AM,p26p27,2023,1668830.3,1610734.4,.0046,.0044,.26,.27
AM,p27p28,2023,1700805.5,1647142.3,.0047,.0045,.27,.28
AM,p28p29,2023,1725287.9,1675126.5,.0047,.0046,.28,.29
AM,p29p30,2023,1751621.6,1704658.8,.0048,.0047,.29,.3
AM,p2p3,2023,761828.4,0,.0021,0,.02,.03
AM,p30p31,2023,1785644.3,1741863.9,.0049,.0048,.3,.31
AM,p31p32,2023,1814504.7,1771165.1,.005,.0048,.31,.32
AM,p32p33,2023,1846675.9,1803638,.0051,.0049,.32,.33
AM,p33p34,2023,1883290.6,1840574.3,.0052,.005,.33,.34
AM,p34p35,2023,1915527.2,1872654.6,.0052,.0051,.34,.35
AM,p35p36,2023,1953143.7,1910224.6,.0053,.0052,.35,.36
AM,p36p37,2023,1986382.2,1945332.7,.0054,.0053,.36,.37
AM,p37p38,2023,2017943.6,1978565.8,.0055,.0054,.37,.38
AM,p38p39,2023,2049112.9,2011359.5,.0056,.0055,.38,.39
AM,p39p40,2023,2084682,2048813.7,.0057,.0056,.39,.4
AM,p3p4,2023,827543.1000000001,0,.0023,0,.03,.04
AM,p40p41,2023,2126502.4,2092817.2,.0058,.0057,.4,.41
AM,p41p42,2023,2161831.9,2131700.2,.0059,.0058,.41,.42
AM,p42p43,2023,2197292.1,2170919.1,.006,.0059,.42,.43
AM,p43p44,2023,2231118.8,2208592.2,.0061,.006,.43,.44
AM,p44p45,2023,2260371.3,2241769.6,.0062,.0061,.44,.45
AM,p45p46,2023,2296528.5,2282325.6,.0063,.0062,.45,.46
AM,p46p47,2023,2332446.1,2321267.7,.0064,.0064,.46,.47
AM,p47p48,2023,2376226.9,2368667.2,.0065,.0065,.47,.48
AM,p48p49,2023,2414039.5,2409921.4,.0066,.0066,.48,.49
AM,p49p50,2023,2444664.2,2443734.8,.0067,.0067,.49,.5
AM,p4p5,2023,889663.8,0,.0024,0,.04,.05
AM,p50p51,2023,2480015.5,2482590.9,.0068,.0068,.5,.51
AM,p51p52,2023,2511097.7,2516858.6,.0069,.0069,.51,.52
AM,p52p53,2023,2552460.7,2561913.2,.007,.007,.52,.53
AM,p53p54,2023,2591689.1,2604681.6,.0071,.0071,.53,.54
AM,p54p55,2023,2634990.6,2651679,.0072,.0073,.54,.55
AM,p55p56,2023,2674763.6,2694867.1,.0073,.0074,.55,.5600000000000001
AM,p56p57,2023,2719524.5,2741381.7,.0074,.0075,.5600000000000001,.57
AM,p57p58,2023,2769229.8,2793021.3,.0076,.0076,.57,.58
AM,p58p59,2023,2821984.5,2847829.4,.0077,.0078,.58,.59
AM,p59p60,2023,2879073.7,2907118.7,.0079,.008,.59,.6
AM,p5p6,2023,951370.7000000001,47542.2,.0026,.0001,.05,.06
AM,p60p61,2023,2929606.7,2959522.2,.008,.0081,.6,.61
AM,p61p62,2023,2987436.5,3020125,.0082,.0083,.61,.62
AM,p62p63,2023,3049622.6,3085359.8,.0083,.0084,.62,.63
AM,p63p64,2023,3111721.5,3150602.8,.0085,.0086,.63,.64
AM,p64p65,2023,3170923.5,3212859.7,.0087,.0088,.64,.65
AM,p65p66,2023,3231977,3277188.2,.0088,.009,.65,.66
AM,p66p67,2023,3292028.5,3344584.4,.009,.0092,.66,.67
AM,p67p68,2023,3358766.9,3419176.1,.0092,.0094,.67,.68
AM,p68p69,2023,3416487.7,3484415,.0093,.0095,.68,.6899999999999999
AM,p69p70,2023,3484424.1,3560631.4,.0095,.0097,.6899999999999999,.7
AM,p6p7,2023,1003624.4,142626.5,.0027,.0004,.06,.07
AM,p70p71,2023,3550182.3,3634757.4,.0097,.0099,.7,.71
AM,p71p72,2023,3630294.6,3723661.5,.0099,.0102,.71,.72
AM,p72p73,2023,3705854.5,3807952,.0101,.0104,.72,.73
AM,p73p74,2023,3777711.5,3888505.3,.0103,.0106,.73,.74
AM,p74p75,2023,3854992.1,3975086.6,.0105,.0109,.74,.75
AM,p75p76,2023,3936389.5,4066319,.0108,.0111,.75,.76
AM,p76p77,2023,4025780.6,4165420.2,.011,.0114,.76,.77
AM,p77p78,2023,4126127.8,4276546.5,.0113,.0117,.77,.78
AM,p78p79,2023,4227803.600000001,4389488.8,.0116,.012,.78,.79
AM,p79p80,2023,4333509.100000001,4507099.2,.0119,.0123,.79,.8
AM,p7p8,2023,1061584.9,237710.9,.0029,.0007,.07,.08
AM,p80p81,2023,4421930.9,4606750.8,.0121,.0126,.8,.8100000000000001
