country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AO,p0p1,2023,160615.5,0,.0004,0,0,.01
AO,p10p11,2023,444355.1,216812.4,.0012,.0006,.1,.11
AO,p11p12,2023,466827,256232.8,.0012,.0007,.11,.12
AO,p12p13,2023,487849.8,295653.3,.0013,.0008,.12,.13
AO,p13p14,2023,510183.7,335073.7,.0013,.0009,.13,.14
AO,p14p15,2023,532793.7000000001,374494.1,.0014,.001,.14,.15
AO,p15p16,2023,558577.7000000001,413914.6,.0014,.0011,.15,.16
AO,p16p17,2023,585097.8,453335,.0015,.0012,.16,.17
AO,p17p18,2023,609271.8,492755.5,.0016,.0013,.17,.18
AO,p18p19,2023,632249.7000000001,532175.9,.0016,.0014,.18,.19
AO,p19p20,2023,658401.8,571596.3,.0017,.0015,.19,.2
AO,p1p2,2023,188492.7,0,.0005,0,.01,.02
AO,p20p21,2023,682575.7000000001,591306.6,.0018,.0015,.2,.21
AO,p21p22,2023,702425.5,612882.9,.0018,.0016,.21,.22
AO,p22p23,2023,723471.4,635690,.0019,.0016,.22,.23
AO,p23p24,2023,744977.3,658949,.0019,.0017,.23,.24
AO,p24p25,2023,769036.3,684776.1000000001,.002,.0018,.24,.25
AO,p25p26,2023,794383.3,711953.4,.0021,.0018,.25,.26
AO,p26p27,2023,819086.3,737773.9,.0021,.0019,.26,.27
AO,p27p28,2023,845307.4,765164.9,.0022,.002,.27,.28
AO,p28p29,2023,871827.4,792741.2000000001,.0023,.0021,.28,.29
AO,p29p30,2023,902073.7000000001,824165.8,.0023,.0021,.29,.3
AO,p2p3,2023,221108,0,.0006,0,.02,.03
AO,p30p31,2023,929674.8,852753.3,.0024,.0022,.3,.31
AO,p31p32,2023,957896.9,882060.3,.0025,.0023,.31,.32
AO,p32p33,2023,988028.2000000001,913377.7000000001,.0026,.0024,.32,.33
AO,p33p34,2023,1017860.4,944361.1000000001,.0026,.0024,.33,.34
AO,p34p35,2023,1044426.4,971868.5,.0027,.0025,.34,.35
AO,p35p36,2023,1069980.5,998341.3,.0028,.0026,.35,.36
AO,p36p37,2023,1098708.6,1028451.8,.0028,.0027,.36,.37
AO,p37p38,2023,1129437.9,1060672.4,.0029,.0027,.37,.38
AO,p38p39,2023,1163870.3,1096721,.003,.0028,.38,.39
AO,p39p40,2023,1200970.8,1135486.8,.0031,.0029,.39,.4
AO,p3p4,2023,248456.1,0,.0006,0,.03,.04
AO,p40p41,2023,1238416.3,1174583.5,.0032,.003,.4,.41
AO,p41p42,2023,1273630.8,1212016.8,.0033,.0031,.41,.42
AO,p42p43,2023,1311628.3,1252337.8,.0034,.0032,.42,.43
AO,p43p44,2023,1347877.8,1290849.9,.0035,.0033,.43,.44
AO,p44p45,2023,1387094.4,1332479.2,.0036,.0035,.44,.45
AO,p45p46,2023,1426081,1373831.5,.0037,.0036,.45,.46
AO,p46p47,2023,1462560.4,1412360.6,.0038,.0037,.46,.47
AO,p47p48,2023,1500788,1452668.6,.0039,.0038,.47,.48
AO,p48p49,2023,1543339.7,1497510.4,.004,.0039,.48,.49
AO,p49p50,2023,1584442.4,1540822.6,.0041,.004,.49,.5
AO,p4p5,2023,276678.2,0,.0007,0,.04,.05
AO,p50p51,2023,1620415.9,1578802.5,.0042,.0041,.5,.51
AO,p51p52,2023,1661909.5,1622893.5,.0043,.0042,.51,.52
AO,p52p53,2023,1702207.2,1665822.1,.0044,.0043,.52,.53
AO,p53p54,2023,1744919.9,1711255.2,.0045,.0044,.53,.54
AO,p54p55,2023,1786367.6,1755395.4,.0046,.0045,.54,.55
AO,p55p56,2023,1835474.6,1807571.1,.0048,.0047,.55,.5600000000000001
AO,p56p57,2023,1885064.6,1860465.7,.0049,.0048,.5600000000000001,.57
AO,p57p58,2023,1936701.7,1915500.3,.005,.005,.57,.58
AO,p58p59,2023,1991282.9,1973695.9,.0052,.0051,.58,.59
AO,p59p60,2023,2040527.9,2026251.7,.0053,.0053,.59,.6
AO,p5p6,2023,302002.3,19710.2,.0008,.0001,.05,.06
AO,p60p61,2023,2097018.2,2086427.8,.0054,.0054,.6,.61
AO,p61p62,2023,2160454.8,2154235.1,.0056,.0056,.61,.62
AO,p62p63,2023,2220464.2,2218422.8,.0058,.0057,.62,.63
AO,p63p64,2023,2291399.1,2294142.9,.0059,.0059,.63,.64
AO,p64p65,2023,2368383.2,2376296.5,.0061,.0062,.64,.65
AO,p65p66,2023,2430393.8,2442677,.0063,.0063,.65,.66
AO,p66p67,2023,2490081.2,2506589.1,.0065,.0065,.66,.67
AO,p67p68,2023,2554644.8,2575673.1,.0066,.0067,.67,.68
AO,p68p69,2023,2639242.3,2665892.5,.0068,.0069,.68,.6899999999999999
AO,p69p70,2023,2727864.9,2760397.4,.0071,.0072,.6899999999999999,.7
AO,p6p7,2023,328384.3,59130.60000000001,.0009,.0002,.06,.07
AO,p70p71,2023,2813497.3,2851768.1,.0073,.0074,.7,.71
AO,p71p72,2023,2913827.4,2957693.1,.0076,.0077,.71,.72
AO,p72p73,2023,3007372.2,3056416.7,.0078,.0079,.72,.73
AO,p73p74,2023,3104321.2,3158673.5,.008,.0082,.73,.74
AO,p74p75,2023,3207434.3,3267363.7,.0083,.0085,.74,.75
AO,p75p76,2023,3315285.7,3380988.3,.0086,.0088,.75,.76
AO,p76p77,2023,3435189.6,3507050.3,.0089,.0091,.76,.77
AO,p77p78,2023,3547710.2,3625200.4,.0092,.0094,.77,.78
AO,p78p79,2023,3678953.5,3763030.2,.0095,.0098,.78,.79
AO,p79p80,2023,3827171.5,3918687.3,.0099,.0102,.79,.8
AO,p7p8,2023,353984.4,98551.10000000001,.0009,.0003,.07,.08
AO,p80p81,2023,3997424.4,4097480,.0104,.0106,.8,.8100000000000001
AO,p81p82,2023,4163767.2,4270645.8,.0108,.0111,.8100000000000001,.82
AO,p82p83,2023,4349936.8,4464482.9,.0113,.0116,.82,.83
AO,p83p84,2023,4550320.9,4672945.4,.0118,.0121,.83,.84
AO,p84p85,2023,4759652.4,4890491.9,.0123,.0127,.84,.85
AO,p85p86,2023,4986947.7,5126585.7,.0129,.0133,.85,.86
AO,p86p87,2023,5293642.100000001,5445439.4,.0137,.0141,.86,.87
AO,p87p88,2023,5633457.9,5798587.100000001,.0146,.015,.87,.88
AO,p88p89,2023,6017297.5,6197351.800000001,.0156,.0161,.88,.89
AO,p89p90,2023,6509839.5,6709584.100000001,.0169,.0174,.89,.9
AO,p8p9,2023,382666.6,137971.5,.001,.0004,.08,.09
AO,p90p91,2023,7052960.600000001,7273994,.0183,.0188,.9,.91
AO,p91p92,2023,7702116,7936212.5,.02,.0206,.91,.92
AO,p92p93,2023,8580038.700000001,8833696.700000001,.0222,.0229,.92,.93
AO,p93p94,2023,9711868.700000001,9990877.4,.0252,.0259,.93,.9399999999999999
AO,p94p95,2023,11051052.1,11357207.7,.0286,.0294,.9399999999999999,.95
AO,p95p96,2023,12755179.8,13094219.6,.0331,.0339,.95,.96
AO,p96p97,2023,15402518.4,15755836,.0399,.0408,.96,.97
