country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AR,p0p1,2023,1479424.5,505.9,.0009,0,0,.01
AR,p10p11,2023,1889324.5,897813.7000000001,.0011,.0005,.1,.11
AR,p11p12,2023,2210991.3,1498244.9,.0013,.0009,.11,.12
AR,p12p13,2023,2568781.2,1927977.2,.0015,.0011,.12,.13
AR,p13p14,2023,2896721.4,2212812.7,.0017,.0013,.13,.14
AR,p14p15,2023,3224864.1,2521730.2,.0019,.0015,.14,.15
AR,p15p16,2023,3517086.1,2710440,.0021,.0016,.15,.16
AR,p16p17,2023,3824789.4,3002965.6,.0023,.0018,.16,.17
AR,p17p18,2023,4032016.1,3169819.5,.0024,.0019,.17,.18
AR,p18p19,2023,4175698.6,3246214.1,.0025,.0019,.18,.19
AR,p19p20,2023,4363093.100000001,3326656.1,.0026,.002,.19,.2
AR,p1p2,2023,1495816.4,1720.1,.0009,0,.01,.02
AR,p20p21,2023,4613728.100000001,3488349.6,.0027,.0021,.2,.21
AR,p21p22,2023,4884296.5,3651459.7,.0029,.0022,.21,.22
AR,p22p23,2023,5190886.800000001,3809206.9,.0031,.0022,.22,.23
AR,p23p24,2023,5473698.600000001,3940747.3,.0032,.0023,.23,.24
AR,p24p25,2023,5730708.300000001,4042134.6,.0034,.0024,.24,.25
AR,p25p26,2023,5897461,4124296.7,.0035,.0024,.25,.26
AR,p26p27,2023,6078986.7,4282954.600000001,.0036,.0025,.26,.27
AR,p27p28,2023,6286618.100000001,4522155.8,.0037,.0027,.27,.28
AR,p28p29,2023,6500927.7,4727459.9,.0038,.0028,.28,.29
AR,p29p30,2023,6670918.4,4925681.2,.0039,.0029,.29,.3
AR,p2p3,2023,1514839.2,2732,.0009,0,.02,.03
AR,p30p31,2023,6835748.600000001,5091826.800000001,.004,.003,.3,.31
AR,p31p32,2023,6947153.2,5233890.4,.0041,.0031,.31,.32
AR,p32p33,2023,7113400,5424219.2,.0042,.0032,.32,.33
AR,p33p34,2023,7285313.100000001,5658158.7,.0043,.0033,.33,.34
AR,p34p35,2023,7418168.9,5851118.300000001,.0044,.0034,.34,.35
AR,p35p36,2023,7648971.7,6121990.300000001,.0045,.0036,.35,.36
AR,p36p37,2023,7790428.2,6303111.300000001,.0046,.0037,.36,.37
AR,p37p38,2023,7925004.100000001,6514688.9,.0047,.0038,.37,.38
AR,p38p39,2023,8013642.100000001,6592297.7,.0047,.0039,.38,.39
AR,p39p40,2023,8245355.5,6844146.9,.0049,.004,.39,.4
AR,p3p4,2023,1537605.8,3845,.0009,0,.03,.04
AR,p40p41,2023,8439630.5,7117852.100000001,.005,.0042,.4,.41
AR,p41p42,2023,8570563.800000001,7362314.800000001,.005,.0043,.41,.42
AR,p42p43,2023,8761600.9,7611027.300000001,.0052,.0045,.42,.43
AR,p43p44,2023,8925925.200000001,7829080.800000001,.0053,.0046,.43,.44
AR,p44p45,2023,9118277.700000001,8087001.100000001,.0054,.0048,.44,.45
AR,p45p46,2023,9224623,8212774,.0054,.0048,.45,.46
AR,p46p47,2023,9334914.6,8352712.7,.0055,.0049,.46,.47
AR,p47p48,2023,9556610.700000001,8670028.5,.0056,.0051,.47,.48
AR,p48p49,2023,9790651.4,9029336.1,.0058,.0053,.48,.49
AR,p49p50,2023,9927959.300000001,9276834.4,.0058,.0055,.49,.5
AR,p4p5,2023,1565937.6,4856.900000000001,.0009,0,.04,.05
AR,p50p51,2023,10122841.4,9651016.200000001,.006,.0057,.5,.51
AR,p51p52,2023,10257923.3,9862492.6,.006,.0058,.51,.52
AR,p52p53,2023,10472030.5,10161696.4,.0062,.006,.52,.53
AR,p53p54,2023,10589506.2,10384707.9,.0062,.0061,.53,.54
AR,p54p55,2023,10744825,10602761.4,.0063,.0062,.54,.55
AR,p55p56,2023,11026726.2,11007804.6,.0065,.0065,.55,.5600000000000001
AR,p56p57,2023,11449780.2,11415984.5,.0067,.0067,.5600000000000001,.57
AR,p57p58,2023,11817081.5,11778428.8,.007,.0069,.57,.58
