country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AT,p0p1,2023,17916.9,0,.0033,0,0,.01
AT,p10p11,2023,27874.2,9462.800000000001,.0052,.0018,.1,.11
AT,p11p12,2023,28479.7,11183.3,.0053,.0021,.11,.12
AT,p12p13,2023,28965.3,12903.8,.0054,.0024,.12,.13
AT,p13p14,2023,29544.3,14624.3,.0055,.0027,.13,.14
AT,p14p15,2023,29961.8,16344.8,.0056,.003,.14,.15
AT,p15p16,2023,30332,18065.3,.0057,.0034,.15,.16
AT,p16p17,2023,30704.1,19785.8,.0057,.0037,.16,.17
AT,p17p18,2023,31242.5,21506.3,.0058,.004,.17,.18
AT,p18p19,2023,31933.3,23226.8,.006,.0043,.18,.19
AT,p19p20,2023,32322.7,24947.3,.006,.0047,.19,.2
AT,p1p2,2023,18199.5,0,.0034,0,.01,.02
AT,p20p21,2023,32805.7,25807.5,.0061,.0048,.2,.21
AT,p21p22,2023,33354.3,26738.6,.0062,.005,.21,.22
AT,p22p23,2023,33676.6,27378.1,.0063,.0051,.22,.23
AT,p23p24,2023,33931,27926.6,.0063,.0052,.23,.24
AT,p24p25,2023,34293.9,28603.6,.0064,.0053,.24,.25
AT,p25p26,2023,34637.9,29251.3,.0065,.0055,.25,.26
AT,p26p27,2023,35075.8,29785.6,.0065,.0056,.26,.27
AT,p27p28,2023,35526,30332.1,.0066,.0057,.27,.28
AT,p28p29,2023,36165.7,31109.3,.0067,.0058,.28,.29
AT,p29p30,2023,36679.7,31727.6,.0068,.0059,.29,.3
AT,p2p3,2023,18761.8,0,.0035,0,.02,.03
AT,p30p31,2023,37149.3,32286.2,.0069,.006,.3,.31
AT,p31p32,2023,37743.6,33034.1,.007,.0062,.31,.32
AT,p32p33,2023,38340.2,33778.9,.0071,.0063,.32,.33
AT,p33p34,2023,38780.1,34323.4,.0072,.0064,.33,.34
AT,p34p35,2023,39255.1,34904.2,.0073,.0065,.34,.35
AT,p35p36,2023,39726.7,35473,.0074,.0066,.35,.36
AT,p36p37,2023,40050.2,36093.3,.0075,.0067,.36,.37
AT,p37p38,2023,40300.8,36617.5,.0075,.0068,.37,.38
AT,p38p39,2023,40497.4,37071.9,.0076,.0069,.38,.39
AT,p39p40,2023,40870.5,37738.8,.0076,.007,.39,.4
AT,p3p4,2023,19484.7,0,.0036,0,.03,.04
AT,p40p41,2023,41175.5,38321.7,.0077,.0071,.4,.41
AT,p41p42,2023,41453.9,38899.5,.0077,.0073,.41,.42
AT,p42p43,2023,41711.60000000001,39456.10000000001,.0078,.0074,.42,.43
AT,p43p44,2023,42103.2,40178.7,.0078,.0075,.43,.44
AT,p44p45,2023,42371.8,40756.5,.0079,.0076,.44,.45
AT,p45p46,2023,42570,41253.4,.0079,.0077,.45,.46
AT,p46p47,2023,43263,41978,.0081,.0078,.46,.47
AT,p47p48,2023,43821.9,42540.60000000001,.0082,.0079,.47,.48
AT,p48p49,2023,44333.7,43044.60000000001,.0083,.008,.48,.49
AT,p49p50,2023,44975.3,43703.4,.0084,.0081,.49,.5
AT,p4p5,2023,20463.5,0,.0038,0,.04,.05
AT,p50p51,2023,45497.7,44212.4,.0085,.0082,.5,.51
