country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AU,p0p1,2023,19880.7,0,.0018,0,0,.01
AU,p10p11,2023,30455.1,11584.7,.0028,.0011,.1,.11
AU,p11p12,2023,32372.7,13691,.003,.0013,.11,.12
AU,p12p13,2023,34306,15797.3,.0032,.0015,.12,.13
AU,p13p14,2023,36255.3,17903.6,.0033,.0016,.13,.14
AU,p14p15,2023,38222.2,20009.9,.0035,.0018,.14,.15
AU,p15p16,2023,40207.10000000001,22116.2,.0037,.002,.15,.16
AU,p16p17,2023,41939.8,24222.5,.0039,.0022,.16,.17
AU,p17p18,2023,43694.4,26328.8,.004,.0024,.17,.18
AU,p18p19,2023,45473.60000000001,28435.1,.0042,.0026,.18,.19
AU,p19p20,2023,47278.7,30541.4,.0044,.0028,.19,.2
AU,p1p2,2023,20092.2,0,.0019,0,.01,.02
AU,p20p21,2023,48112.7,31594.5,.0044,.0029,.2,.21
AU,p21p22,2023,48992,32862.8,.0045,.003,.21,.22
AU,p22p23,2023,49613.7,33852,.0046,.0031,.22,.23
AU,p23p24,2023,50365.5,34970.1,.0046,.0032,.23,.24
AU,p24p25,2023,51151.60000000001,36117.5,.0047,.0033,.24,.25
AU,p25p26,2023,52133.10000000001,37461.8,.0048,.0035,.25,.26
AU,p26p27,2023,53240.7,38736,.0049,.0036,.26,.27
AU,p27p28,2023,54531.5,40195.3,.005,.0037,.27,.28
AU,p28p29,2023,55945.2,41777.10000000001,.0052,.0038,.28,.29
AU,p29p30,2023,57155.7,43141.10000000001,.0053,.004,.29,.3
AU,p2p3,2023,20313.5,0,.0019,0,.02,.03
AU,p30p31,2023,58661.2,44810,.0054,.0041,.3,.31
AU,p31p32,2023,59952.60000000001,46307.8,.0055,.0043,.31,.32
AU,p32p33,2023,61370.8,47940.3,.0057,.0044,.32,.33
AU,p33p34,2023,63100.2,49902.7,.0058,.0046,.33,.34
AU,p34p35,2023,64387.10000000001,51404.7,.0059,.0047,.34,.35
AU,p35p36,2023,65793.60000000001,53038.5,.0061,.0049,.35,.36
AU,p36p37,2023,67872.40000000001,55161.10000000001,.0063,.0051,.36,.37
AU,p37p38,2023,69877.40000000001,57213,.0064,.0053,.37,.38
