country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AW,p0p1,2023,0,0,0,0,0,.01
AW,p10p11,2023,9019,4341,.0013,.0006,.1,.11
AW,p11p12,2023,10367.2,5267.1,.0015,.0007,.11,.12
AW,p12p13,2023,12121.9,6217.1,.0017,.0009,.12,.13
AW,p13p14,2023,15068.6,7187.200000000001,.0021,.001,.13,.14
AW,p14p15,2023,16042.1,8175.3,.0023,.0012,.14,.15
AW,p15p16,2023,18918.9,9180.6,.0027,.0013,.15,.16
AW,p16p17,2023,19729.9,10201,.0028,.0015,.16,.17
AW,p17p18,2023,20749.4,11235.5,.003,.0016,.17,.18
AW,p18p19,2023,21495.5,12283.1,.0031,.0017,.18,.19
AW,p19p20,2023,21520.2,13343.2,.0031,.0019,.19,.2
AW,p1p2,2023,0,0,0,0,.01,.02
AW,p20p21,2023,21599.4,13877.5,.0031,.002,.2,.21
AW,p21p22,2023,21871.9,14988.7,.0031,.0021,.21,.22
AW,p22p23,2023,21916.7,16101.6,.0031,.0023,.22,.23
AW,p23p24,2023,22970.6,17215.3,.0033,.0025,.23,.24
AW,p24p25,2023,23069.4,18329.8,.0033,.0026,.24,.25
AW,p25p26,2023,23345.3,19445.2,.0033,.0028,.25,.26
AW,p26p27,2023,23650.5,20561,.0034,.0029,.26,.27
AW,p27p28,2023,24630.7,21675.6,.0035,.0031,.27,.28
AW,p28p29,2023,25721.4,22790.5,.0037,.0032,.28,.29
AW,p29p30,2023,26815.8,23903.4,.0038,.0034,.29,.3
AW,p2p3,2023,0,0,0,0,.02,.03
AW,p30p31,2023,27912.8,25015.9,.004,.0036,.3,.31
AW,p31p32,2023,29011.9,26125.8,.0041,.0037,.31,.32
AW,p32p33,2023,30107.1,27234.1,.0043,.0039,.32,.33
AW,p33p34,2023,31199.9,28339.9,.0044,.004,.33,.34
AW,p34p35,2023,32291.9,29443.1,.0046,.0042,.34,.35
AW,p35p36,2023,33386.7,30542.6,.0048,.0043,.35,.36
AW,p36p37,2023,34468.2,31639.5,.0049,.0045,.36,.37
AW,p37p38,2023,35538.4,32731.9,.0051,.0047,.37,.38
AW,p38p39,2023,36609.4,33820.9,.0052,.0048,.38,.39
AW,p39p40,2023,37672.9,34905.3,.0054,.005,.39,.4
AW,p3p4,2023,0,0,0,0,.03,.04
AW,p40p41,2023,38728.4,35984.7,.0055,.0051,.4,.41
AW,p41p42,2023,39756.3,37059.9,.0057,.0053,.41,.42
AW,p42p43,2023,40781.2,38129.7,.0058,.0054,.42,.43
AW,p43p44,2023,41797,39193.5,.006,.0056,.43,.44
AW,p44p45,2023,42801,40251.60000000001,.0061,.0057,.44,.45
AW,p45p46,2023,43795.4,41303.7,.0062,.0059,.45,.46
AW,p46p47,2023,44790.60000000001,42349.60000000001,.0064,.006,.46,.47
AW,p47p48,2023,45770.7,43388,.0065,.0062,.47,.48
AW,p48p49,2023,46739.2,44419.2,.0067,.0063,.48,.49
AW,p49p50,2023,47707.2,45443.3,.0068,.0065,.49,.5
AW,p4p5,2023,0,0,0,0,.04,.05
AW,p50p51,2023,48656.4,46458.7,.0069,.0066,.5,.51
AW,p51p52,2023,49593,47465.2,.0071,.0068,.51,.52
AW,p52p53,2023,50520.8,48462.10000000001,.0072,.0069,.52,.53
AW,p53p54,2023,51428.10000000001,49449.8,.0073,.007,.53,.54
AW,p54p55,2023,52324.10000000001,50426.60000000001,.0074,.0072,.54,.55
AW,p55p56,2023,53208.3,51392.9,.0076,.0073,.55,.5600000000000001
AW,p56p57,2023,54069.2,52346.7,.0077,.0075,.5600000000000001,.57
AW,p57p58,2023,54922,53290,.0078,.0076,.57,.58
AW,p58p59,2023,55758.2,54219.9,.0079,.0077,.58,.59
AW,p59p60,2023,56580.5,55138.10000000001,.0081,.0078,.59,.6
AW,p5p6,2023,4388.3,278.8,.0006,0,.05,.06
AW,p60p61,2023,57387.7,56043.3,.0082,.008,.6,.61
AW,p61p62,2023,58169.4,56935.9,.0083,.0081,.61,.62
AW,p62p63,2023,58937.7,57814.8,.0084,.0082,.62,.63
AW,p63p64,2023,59695.10000000001,58681.9,.0085,.0084,.63,.64
AW,p64p65,2023,60436.60000000001,59535.60000000001,.0086,.0085,.64,.65
AW,p65p66,2023,61165.10000000001,60378,.0087,.0086,.65,.66
AW,p66p67,2023,61875.60000000001,61209.10000000001,.0088,.0087,.66,.67
AW,p67p68,2023,62581.10000000001,62030.10000000001,.0089,.0088,.67,.68
