country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AZ,p0p1,2023,3468.9,0,.0024,0,0,.01
AZ,p10p11,2023,5734,2418.2,.004,.0017,.1,.11
AZ,p11p12,2023,5855.8,2857.9,.0041,.002,.11,.12
AZ,p12p13,2023,5953.3,3297.6,.0041,.0023,.12,.13
AZ,p13p14,2023,6040.700000000001,3737.2,.0042,.0026,.13,.14
AZ,p14p15,2023,6136.3,4176.900000000001,.0043,.0029,.14,.15
AZ,p15p16,2023,6232.200000000001,4616.6,.0043,.0032,.15,.16
AZ,p16p17,2023,6330.1,5056.3,.0044,.0035,.16,.17
AZ,p17p18,2023,6436.200000000001,5495.900000000001,.0045,.0038,.17,.18
AZ,p18p19,2023,6519,5935.6,.0045,.0041,.18,.19
AZ,p19p20,2023,6587.900000000001,6375.3,.0046,.0044,.19,.2
AZ,p1p2,2023,3835.5,0,.0027,0,.01,.02
AZ,p20p21,2023,6683.5,6595.1,.0046,.0046,.2,.21
AZ,p21p22,2023,6760.700000000001,6693,.0047,.0047,.21,.22
AZ,p22p23,2023,6820.200000000001,6772.200000000001,.0047,.0047,.22,.23
AZ,p23p24,2023,6892.6,6864.5,.0048,.0048,.23,.24
AZ,p24p25,2023,7002.6,6996,.0049,.0049,.24,.25
AZ,p25p26,2023,7064.200000000001,7076.200000000001,.0049,.0049,.25,.26
AZ,p26p27,2023,7147.700000000001,7178.400000000001,.005,.005,.26,.27
AZ,p27p28,2023,7209.400000000001,7257.400000000001,.005,.005,.27,.28
AZ,p28p29,2023,7293.400000000001,7359.400000000001,.0051,.0051,.28,.29
AZ,p29p30,2023,7377.200000000001,7460.8,.0051,.0052,.29,.3
AZ,p2p3,2023,4153.6,0,.0029,0,.02,.03
AZ,p30p31,2023,7482.400000000001,7584.400000000001,.0052,.0053,.3,.31
AZ,p31p32,2023,7570.1,7673.6,.0053,.0053,.31,.32
AZ,p32p33,2023,7670.8,7776.400000000001,.0053,.0054,.32,.33
AZ,p33p34,2023,7786.400000000001,7894.6,.0054,.0055,.33,.34
AZ,p34p35,2023,7880,7989.700000000001,.0055,.0056,.34,.35
AZ,p35p36,2023,7995.6,8107.6,.0056,.0056,.35,.36
AZ,p36p37,2023,8107.400000000001,8221.800000000001,.0056,.0057,.36,.37
AZ,p37p38,2023,8206.6,8323,.0057,.0058,.37,.38
AZ,p38p39,2023,8317.200000000001,8435.700000000001,.0058,.0059,.38,.39
AZ,p39p40,2023,8418.1,8538.1,.0059,.0059,.39,.4
AZ,p3p4,2023,4406.7,0,.0031,0,.03,.04
AZ,p40p41,2023,8530,8652.1,.0059,.006,.4,.41
AZ,p41p42,2023,8624.4,8750.4,.006,.0061,.41,.42
AZ,p42p43,2023,8745.5,8876.700000000001,.0061,.0062,.42,.43
AZ,p43p44,2023,8860.1,8996.200000000001,.0062,.0063,.43,.44
AZ,p44p45,2023,8965.1,9105.4,.0062,.0063,.44,.45
AZ,p45p46,2023,9099.5,9245.6,.0063,.0064,.45,.46
AZ,p46p47,2023,9226.6,9378.1,.0064,.0065,.46,.47
AZ,p47p48,2023,9368.300000000001,9525.800000000001,.0065,.0066,.47,.48
AZ,p48p49,2023,9492.6,9655.5,.0066,.0067,.48,.49
