country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BA,p0p1,2023,2429.7,0,.0014,0,0,.01
BA,p10p11,2023,3898,1892.3,.0023,.0011,.1,.11
BA,p11p12,2023,4274.2,2236.3,.0025,.0013,.11,.12
BA,p12p13,2023,4607.1,2580.3,.0027,.0015,.12,.13
BA,p13p14,2023,4876.6,2924.4,.0029,.0017,.13,.14
BA,p14p15,2023,5128.6,3268.4,.003,.0019,.14,.15
BA,p15p16,2023,5299.8,3612.5,.0031,.0021,.15,.16
BA,p16p17,2023,5512.1,3956.5,.0033,.0023,.16,.17
BA,p17p18,2023,5674.8,4300.6,.0034,.0025,.17,.18
BA,p18p19,2023,5872.700000000001,4644.6,.0035,.0027,.18,.19
BA,p19p20,2023,6082.5,4988.700000000001,.0036,.0029,.19,.2
BA,p1p2,2023,2518.4,0,.0015,0,.01,.02
BA,p20p21,2023,6308.3,5160.700000000001,.0037,.003,.2,.21
BA,p21p22,2023,6572.6,5478.200000000001,.0039,.0032,.21,.22
BA,p22p23,2023,6862.5,5824.700000000001,.0041,.0034,.22,.23
BA,p23p24,2023,7129.1,6142.200000000001,.0042,.0036,.23,.24
BA,p24p25,2023,7398.5,6461.6,.0044,.0038,.24,.25
BA,p25p26,2023,7700,6817.200000000001,.0045,.004,.25,.26
BA,p26p27,2023,7994.700000000001,7171.700000000001,.0047,.0042,.26,.27
BA,p27p28,2023,8217.6,7440.1,.0049,.0044,.27,.28
BA,p28p29,2023,8405.1,7665.400000000001,.005,.0045,.28,.29
BA,p29p30,2023,8602.6,7900.8,.0051,.0047,.29,.3
BA,p2p3,2023,2572.3,0,.0015,0,.02,.03
BA,p30p31,2023,8782.700000000001,8114.1,.0052,.0048,.3,.31
BA,p31p32,2023,8994.4,8336.4,.0053,.0049,.31,.32
BA,p32p33,2023,9216.4,8569.800000000001,.0054,.0051,.32,.33
BA,p33p34,2023,9440.700000000001,8805.1,.0056,.0052,.33,.34
BA,p34p35,2023,9652,9024.5,.0057,.0053,.34,.35
BA,p35p36,2023,9848.300000000001,9225.800000000001,.0058,.0054,.35,.36
BA,p36p37,2023,9973.900000000001,9427.1,.0059,.0056,.36,.37
BA,p37p38,2023,10087.7,9614.300000000001,.006,.0057,.37,.38
BA,p38p39,2023,10218.6,9820.700000000001,.006,.0058,.38,.39
BA,p39p40,2023,10379.5,10061,.0061,.0059,.39,.4
BA,p3p4,2023,2611.1,0,.0015,0,.03,.04
BA,p40p41,2023,10537.3,10297.4,.0062,.0061,.4,.41
BA,p41p42,2023,10691.5,10537.7,.0063,.0062,.41,.42
BA,p42p43,2023,10854.5,10788.1,.0064,.0064,.42,.43
BA,p43p44,2023,11004.7,11023.4,.0065,.0065,.43,.44
