country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BB,p0p1,2023,3832.6,0,.0004,0,0,.01
BB,p10p11,2023,8098,5805.1,.0009,.0006,.1,.11
BB,p11p12,2023,9126.5,7044.200000000001,.001,.0007,.11,.12
BB,p12p13,2023,10249.7,8314.1,.0011,.0009,.12,.13
BB,p13p14,2023,11455.8,9610.9,.0012,.001,.13,.14
BB,p14p15,2023,12730.7,10933.4,.0014,.0012,.14,.15
BB,p15p16,2023,14064.4,12276.6,.0015,.0013,.15,.16
BB,p16p17,2023,15433.9,13641.7,.0016,.0015,.16,.17
BB,p17p18,2023,16839.3,15025.2,.0018,.0016,.17,.18
BB,p18p19,2023,18272.7,16426.1,.0019,.0017,.18,.19
BB,p19p20,2023,19728.4,17844.3,.0021,.0019,.19,.2
BB,p1p2,2023,3881.3,0,.0004,0,.01,.02
BB,p20p21,2023,21203.8,18558.2,.0023,.002,.2,.21
BB,p21p22,2023,22622.6,20043.7,.0024,.0021,.21,.22
BB,p22p23,2023,24048.7,21532.5,.0026,.0023,.22,.23
BB,p23p24,2023,25479.3,23021.8,.0027,.0025,.23,.24
BB,p24p25,2023,26916,24512.3,.0029,.0026,.24,.25
BB,p25p26,2023,28356.1,26004.5,.003,.0028,.25,.26
BB,p26p27,2023,29816.3,27495.5,.0032,.0029,.26,.27
BB,p27p28,2023,31279.4,28987.1,.0033,.0031,.27,.28
BB,p28p29,2023,32745.8,30477,.0035,.0032,.28,.29
BB,p29p30,2023,34215.6,31965.8,.0036,.0034,.29,.3
BB,p2p3,2023,3964.7,0,.0004,0,.02,.03
BB,p30p31,2023,35688.1,33453.5,.0038,.0036,.3,.31
BB,p31p32,2023,37151.7,34937.8,.004,.0037,.31,.32
BB,p32p33,2023,38614.8,36419.9,.0041,.0039,.32,.33
BB,p33p34,2023,40076.7,37898.6,.0043,.004,.33,.34
BB,p34p35,2023,41537.5,39374,.0044,.0042,.34,.35
BB,p35p36,2023,42996.60000000001,40844.9,.0046,.0043,.35,.36
BB,p36p37,2023,44441.2,42310.7,.0047,.0045,.36,.37
BB,p37p38,2023,45885.2,43772.10000000001,.0049,.0047,.37,.38
BB,p38p39,2023,47324.7,45228.4,.005,.0048,.38,.39
BB,p39p40,2023,48761.5,46678.60000000001,.0052,.005,.39,.4
BB,p3p4,2023,4100.8,0,.0004,0,.03,.04
BB,p40p41,2023,50194.3,48122.60000000001,.0053,.0051,.4,.41
BB,p41p42,2023,51599.7,49559.3,.0055,.0053,.41,.42
BB,p42p43,2023,53000.60000000001,50990.5,.0056,.0054,.42,.43
BB,p43p44,2023,54393.60000000001,52413.2,.0058,.0056,.43,.44
BB,p44p45,2023,55779.9,53828.10000000001,.0059,.0057,.44,.45
BB,p45p46,2023,57159.60000000001,55235.7,.0061,.0059,.45,.46
BB,p46p47,2023,58538.60000000001,56633.2,.0062,.006,.46,.47
BB,p47p48,2023,59908.7,58022.4,.0064,.0062,.47,.48
BB,p48p49,2023,61270.4,59402,.0065,.0063,.48,.49
BB,p49p50,2023,62623.7,60770.4,.0067,.0065,.49,.5
BB,p4p5,2023,4314.7,0,.0005,0,.04,.05
BB,p50p51,2023,63965.8,62128.8,.0068,.0066,.5,.51
BB,p51p52,2023,65284.4,63474.8,.0069,.0068,.51,.52
BB,p52p53,2023,66591.8,64808.5,.0071,.0069,.52,.53
BB,p53p54,2023,67885.8,66128.2,.0072,.007,.53,.54
BB,p54p55,2023,69166.3,67435.60000000001,.0074,.0072,.54,.55
BB,p55p56,2023,70433.40000000001,68726.7,.0075,.0073,.55,.5600000000000001
BB,p56p57,2023,71678.60000000001,70003.3,.0076,.0075,.5600000000000001,.57
BB,p57p58,2023,72909.8,71263.7,.0078,.0076,.57,.58
BB,p58p59,2023,74124.3,72508.40000000001,.0079,.0077,.58,.59
BB,p59p60,2023,75324.2,73735.7,.008,.0078,.59,.6
BB,p5p6,2023,4621.5,372.9,.0005,0,.05,.06
BB,p60p61,2023,76507.3,74946.2,.0081,.008,.6,.61
BB,p61p62,2023,77660.7,76139.40000000001,.0083,.0081,.61,.62
BB,p62p63,2023,78797.90000000001,77315.2,.0084,.0082,.62,.63
BB,p63p64,2023,79917.70000000001,78474.8,.0085,.0084,.63,.64
BB,p64p65,2023,81021.3,79617,.0086,.0085,.64,.65
BB,p65p66,2023,82110.3,80743,.0087,.0086,.65,.66
BB,p66p67,2023,83186.40000000001,81854.40000000001,.0089,.0087,.66,.67
BB,p67p68,2023,84249.70000000001,82951.8,.009,.0088,.67,.68
BB,p68p69,2023,85300.70000000001,84037.5,.0091,.0089,.68,.6899999999999999
BB,p69p70,2023,86344.3,85114.8,.0092,.0091,.6899999999999999,.7
BB,p6p7,2023,5040.900000000001,1292.8,.0005,.0001,.06,.07
