country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BD,p0p1,2023,52761,0,.0012,0,0,.01
BD,p10p11,2023,121113.1,56009.2,.0028,.0013,.1,.11
BD,p11p12,2023,125065.1,66192.7,.0029,.0015,.11,.12
BD,p12p13,2023,128889.4,76376.2,.003,.0018,.12,.13
BD,p13p14,2023,132486.3,86559.70000000001,.0031,.002,.13,.14
BD,p14p15,2023,136039.8,96743.20000000001,.0032,.0023,.14,.15
BD,p15p16,2023,139355.8,106926.7,.0033,.0025,.15,.16
BD,p16p17,2023,142802,117110.2,.0033,.0027,.16,.17
BD,p17p18,2023,146312.1,127293.7,.0034,.003,.17,.18
BD,p18p19,2023,149592.2,137477.2,.0035,.0032,.18,.19
BD,p19p20,2023,152987.3,147660.7,.0036,.0034,.19,.2
BD,p1p2,2023,62578.5,0,.0015,0,.01,.02
BD,p20p21,2023,156505.1,152752.5,.0037,.0036,.2,.21
BD,p21p22,2023,159729,156249.1,.0037,.0036,.21,.22
BD,p22p23,2023,163144.6,159935.9,.0038,.0037,.22,.23
BD,p23p24,2023,166271.5,163324.9,.0039,.0038,.23,.24
BD,p24p25,2023,169510.8,166821.8,.004,.0039,.24,.25
BD,p25p26,2023,172405.2,169963.3,.004,.004,.25,.26
BD,p26p27,2023,175470.7,173298.3,.0041,.004,.26,.27
BD,p27p28,2023,178973.2,177076.4,.0042,.0041,.27,.28
BD,p28p29,2023,182115.4,180481.6,.0042,.0042,.28,.29
BD,p29p30,2023,185306.1,183932.8,.0043,.0043,.29,.3
BD,p2p3,2023,73775.5,0,.0017,0,.02,.03
BD,p30p31,2023,188573.5,187452.6,.0044,.0044,.3,.31
BD,p31p32,2023,191958.4,190984.2,.0045,.0045,.31,.32
BD,p32p33,2023,195662.6,194836.2,.0046,.0045,.32,.33
BD,p33p34,2023,199379.7,198702.5,.0047,.0046,.33,.34
BD,p34p35,2023,203078.8,202549,.0047,.0047,.34,.35
BD,p35p36,2023,207002.7,206620.9,.0048,.0048,.35,.36
BD,p36p37,2023,210729.9,210425.3,.0049,.0049,.36,.37
BD,p37p38,2023,214260.4,214030.9,.005,.005,.37,.38
BD,p38p39,2023,218166.5,218013.8,.0051,.0051,.38,.39
BD,p39p40,2023,221870.7,221791.3,.0052,.0052,.39,.4
BD,p3p4,2023,82195.60000000001,0,.0019,0,.03,.04
BD,p40p41,2023,225603.1,225592.1,.0053,.0053,.4,.41
BD,p41p42,2023,229383.9,229497,.0054,.0054,.41,.42
BD,p42p43,2023,233024.3,233257.9,.0054,.0054,.42,.43
BD,p43p44,2023,236853.7,237212.8,.0055,.0055,.43,.44
BD,p44p45,2023,241457.2,241959.6,.0056,.0056,.44,.45
BD,p45p46,2023,245761.7,246402,.0057,.0057,.45,.46
BD,p46p47,2023,250564.5,251397.4,.0058,.0059,.46,.47
BD,p47p48,2023,254424.5,255434.2,.0059,.006,.47,.48
BD,p48p49,2023,259068.9,260271,.006,.0061,.48,.49
BD,p49p50,2023,263723.4,265116.6,.0062,.0062,.49,.5
BD,p4p5,2023,89128.90000000001,0,.0021,0,.04,.05
BD,p50p51,2023,268648.8,270241.7,.0063,.0063,.5,.51
BD,p51p52,2023,273461.7,275276.6,.0064,.0064,.51,.52
BD,p52p53,2023,278425.4,280465.6,.0065,.0065,.52,.53
BD,p53p54,2023,283332.9,285598.8,.0066,.0067,.53,.54
BD,p54p55,2023,288766.6,291273.8,.0067,.0068,.54,.55
BD,p55p56,2023,293883.6,296623,.0069,.0069,.55,.5600000000000001
BD,p56p57,2023,299621.3,302590.4,.007,.0071,.5600000000000001,.57
BD,p57p58,2023,305382,308583.6,.0071,.0072,.57,.58
BD,p58p59,2023,311331.8,314772.2,.0073,.0073,.58,.59
BD,p59p60,2023,317450.1,321133.6,.0074,.0075,.59,.6
BD,p5p6,2023,95482.3,5091.700000000001,.0022,.0001,.05,.06
BD,p60p61,2023,323882.7,327820,.0076,.0076,.6,.61
BD,p61p62,2023,330601.4,334827.5,.0077,.0078,.61,.62
BD,p62p63,2023,338178.5,342716.3,.0079,.008,.62,.63
BD,p63p64,2023,344999.4,349835.9,.008,.0082,.63,.64
BD,p64p65,2023,352515.2,357672.6,.0082,.0083,.64,.65
BD,p65p66,2023,360426.9,365915.2,.0084,.0085,.65,.66
BD,p66p67,2023,367809.8,373624.4,.0086,.0087,.66,.67
BD,p67p68,2023,376421.5,382599.4,.0088,.0089,.67,.68
BD,p68p69,2023,384565.7,391096.7,.009,.0091,.68,.6899999999999999
BD,p69p70,2023,392960.3,399855.7,.0092,.0093,.6899999999999999,.7
BD,p6p7,2023,101133.2,15275.2,.0024,.0004,.06,.07
BD,p70p71,2023,401692,408968.5,.0094,.0095,.7,.71
BD,p71p72,2023,410704.8,418343.2,.0096,.0098,.71,.72
BD,p72p73,2023,419860.7,427871.2,.0098,.01,.72,.73
BD,p73p74,2023,428973.1,437355,.01,.0102,.73,.74
BD,p74p75,2023,439978.5,448791.7,.0103,.0105,.74,.75
BD,p75p76,2023,451415.6,460681.7,.0105,.0107,.75,.76
BD,p76p77,2023,462198.7,471916.8,.0108,.011,.76,.77
BD,p77p78,2023,473868.4,484071.1,.0111,.0113,.77,.78
BD,p78p79,2023,486521.5,497249.7,.0114,.0116,.78,.79
BD,p79p80,2023,500847.9,512158.8,.0117,.0119,.79,.8
BD,p7p8,2023,106403.4,25458.7,.0025,.0006,.07,.08
BD,p80p81,2023,515953.5,527890.5,.012,.0123,.8,.8100000000000001
BD,p81p82,2023,531892,544470.9,.0124,.0127,.8100000000000001,.82
BD,p82p83,2023,548581.4,561846.8,.0128,.0131,.82,.83
BD,p83p84,2023,566240.4,580242.2000000001,.0132,.0135,.83,.84
BD,p84p85,2023,586208.8,601052.7000000001,.0137,.014,.84,.85
BD,p85p86,2023,609117.5,624934.6,.0142,.0146,.85,.86
BD,p86p87,2023,632970.2000000001,649831.8,.0148,.0152,.86,.87
BD,p87p88,2023,660357.3,678438.6000000001,.0154,.0158,.87,.88
BD,p88p89,2023,690871.2000000001,710343.7000000001,.0161,.0166,.88,.89
BD,p89p90,2023,726088.2000000001,747198.7000000001,.0169,.0174,.89,.9
BD,p8p9,2023,111612.3,35642.2,.0026,.0008,.08,.09
BD,p90p91,2023,751431.6000000001,773927.1000000001,.0175,.0181,.9,.91
BD,p91p92,2023,807366.8,832438.6000000001,.0188,.0194,.91,.92
BD,p92p93,2023,871525.3,899619.1000000001,.0203,.021,.92,.93
BD,p93p94,2023,956485.1000000001,988556.2000000001,.0223,.0231,.93,.9399999999999999
BD,p94p95,2023,1066588.9,1103837,.0249,.0258,.9399999999999999,.95
BD,p95p96,2023,1190825,1234107.6,.0278,.0288,.95,.96
BD,p96p97,2023,1366636.8,1419234.2,.0319,.0331,.96,.97
BD,p97p98,2023,1652951.6,1720283.4,.0386,.0401,.97,.98
BD,p98p99,2023,2182446,2276480.8,.0509,.0531,.98,.99
BD,p99.1p99.2,2023,2907860.5,3050623.5,.0068,.0071,.991,.992
BD,p99.2p99.3,2023,3147671.2,3311165.3,.0073,.0077,.992,.993
BD,p99.3p99.4,2023,3437370.9,3625881.9,.008,.0085,.993,.9940000000000001
BD,p99.4p99.5,2023,3822710,4042830.8,.0089,.0094,.9940000000000001,.995
BD,p99.5p99.6,2023,4360973.2,4623990.8,.0102,.0108,.995,.996
BD,p99.6p99.7,2023,5119839.4,5441763.9,.0119,.0127,.996,.997
BD,p99.7p99.8,2023,6350430,6762855.5,.0148,.0158,.997,.998
BD,p99.8p99.9,2023,9035939.200000001,9635138.6,.0211,.0225,.998,.9990000000000001
