country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BE,p0p1,2023,18529.1,0,.0034,0,0,.01
BE,p10p11,2023,31294.7,8558.1,.0057,.0015,.1,.11
BE,p11p12,2023,32278.5,10114.1,.0058,.0018,.11,.12
BE,p12p13,2023,32987.8,11670.1,.006,.0021,.12,.13
BE,p13p14,2023,33794.5,13226.1,.0061,.0024,.13,.14
BE,p14p15,2023,34659.2,14782.2,.0063,.0027,.14,.15
BE,p15p16,2023,34910.4,16338.2,.0063,.003,.15,.16
BE,p16p17,2023,35081,17894.2,.0064,.0032,.16,.17
BE,p17p18,2023,35213,19450.2,.0064,.0035,.17,.18
BE,p18p19,2023,35255.2,21006.2,.0064,.0038,.18,.19
BE,p19p20,2023,35365.1,22562.3,.0064,.0041,.19,.2
BE,p1p2,2023,18583.5,0,.0034,0,.01,.02
BE,p20p21,2023,35423.7,23340.3,.0064,.0042,.2,.21
BE,p21p22,2023,35475.1,23917.1,.0064,.0043,.21,.22
BE,p22p23,2023,35495.5,24470.6,.0064,.0044,.22,.23
BE,p23p24,2023,35498.5,24976.5,.0064,.0045,.23,.24
BE,p24p25,2023,35516.9,25505.7,.0064,.0046,.24,.25
BE,p25p26,2023,35563.4,25991.3,.0064,.0047,.25,.26
BE,p26p27,2023,35565.3,26553.9,.0064,.0048,.26,.27
BE,p27p28,2023,36129,27165.3,.0065,.0049,.27,.28
BE,p28p29,2023,36792.2,27814.1,.0067,.005,.28,.29
BE,p29p30,2023,37345.7,28336.2,.0068,.0051,.29,.3
BE,p2p3,2023,18802.7,0,.0034,0,.02,.03
BE,p30p31,2023,37924.2,28886.7,.0069,.0052,.3,.31
BE,p31p32,2023,38545.2,29519.3,.007,.0053,.31,.32
BE,p32p33,2023,39140.2,30122.5,.0071,.0055,.32,.33
BE,p33p34,2023,39669,30650.6,.0072,.0055,.33,.34
BE,p34p35,2023,40219.9,31205.2,.0073,.0056,.34,.35
BE,p35p36,2023,40591.7,31552.9,.0073,.0057,.35,.36
BE,p36p37,2023,40852.5,32019.2,.0074,.0058,.36,.37
BE,p37p38,2023,41152.10000000001,32532.2,.0074,.0059,.37,.38
BE,p38p39,2023,41536.3,33144.5,.0075,.006,.38,.39
BE,p39p40,2023,41937.10000000001,33778.1,.0076,.0061,.39,.4
BE,p3p4,2023,19028.3,0,.0034,0,.03,.04
