country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BF,p0p1,2023,54237.9,0,.0005,0,0,.01
BF,p10p11,2023,209166.4,109024.5,.002,.001,.1,.11
BF,p11p12,2023,218470.8,128847.1,.0021,.0012,.11,.12
BF,p12p13,2023,228273.2,148669.8,.0022,.0014,.12,.13
BF,p13p14,2023,239714.6,168492.4,.0023,.0016,.13,.14
BF,p14p15,2023,250034,188315,.0024,.0018,.14,.15
BF,p15p16,2023,258115.4,208137.7,.0024,.002,.15,.16
BF,p16p17,2023,269033.6,227960.3,.0025,.0022,.16,.17
BF,p17p18,2023,278766.7,247782.9,.0026,.0023,.17,.18
BF,p18p19,2023,288354.8,267605.6,.0027,.0025,.18,.19
BF,p19p20,2023,297684.4,287428.2,.0028,.0027,.19,.2
BF,p1p2,2023,75261.10000000001,0,.0007,0,.01,.02
BF,p20p21,2023,306245,297339.5,.0029,.0028,.2,.21
BF,p21p22,2023,314704.7,305670.4,.003,.0029,.21,.22
BF,p22p23,2023,323618.2,314469.2,.0031,.003,.22,.23
BF,p23p24,2023,333225.2,323978.7,.0032,.0031,.23,.24
BF,p24p25,2023,342662,333306.5,.0032,.0032,.24,.25
BF,p25p26,2023,353510.9,344072.1,.0033,.0033,.25,.26
BF,p26p27,2023,362827.9,353424.3,.0034,.0033,.26,.27
BF,p27p28,2023,373512.8,364157.6,.0035,.0034,.27,.28
BF,p28p29,2023,381676.2,372276,.0036,.0035,.28,.29
BF,p29p30,2023,390173.8,380711.2,.0037,.0036,.29,.3
BF,p2p3,2023,99259.70000000001,0,.0009,0,.02,.03
BF,p30p31,2023,399421.4,389907.4,.0038,.0037,.3,.31
BF,p31p32,2023,407086.9,397788.3,.0038,.0038,.31,.32
BF,p32p33,2023,413623.9,404505.6,.0039,.0038,.32,.33
BF,p33p34,2023,421213.7,412299.4,.004,.0039,.33,.34
BF,p34p35,2023,430530.7,421876.6,.0041,.004,.34,.35
BF,p35p36,2023,440478.1,432097.9,.0042,.0041,.35,.36
BF,p36p37,2023,449423.2,441234.3,.0042,.0042,.36,.37
BF,p37p38,2023,458223.3,450218.1,.0043,.0043,.37,.38
BF,p38p39,2023,466109.4,458257.6,.0044,.0043,.38,.39
BF,p39p40,2023,476750.2,469150.4,.0045,.0044,.39,.4
BF,p3p4,2023,117931.5,0,.0011,0,.03,.04
BF,p40p41,2023,489250.6,481960.9,.0046,.0046,.4,.41
BF,p41p42,2023,499210.6,492332.5,.0047,.0047,.41,.42
BF,p42p43,2023,508660,502172.5,.0048,.0047,.42,.43
BF,p43p44,2023,518046.4,511963.4,.0049,.0048,.43,.44
BF,p44p45,2023,530118.1,524547.5,.005,.005,.44,.45
BF,p45p46,2023,541673,536615.5,.0051,.0051,.45,.46
BF,p46p47,2023,553379.2000000001,548803.7000000001,.0052,.0052,.46,.47
BF,p47p48,2023,563761.5,559635.9,.0053,.0053,.47,.48
BF,p48p49,2023,572183.4,568430.2000000001,.0054,.0054,.48,.49
BF,p49p50,2023,583637.4,580381.7000000001,.0055,.0055,.49,.5
BF,p4p5,2023,133640.6,0,.0013,0,.04,.05
BF,p50p51,2023,596226.1,593515.1,.0056,.0056,.5,.51
BF,p51p52,2023,607844,605751.6,.0057,.0057,.51,.52
BF,p52p53,2023,618302,616781.8,.0058,.0058,.52,.53
BF,p53p54,2023,627612.7000000001,626638.1,.0059,.0059,.53,.54
BF,p54p55,2023,639388.2000000001,639063.4,.006,.006,.54,.55
BF,p55p56,2023,652979.2000000001,653408.3,.0062,.0062,.55,.5600000000000001
BF,p56p57,2023,663563.3,664923.3,.0063,.0063,.5600000000000001,.57
BF,p57p58,2023,673945.7000000001,676231.7000000001,.0064,.0064,.57,.58
BF,p58p59,2023,688614.6000000001,692060.1000000001,.0065,.0065,.58,.59
BF,p59p60,2023,702659.5,707258.8,.0066,.0067,.59,.6
BF,p5p6,2023,147408.1,9911.300000000001,.0014,.0001,.05,.06
BF,p60p61,2023,717158.2000000001,722962.2000000001,.0068,.0068,.6,.61
BF,p61p62,2023,733504,740708.8,.0069,.007,.61,.62
BF,p62p63,2023,748292.7000000001,756874.3,.0071,.0072,.62,.63
BF,p63p64,2023,764342.2000000001,774380.7000000001,.0072,.0073,.63,.64
BF,p64p65,2023,779881,791401.1000000001,.0074,.0075,.64,.65
BF,p65p66,2023,796233.1000000001,809311.3,.0075,.0077,.65,.66
BF,p66p67,2023,812301.5,826100.9,.0077,.0078,.66,.67
BF,p67p68,2023,833198.6000000001,848014,.0079,.008,.67,.68
BF,p68p69,2023,851404,867132.6000000001,.0081,.0082,.68,.6899999999999999
BF,p69p70,2023,871708.5,888489.2000000001,.0082,.0084,.6899999999999999,.7
BF,p6p7,2023,159612.2,29734,.0015,.0003,.06,.07
BF,p70p71,2023,895871,913970.1000000001,.0085,.0086,.7,.71
BF,p71p72,2023,924244.4,939250.4,.0087,.0089,.71,.72
BF,p72p73,2023,951527.2000000001,963413.1000000001,.009,.0091,.72,.73
BF,p73p74,2023,980896.7000000001,989808.5,.0093,.0094,.73,.74
BF,p74p75,2023,1015422.6,1021709.6,.0096,.0097,.74,.75
BF,p75p76,2023,1051801.8,1055610.1,.0099,.01,.75,.76
BF,p76p77,2023,1091024.1,1093229.3,.0103,.0103,.76,.77
BF,p77p78,2023,1128935.1,1129496.4,.0107,.0107,.77,.78
BF,p78p79,2023,1167400.9,1166395.8,.011,.011,.78,.79
BF,p79p80,2023,1202771.5,1200047.5,.0114,.0113,.79,.8
BF,p7p8,2023,172396.4,49556.60000000001,.0016,.0005,.07,.08
BF,p80p81,2023,1253618,1250201.2,.0119,.0118,.8,.8100000000000001
BF,p81p82,2023,1296673,1291993.9,.0123,.0122,.8100000000000001,.82
BF,p82p83,2023,1343630,1337966,.0127,.0127,.82,.83
BF,p83p84,2023,1397981.3,1391832.4,.0132,.0132,.83,.84
BF,p84p85,2023,1456146.5,1449788.3,.0138,.0137,.84,.85
BF,p85p86,2023,1525898.1,1520124.9,.0144,.0144,.85,.86
BF,p86p87,2023,1610419.4,1605904.6,.0152,.0152,.86,.87
BF,p87p88,2023,1696015.6,1692856.7,.016,.016,.87,.88
BF,p88p89,2023,1801865.9,1801433.8,.017,.017,.88,.89
BF,p89p90,2023,1947590.8,1952639.1,.0184,.0185,.89,.9
BF,p8p9,2023,184203.4,69379.2,.0017,.0007,.08,.09
BF,p90p91,2023,2100946.6,2111987.9,.0199,.02,.9,.91
BF,p91p92,2023,2256924.7,2273568.7,.0213,.0215,.91,.92
BF,p92p93,2023,2509571.6,2538302.1,.0237,.024,.92,.93
BF,p93p94,2023,2829158.5,2874298.3,.0268,.0272,.93,.9399999999999999
BF,p94p95,2023,3211906.4,3277387.3,.0304,.031,.9399999999999999,.95
BF,p95p96,2023,3696315.7,3788538.9,.0349,.0358,.95,.96
BF,p96p97,2023,4453638.600000001,4592110.7,.0421,.0434,.96,.97
BF,p97p98,2023,5441368.5,5640775.5,.0515,.0533,.97,.98
BF,p98p99,2023,7291690.2,7608738.600000001,.0689,.0719,.98,.99
BF,p99.1p99.2,2023,9069711.9,9503135.1,.0086,.009,.991,.992
BF,p99.2p99.3,2023,9561069.6,10031698.9,.009,.0095,.992,.993
BF,p99.3p99.4,2023,10157763.7,10672512.7,.0096,.0101,.993,.9940000000000001
BF,p99.4p99.5,2023,10905812.2,11473307.2,.0103,.0108,.9940000000000001,.995
BF,p99.5p99.6,2023,11879891.2,12516729,.0112,.0118,.995,.996
BF,p99.6p99.7,2023,13229779.3,13962653.4,.0125,.0132,.996,.997
BF,p99.7p99.8,2023,15306491.7,16178571.3,.0145,.0153,.997,.998
BF,p99.8p99.9,2023,19202047.7,20326853.3,.0182,.0192,.998,.9990000000000001
BF,p99.9p100,2023,39701784,42099587.40000001,.0375,.0398,.9990000000000001,1
BF,p99p99.1,2023,8656868.1,9057019,.0082,.0086,.99,.991
BF,p9p10,2023,196186.9,89201.90000000001,.0019,.0008,.09,.1
