country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BG,p0p1,2023,4686.400000000001,0,.0017,0,0,.01
BG,p10p11,2023,8842.800000000001,3396.6,.0032,.0012,.1,.11
BG,p11p12,2023,9181.4,4014.2,.0033,.0014,.11,.12
BG,p12p13,2023,9473.700000000001,4631.8,.0034,.0017,.12,.13
BG,p13p14,2023,9767.9,5249.3,.0035,.0019,.13,.14
BG,p14p15,2023,10007.5,5866.900000000001,.0036,.0021,.14,.15
BG,p15p16,2023,10272.3,6484.5,.0037,.0023,.15,.16
BG,p16p17,2023,10483.3,7102.1,.0037,.0025,.16,.17
BG,p17p18,2023,10633.7,7719.6,.0038,.0028,.17,.18
BG,p18p19,2023,10807.8,8337.200000000001,.0039,.003,.18,.19
BG,p19p20,2023,10893,8954.800000000001,.0039,.0032,.19,.2
BG,p1p2,2023,4762.7,0,.0017,0,.01,.02
BG,p20p21,2023,11042.8,9263.6,.0039,.0033,.2,.21
BG,p21p22,2023,11138.4,9461.200000000001,.004,.0034,.21,.22
BG,p22p23,2023,11230.7,9652.700000000001,.004,.0034,.22,.23
BG,p23p24,2023,11308.4,9824.6,.004,.0035,.23,.24
BG,p24p25,2023,11443.1,10065.5,.0041,.0036,.24,.25
BG,p25p26,2023,11559.5,10281.6,.0041,.0037,.25,.26
BG,p26p27,2023,11768,10513.2,.0042,.0038,.26,.27
BG,p27p28,2023,11933.9,10690.3,.0043,.0038,.27,.28
BG,p28p29,2023,12109.2,10877.7,.0043,.0039,.28,.29
BG,p29p30,2023,12316.6,11102.1,.0044,.004,.29,.3
BG,p2p3,2023,4899.900000000001,0,.0017,0,.02,.03
BG,p30p31,2023,12501.1,11297.6,.0045,.004,.3,.31
BG,p31p32,2023,12657.4,11478.8,.0045,.0041,.31,.32
BG,p32p33,2023,12877.9,11737.2,.0046,.0042,.32,.33
BG,p33p34,2023,13099.3,11995.6,.0047,.0043,.33,.34
BG,p34p35,2023,13312.1,12242.6,.0048,.0044,.34,.35
