country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BH,p0p1,2023,818.7,0,.0006,0,0,.01
BH,p10p11,2023,2178.9,935.3000000000001,.0017,.0007,.1,.11
BH,p11p12,2023,2251.7,1105.4,.0018,.0009,.11,.12
BH,p12p13,2023,2303.8,1275.5,.0018,.001,.12,.13
BH,p13p14,2023,2342.2,1445.5,.0018,.0011,.13,.14
BH,p14p15,2023,2382.9,1615.6,.0019,.0013,.14,.15
BH,p15p16,2023,2427.5,1785.6,.0019,.0014,.15,.16
BH,p16p17,2023,2486.1,1955.7,.002,.0015,.16,.17
BH,p17p18,2023,2532.2,2125.8,.002,.0017,.17,.18
BH,p18p19,2023,2591.3,2295.8,.002,.0018,.18,.19
BH,p19p20,2023,2671.3,2465.9,.0021,.0019,.19,.2
BH,p1p2,2023,1225.7,0,.001,0,.01,.02
BH,p20p21,2023,2773,2550.9,.0022,.002,.2,.21
BH,p21p22,2023,2879,2667.4,.0023,.0021,.21,.22
BH,p22p23,2023,2973.5,2771.6,.0023,.0022,.22,.23
BH,p23p24,2023,3063.5,2870.7,.0024,.0023,.23,.24
BH,p24p25,2023,3133.6,2948.6,.0025,.0023,.24,.25
BH,p25p26,2023,3198.4,3020.5,.0025,.0024,.25,.26
BH,p26p27,2023,3252,3078.2,.0026,.0024,.26,.27
BH,p27p28,2023,3306.5,3136.9,.0026,.0025,.27,.28
BH,p28p29,2023,3354.5,3188.5,.0026,.0025,.28,.29
BH,p29p30,2023,3413.1,3251.3,.0027,.0026,.29,.3
BH,p2p3,2023,1432.3,0,.0011,0,.02,.03
BH,p30p31,2023,3472.9,3315.3,.0027,.0026,.3,.31
BH,p31p32,2023,3539,3383.7,.0028,.0027,.31,.32
BH,p32p33,2023,3607.4,3454.4,.0028,.0027,.32,.33
BH,p33p34,2023,3674.3,3523.6,.0029,.0028,.33,.34
BH,p34p35,2023,3752.3,3604.4,.003,.0028,.34,.35
BH,p35p36,2023,3824.8,3679.5,.003,.0029,.35,.36
BH,p36p37,2023,3908.3,3767.6,.0031,.003,.36,.37
BH,p37p38,2023,4002.4,3866.8,.0032,.0031,.37,.38
BH,p38p39,2023,4096.7,3966.2,.0032,.0031,.38,.39
BH,p39p40,2023,4186.8,4060.9,.0033,.0032,.39,.4
BH,p3p4,2023,1560.6,0,.0012,0,.03,.04
BH,p40p41,2023,4275.1,4153.8,.0034,.0033,.4,.41
BH,p41p42,2023,4359.2,4242.6,.0034,.0033,.41,.42
