country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BI,p0p1,2023,162567,0,.001,0,0,.01
BI,p10p11,2023,403260.8,174289,.0024,.001,.1,.11
BI,p11p12,2023,418773.9,205977.9,.0024,.0012,.11,.12
BI,p12p13,2023,433114.2,237666.9,.0025,.0014,.12,.13
BI,p13p14,2023,447158.7,269355.8,.0026,.0016,.13,.14
BI,p14p15,2023,462631,301044.7,.0027,.0018,.14,.15
BI,p15p16,2023,476665.3,332733.6,.0028,.0019,.15,.16
BI,p16p17,2023,490138.6,364422.5,.0029,.0021,.16,.17
BI,p17p18,2023,501449.6,396111.5,.0029,.0023,.17,.18
BI,p18p19,2023,516218.3,427800.4,.003,.0025,.18,.19
BI,p19p20,2023,530364.7000000001,459489.3,.0031,.0027,.19,.2
BI,p1p2,2023,194409.3,0,.0011,0,.01,.02
BI,p20p21,2023,541808.4,475333.7,.0032,.0028,.2,.21
BI,p21p22,2023,552742,488650.3,.0032,.0029,.21,.22
BI,p22p23,2023,564512.1,502824.9,.0033,.0029,.22,.23
BI,p23p24,2023,577220.4,517928.7,.0034,.003,.23,.24
BI,p24p25,2023,590612.1,533740.6,.0035,.0031,.24,.25
BI,p25p26,2023,603555.1,549041.4,.0035,.0032,.25,.26
BI,p26p27,2023,615845.2000000001,562935.1,.0036,.0033,.26,.27
BI,p27p28,2023,627523.5,576159,.0037,.0034,.27,.28
BI,p28p29,2023,639936,590099.8,.0037,.0034,.28,.29
BI,p29p30,2023,654072.3,605813.9,.0038,.0035,.29,.3
BI,p2p3,2023,230555.7,0,.0013,0,.02,.03
BI,p30p31,2023,670472.8,623823,.0039,.0036,.3,.31
BI,p31p32,2023,686332.8,640755.3,.004,.0037,.31,.32
BI,p32p33,2023,702682.3,658189.7000000001,.0041,.0038,.32,.33
BI,p33p34,2023,718052.6000000001,674579.2000000001,.0042,.0039,.33,.34
BI,p34p35,2023,734045.2000000001,691625.5,.0043,.004,.34,.35
BI,p35p36,2023,749864.3,708472.7000000001,.0044,.0041,.35,.36
BI,p36p37,2023,765948.7000000001,725795.7000000001,.0045,.0042,.36,.37
BI,p37p38,2023,778218.4,739114.8,.0045,.0043,.37,.38
BI,p38p39,2023,791508.2000000001,753490.1000000001,.0046,.0044,.38,.39
BI,p39p40,2023,808010.7000000001,771227.4,.0047,.0045,.39,.4
BI,p3p4,2023,256951.5,0,.0015,0,.03,.04
BI,p40p41,2023,826247,790750,.0048,.0046,.4,.41
BI,p41p42,2023,841648,807750.6000000001,.0049,.0047,.41,.42
BI,p42p43,2023,855315.1000000001,822969.2000000001,.005,.0048,.42,.43
BI,p43p44,2023,869023,838227.5,.0051,.0049,.43,.44
BI,p44p45,2023,886474,857430.8,.0052,.005,.44,.45
BI,p45p46,2023,902966.3,875663.8,.0053,.0051,.45,.46
BI,p46p47,2023,919581,893921.6000000001,.0054,.0052,.46,.47
BI,p47p48,2023,936318.1000000001,912316,.0055,.0053,.47,.48
BI,p48p49,2023,958114.1000000001,936053.8,.0056,.0055,.48,.49
BI,p49p50,2023,976860.4,956589.2000000001,.0057,.0056,.49,.5
BI,p4p5,2023,281899.1,0,.0016,0,.04,.05
BI,p50p51,2023,992710.2000000001,974096.8,.0058,.0057,.5,.51
BI,p51p52,2023,1010681.4,994046.1000000001,.0059,.0058,.51,.52
BI,p52p53,2023,1029733.7,1015151.2,.006,.0059,.52,.53
BI,p53p54,2023,1047541.7,1034958.3,.0061,.006,.53,.54
BI,p54p55,2023,1068603.3,1058185.9,.0062,.0062,.54,.55
BI,p55p56,2023,1086615.3,1078221.8,.0064,.0063,.55,.5600000000000001
BI,p56p57,2023,1103240.2,1096913.6,.0064,.0064,.5600000000000001,.57
BI,p57p58,2023,1119599.9,1115327.7,.0065,.0065,.57,.58
BI,p58p59,2023,1141905.9,1140030,.0067,.0067,.58,.59
BI,p59p60,2023,1164772.7,1165346.5,.0068,.0068,.59,.6
BI,p5p6,2023,304888.3,15844.5,.0018,.0001,.05,.06
BI,p60p61,2023,1186476.9,1189438.1,.0069,.007,.6,.61
BI,p61p62,2023,1210914.5,1216594.6,.0071,.0071,.61,.62
BI,p62p63,2023,1239227.8,1247887.2,.0072,.0073,.62,.63
BI,p63p64,2023,1265083.1,1276623.5,.0074,.0075,.63,.64
BI,p64p65,2023,1292988.4,1307567.3,.0076,.0076,.64,.65
BI,p65p66,2023,1322331.9,1340093.9,.0077,.0078,.65,.66
