country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BJ,p0p1,2023,105876.6,0,.0007,0,0,.01
BJ,p10p11,2023,367297.4,183613.3,.0023,.0011,.1,.11
BJ,p11p12,2023,384211.9,216997.5,.0024,.0013,.11,.12
BJ,p12p13,2023,402855.4,250381.8,.0025,.0016,.12,.13
BJ,p13p14,2023,418828.6,283766,.0026,.0018,.13,.14
BJ,p14p15,2023,433620.4,317150.2,.0027,.002,.14,.15
BJ,p15p16,2023,449478.3,350534.5,.0028,.0022,.15,.16
BJ,p16p17,2023,464539,383918.7,.0029,.0024,.16,.17
BJ,p17p18,2023,481597.6,417303,.003,.0026,.17,.18
BJ,p18p19,2023,498147.1,450687.2,.0031,.0028,.18,.19
BJ,p19p20,2023,512036.1,484071.4,.0032,.003,.19,.2
BJ,p1p2,2023,138408.9,0,.0009,0,.01,.02
BJ,p20p21,2023,525771.3,500763.6,.0033,.0031,.2,.21
BJ,p21p22,2023,538075.4,514279.8,.0033,.0032,.21,.22
BJ,p22p23,2023,551311.1,528723.1,.0034,.0033,.22,.23
BJ,p23p24,2023,565440.2000000001,544047.6,.0035,.0034,.23,.24
BJ,p24p25,2023,576178.6,555905.4,.0036,.0034,.24,.25
BJ,p25p26,2023,589635.3,570511.3,.0037,.0035,.25,.26
BJ,p26p27,2023,603908.4,585672,.0037,.0036,.26,.27
BJ,p27p28,2023,619535.9,602191.2000000001,.0038,.0037,.27,.28
BJ,p28p29,2023,632838.9,616295.9,.0039,.0038,.28,.29
BJ,p29p30,2023,646622.1000000001,630875.9,.004,.0039,.29,.3
BJ,p2p3,2023,178250.7,0,.0011,0,.02,.03
BJ,p30p31,2023,659752.2000000001,644743.7000000001,.0041,.004,.3,.31
BJ,p31p32,2023,675158.8,660740.5,.0042,.0041,.31,.32
BJ,p32p33,2023,688711.5,674829.8,.0043,.0042,.32,.33
BJ,p33p34,2023,705558.8,692271.6000000001,.0044,.0043,.33,.34
BJ,p34p35,2023,722521.3,709826.3,.0045,.0044,.34,.35
BJ,p35p36,2023,739176.5,727043.5,.0046,.0045,.35,.36
BJ,p36p37,2023,753372.7000000001,741787.3,.0047,.0046,.36,.37
BJ,p37p38,2023,769009.8,757982.9,.0048,.0047,.37,.38
BJ,p38p39,2023,782649,772151.1000000001,.0049,.0048,.38,.39
BJ,p39p40,2023,797728.9,787766.3,.005,.0049,.39,.4
BJ,p3p4,2023,210024.2,0,.0013,0,.03,.04
BJ,p40p41,2023,813231.5,803811.5,.005,.005,.4,.41
BJ,p41p42,2023,829473.6000000001,820911.5,.0051,.0051,.41,.42
BJ,p42p43,2023,845273.9,837579,.0052,.0052,.42,.43
BJ,p43p44,2023,863494.7000000001,856705.6000000001,.0054,.0053,.43,.44
BJ,p44p45,2023,880169.1000000001,874256.5,.0055,.0054,.44,.45
BJ,p45p46,2023,896805.1000000001,891785.2000000001,.0056,.0055,.45,.46
BJ,p46p47,2023,913306.6000000001,909121.7000000001,.0057,.0056,.46,.47
BJ,p47p48,2023,929500.7000000001,926142.5,.0058,.0057,.47,.48
BJ,p48p49,2023,946645.7000000001,944133.2000000001,.0059,.0059,.48,.49
BJ,p49p50,2023,964981.8,963326.5,.006,.006,.49,.5
BJ,p4p5,2023,241096.6,0,.0015,0,.04,.05
BJ,p50p51,2023,984893.1000000001,984122.3,.0061,.0061,.5,.51
BJ,p51p52,2023,1003671,1003914.7,.0062,.0062,.51,.52
BJ,p52p53,2023,1023370.9,1024659.2,.0064,.0064,.52,.53
BJ,p53p54,2023,1044415.6,1046765.1,.0065,.0065,.53,.54
BJ,p54p55,2023,1068495.5,1072002,.0066,.0067,.54,.55
BJ,p55p56,2023,1089588.2,1094190.5,.0068,.0068,.55,.5600000000000001
BJ,p56p57,2023,1112880.5,1118657.7,.0069,.0069,.5600000000000001,.57
BJ,p57p58,2023,1139419.2,1146495.2,.0071,.0071,.57,.58
BJ,p58p59,2023,1161193.9,1169442.1,.0072,.0073,.58,.59
BJ,p59p60,2023,1182507.5,1191933.7,.0073,.0074,.59,.6
BJ,p5p6,2023,266223.4,16692.1,.0017,.0001,.05,.06
BJ,p60p61,2023,1206827.5,1217564.7,.0075,.0076,.6,.61
BJ,p61p62,2023,1232136.9,1244310.1,.0076,.0077,.61,.62
BJ,p62p63,2023,1256274.4,1269898.4,.0078,.0079,.62,.63
BJ,p63p64,2023,1283274.2,1298460.5,.008,.0081,.63,.64
BJ,p64p65,2023,1311407.4,1328239.2,.0081,.0082,.64,.65
BJ,p65p66,2023,1338973.9,1357475.9,.0083,.0084,.65,.66
BJ,p66p67,2023,1369527.6,1389757.2,.0085,.0086,.66,.67
BJ,p67p68,2023,1397074.9,1418975.2,.0087,.0088,.67,.68
BJ,p68p69,2023,1427330.9,1451015.1,.0089,.009,.68,.6899999999999999
BJ,p69p70,2023,1456655.1,1482124.7,.009,.0092,.6899999999999999,.7
BJ,p6p7,2023,287441,50076.3,.0018,.0003,.06,.07
BJ,p70p71,2023,1486113.8,1513380.9,.0092,.0094,.7,.71
BJ,p71p72,2023,1519011.2,1547686,.0094,.0096,.71,.72
BJ,p72p73,2023,1556759,1587034.3,.0097,.0098,.72,.73
BJ,p73p74,2023,1590242.3,1621996.5,.0099,.0101,.73,.74
BJ,p74p75,2023,1629594.2,1663054.9,.0101,.0103,.74,.75
BJ,p75p76,2023,1672768.9,1708103,.0104,.0106,.75,.76
BJ,p76p77,2023,1716327.9,1753572,.0107,.0109,.76,.77
BJ,p77p78,2023,1769876.1,1809411.9,.011,.0112,.77,.78
BJ,p78p79,2023,1821416.8,1863241.8,.0113,.0116,.78,.79
BJ,p79p80,2023,1871660.9,1915774.4,.0116,.0119,.79,.8
BJ,p7p8,2023,306401.4,83460.60000000001,.0019,.0005,.07,.08
BJ,p80p81,2023,1937714.9,1984731.1,.012,.0123,.8,.8100000000000001
BJ,p81p82,2023,1996978.1,2046183.7,.0124,.0127,.8100000000000001,.82
BJ,p82p83,2023,2064434.4,2116153.2,.0128,.0131,.82,.83
BJ,p83p84,2023,2146490.4,2201241.3,.0133,.0137,.83,.84
BJ,p84p85,2023,2237075.7,2295252.3,.0139,.0142,.84,.85
BJ,p85p86,2023,2345872.2,2408203,.0146,.0149,.85,.86
BJ,p86p87,2023,2463721.5,2530628.7,.0153,.0157,.86,.87
BJ,p87p88,2023,2594734.5,2666905.9,.0161,.0165,.87,.88
BJ,p88p89,2023,2742935.7,2821257.4,.017,.0175,.88,.89
BJ,p89p90,2023,2922315,3008294.9,.0181,.0187,.89,.9
BJ,p8p9,2023,327157.9,116844.8,.002,.0007,.08,.09
BJ,p90p91,2023,3132872.3,3228139.9,.0194,.02,.9,.91
BJ,p91p92,2023,3381993.8,3483842.2,.021,.0216,.91,.92
BJ,p92p93,2023,3684793.3,3795047.3,.0229,.0236,.92,.93
BJ,p93p94,2023,4107247.8,4230067.2,.0255,.0262,.93,.9399999999999999
BJ,p94p95,2023,4626252.3,4764869.4,.0287,.0296,.9399999999999999,.95
