country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BM,p0p1,2023,0,0,0,0,0,.01
BM,p10p11,2023,91383.3,26895.3,.003,.0009,.1,.11
BM,p11p12,2023,93914.40000000001,31784.3,.0031,.0011,.11,.12
BM,p12p13,2023,98563.70000000001,36675.2,.0033,.0012,.12,.13
BM,p13p14,2023,102273.8,41566.10000000001,.0034,.0014,.13,.14
BM,p14p15,2023,103366.2,46455.10000000001,.0034,.0015,.14,.15
BM,p15p16,2023,103463.6,51344.2,.0034,.0017,.15,.16
BM,p16p17,2023,104743.5,56235.10000000001,.0035,.0019,.16,.17
BM,p17p18,2023,105136.5,61125.9,.0035,.002,.17,.18
BM,p18p19,2023,110847.7,66015,.0037,.0022,.18,.19
BM,p19p20,2023,111027.9,70905.90000000001,.0037,.0023,.19,.2
BM,p1p2,2023,0,0,0,0,.01,.02
BM,p20p21,2023,111727.4,73350.40000000001,.0037,.0024,.2,.21
BM,p21p22,2023,113187.6,77740.10000000001,.0037,.0026,.21,.22
BM,p22p23,2023,115502.4,82189.3,.0038,.0027,.22,.23
BM,p23p24,2023,117047.3,86698,.0039,.0029,.23,.24
BM,p24p25,2023,121496.5,91262.5,.004,.003,.24,.25
BM,p25p26,2023,123023.4,95879.40000000001,.0041,.0032,.25,.26
BM,p26p27,2023,123517.4,100541.3,.0041,.0033,.26,.27
BM,p27p28,2023,125390.5,105248.3,.0041,.0035,.27,.28
BM,p28p29,2023,125532.9,109993.1,.0042,.0036,.28,.29
BM,p29p30,2023,126012.4,114772.2,.0042,.0038,.29,.3
BM,p2p3,2023,0,0,0,0,.02,.03
BM,p30p31,2023,130587.8,119582,.0043,.004,.3,.31
BM,p31p32,2023,135211.9,124413.4,.0045,.0041,.31,.32
BM,p32p33,2023,139859.4,129264.6,.0046,.0043,.32,.33
BM,p33p34,2023,144514.1,134128.4,.0048,.0044,.33,.34
BM,p34p35,2023,149201.2,138994,.0049,.0046,.34,.35
BM,p35p36,2023,153906.4,143865.1,.0051,.0048,.35,.36
BM,p36p37,2023,158571.9,148723.5,.0052,.0049,.36,.37
BM,p37p38,2023,163185.2,153571.1,.0054,.0051,.37,.38
BM,p38p39,2023,167803.8,158397,.0055,.0052,.38,.39
BM,p39p40,2023,172377.4,163190.6,.0057,.0054,.39,.4
BM,p3p4,2023,0,0,0,0,.03,.04
BM,p40p41,2023,176900.5,167949.8,.0058,.0056,.4,.41
BM,p41p42,2023,181283,172664,.006,.0057,.41,.42
BM,p42p43,2023,185616.8,177326,.0061,.0059,.42,.43
BM,p43p44,2023,189876.7,181926.6,.0063,.006,.43,.44
BM,p44p45,2023,194044.7,186456.9,.0064,.0062,.44,.45
BM,p45p46,2023,198115.3,190913.3,.0066,.0063,.45,.46
BM,p46p47,2023,202140.9,195283.2,.0067,.0065,.46,.47
BM,p47p48,2023,206036.6,199561.1,.0068,.0066,.47,.48
BM,p48p49,2023,209815.2,203741.7,.0069,.0067,.48,.49
BM,p49p50,2023,213519.8,207815.9,.0071,.0069,.49,.5
BM,p4p5,2023,0,0,0,0,.04,.05
BM,p50p51,2023,217074.9,211780.2,.0072,.007,.5,.51
BM,p51p52,2023,220492.9,215627.2,.0073,.0071,.51,.52
BM,p52p53,2023,223799.1,219357.1,.0074,.0073,.52,.53
BM,p53p54,2023,226941.3,222960.8,.0075,.0074,.53,.54
BM,p54p55,2023,229951.9,226436.5,.0076,.0075,.54,.55
BM,p55p56,2023,232830.9,229780.6,.0077,.0076,.55,.5600000000000001
BM,p56p57,2023,235529.6,232991.3,.0078,.0077,.5600000000000001,.57
BM,p57p58,2023,238105.8,236059.6,.0079,.0078,.57,.58
BM,p58p59,2023,240535.9,238989.1,.008,.0079,.58,.59
BM,p59p60,2023,242812.8,241774.4,.008,.008,.59,.6
BM,p5p6,2023,80592.10000000001,2444.5,.0027,.0001,.05,.06
BM,p60p61,2023,244943.6,244413.6,.0081,.0081,.6,.61
BM,p61p62,2023,246878,246901.4,.0082,.0082,.61,.62
BM,p62p63,2023,248673.5,249246.8,.0082,.0082,.62,.63
BM,p63p64,2023,250332,251438.9,.0083,.0083,.63,.64
BM,p64p65,2023,251840.9,253486.8,.0083,.0084,.64,.65
BM,p65p66,2023,253205.6,255388.7,.0084,.0084,.65,.66
BM,p66p67,2023,254415.3,257153.6,.0084,.0085,.66,.67
BM,p67p68,2023,255520.4,258783.3,.0084,.0086,.67,.68
BM,p68p69,2023,256499.3,260288.6,.0085,.0086,.68,.6899999999999999
BM,p69p70,2023,257361,261680.3,.0085,.0087,.6899999999999999,.7
BM,p6p7,2023,81376.3,7335.400000000001,.0027,.0002,.06,.07
BM,p70p71,2023,258092.9,262974.7,.0085,.0087,.7,.71
BM,p71p72,2023,258803.2,264193.4,.0086,.0087,.71,.72
BM,p72p73,2023,259435.9,265359.8,.0086,.0088,.72,.73
BM,p73p74,2023,260084.9,266509.9,.0086,.0088,.73,.74
BM,p74p75,2023,260750.1,267685.3,.0086,.0089,.74,.75
BM,p75p76,2023,261474.8,268940,.0086,.0089,.75,.76
BM,p76p77,2023,262351,270346.2,.0087,.0089,.76,.77
BM,p77p78,2023,263443.5,271992.1,.0087,.009,.77,.78
BM,p78p79,2023,264855,273989.5,.0088,.0091,.78,.79
BM,p79p80,2023,266751.5,276486.4,.0088,.0091,.79,.8
BM,p7p8,2023,83680.20000000001,12224.5,.0028,.0004,.07,.08
BM,p80p81,2023,269275.4,279671.8,.0089,.0092,.8,.8100000000000001
BM,p81p82,2023,272693.4,283787.5,.009,.0094,.8100000000000001,.82
BM,p82p83,2023,277263.4,289148.9,.0092,.0096,.82,.83
BM,p83p84,2023,283389.1,296170.6,.0094,.0098,.83,.84
BM,p84p85,2023,291577.2,305388.1,.0096,.0101,.84,.85
BM,p85p86,2023,302516.3,317515.2,.01,.0105,.85,.86
BM,p86p87,2023,317036.6,333493,.0105,.011,.86,.87
BM,p87p88,2023,336343.2,354569,.0111,.0117,.87,.88
BM,p88p89,2023,361923.3,382402.6,.012,.0126,.88,.89
BM,p89p90,2023,396008,419179.6,.0131,.0139,.89,.9
BM,p8p9,2023,83694.60000000001,17115.3,.0028,.0006,.08,.09
BM,p90p91,2023,441559.9,467766.5,.0146,.0155,.9,.91
BM,p91p92,2023,502032.4,531950.8,.0166,.0176,.91,.92
BM,p92p93,2023,582448.6,616981.2000000001,.0193,.0204,.92,.93
BM,p93p94,2023,689796.3,730319.4,.0228,.0241,.93,.9399999999999999
BM,p94p95,2023,833130.4,882762.8,.0275,.0292,.9399999999999999,.95
BM,p95p96,2023,1025376,1090252.5,.0339,.036,.95,.96
BM,p96p97,2023,1286242.4,1376758.5,.0425,.0455,.96,.97
BM,p97p98,2023,1649051.3,1778766,.0545,.0588,.97,.98
BM,p98p99,2023,2172741,2353646.2,.0718,.0778,.98,.99
BM,p99.1p99.2,2023,2603679.6,2862009.4,.0086,.0095,.991,.992
BM,p99.2p99.3,2023,2694509,2967763.3,.0089,.0098,.992,.993
BM,p99.3p99.4,2023,2805592.4,3093313.8,.0093,.0102,.993,.9940000000000001
BM,p99.4p99.5,2023,2952688,3253283.3,.0098,.0108,.9940000000000001,.995
BM,p99.5p99.6,2023,3161431,3476540.7,.0105,.0115,.995,.996
BM,p99.6p99.7,2023,3492824.2,3826333.3,.0115,.0127,.996,.997
BM,p99.7p99.8,2023,4083980.6,4462312.8,.0135,.0148,.997,.998
BM,p99.8p99.9,2023,5308046.300000001,5859360.4,.0176,.0194,.998,.9990000000000001
BM,p99.9p100,2023,14292740.1,16091511.1,.0473,.0532,.9990000000000001,1
BM,p99p99.1,2023,2526801.2,2768086,.0084,.0092,.99,.991
BM,p9p10,2023,89677.90000000001,22006.2,.003,.0007,.09,.1
