country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BN,p0p1,2023,6096.3,0,.0012,0,0,.01
BN,p10p11,2023,18493.6,7662.1,.0037,.0015,.1,.11
BN,p11p12,2023,18750.5,9055.200000000001,.0038,.0018,.11,.12
BN,p12p13,2023,19006.5,10448.4,.0038,.0021,.12,.13
BN,p13p14,2023,19264.3,11841.5,.0039,.0024,.13,.14
BN,p14p15,2023,19522.1,13234.6,.0039,.0027,.14,.15
BN,p15p16,2023,19792.7,14627.7,.004,.0029,.15,.16
BN,p16p17,2023,20065.9,16020.8,.004,.0032,.16,.17
BN,p17p18,2023,20325.5,17413.9,.0041,.0035,.17,.18
BN,p18p19,2023,20600.2,18807.1,.0041,.0038,.18,.19
BN,p19p20,2023,20876.5,20200.2,.0042,.004,.19,.2
BN,p1p2,2023,8353.9,0,.0017,0,.01,.02
BN,p20p21,2023,22198.4,20896.7,.0044,.0042,.2,.21
BN,p21p22,2023,24413,23414.1,.0049,.0047,.21,.22
BN,p22p23,2023,24925.3,24032.9,.005,.0048,.22,.23
BN,p23p24,2023,24940.4,24098.4,.005,.0048,.23,.24
BN,p24p25,2023,24986.2,24198.4,.005,.0049,.24,.25
BN,p25p26,2023,25011.8,24275,.005,.0049,.25,.26
BN,p26p27,2023,25062.3,24355.1,.005,.0049,.26,.27
BN,p27p28,2023,25144.7,24470.6,.005,.0049,.27,.28
BN,p28p29,2023,25210.1,24566.9,.0051,.0049,.28,.29
BN,p29p30,2023,25286.8,24675,.0051,.0049,.29,.3
BN,p2p3,2023,10723.1,0,.0021,0,.02,.03
BN,p30p31,2023,25376.9,24797.6,.0051,.005,.3,.31
BN,p31p32,2023,25497,24918.8,.0051,.005,.31,.32
BN,p32p33,2023,25629.1,25052.8,.0051,.005,.32,.33
BN,p33p34,2023,25763.8,25188.9,.0052,.005,.33,.34
BN,p34p35,2023,25893.7,25319.7,.0052,.0051,.34,.35
BN,p35p36,2023,26039.4,25468,.0052,.0051,.35,.36
BN,p36p37,2023,26170.8,25606.4,.0052,.0051,.36,.37
BN,p37p38,2023,26307,25748.9,.0053,.0052,.37,.38
BN,p38p39,2023,26463.1,25913.8,.0053,.0052,.38,.39
BN,p39p40,2023,26615,26073.2,.0053,.0052,.39,.4
BN,p3p4,2023,13186.8,0,.0026,0,.03,.04
BN,p40p41,2023,27155.3,26654.9,.0054,.0053,.4,.41
BN,p41p42,2023,28056.2,27637,.0056,.0055,.41,.42
BN,p42p43,2023,28941.1,28601.1,.0058,.0057,.42,.43
BN,p43p44,2023,29842,29581,.006,.0059,.43,.44
BN,p44p45,2023,30765.8,30584.9,.0062,.0061,.44,.45
BN,p45p46,2023,31703,31602.6,.0064,.0063,.45,.46
BN,p46p47,2023,32639.9,32614.7,.0065,.0065,.46,.47
BN,p47p48,2023,33570,33619.2,.0067,.0067,.47,.48
BN,p48p49,2023,34522.9,34646.7,.0069,.0069,.48,.49
BN,p49p50,2023,35467.9,35664.4,.0071,.0071,.49,.5
BN,p4p5,2023,15498.9,0,.0031,0,.04,.05
BN,p50p51,2023,36349.8,36613.8,.0073,.0073,.5,.51
BN,p51p52,2023,37240.6,37575.2,.0075,.0075,.51,.52
BN,p52p53,2023,38116.8,38520.7,.0076,.0077,.52,.53
BN,p53p54,2023,39007,39480.8,.0078,.0079,.53,.54
BN,p54p55,2023,39907.10000000001,40450.3,.008,.0081,.54,.55
BN,p55p56,2023,40835.7,41450.4,.0082,.0083,.55,.5600000000000001
BN,p56p57,2023,41765.7,42453.7,.0084,.0085,.5600000000000001,.57
BN,p57p58,2023,42701.10000000001,43463,.0086,.0087,.57,.58
BN,p58p59,2023,43669,44505.5,.0088,.0089,.58,.59
BN,p59p60,2023,44662.4,45575.8,.009,.0091,.59,.6
BN,p5p6,2023,16208.9,696.6,.0032,.0001,.05,.06
BN,p60p61,2023,45433.60000000001,46405.2,.0091,.0093,.6,.61
BN,p61p62,2023,45941.5,46957.60000000001,.0092,.0094,.61,.62
BN,p62p63,2023,46431.8,47490.60000000001,.0093,.0095,.62,.63
BN,p63p64,2023,46948.9,48052.10000000001,.0094,.0096,.63,.64
BN,p64p65,2023,47473.7,48621.8,.0095,.0097,.64,.65
BN,p65p66,2023,48020.2,49214.5,.0096,.0099,.65,.66
BN,p66p67,2023,48582.10000000001,49819.9,.0097,.01,.66,.67
BN,p67p68,2023,49169.9,50453.3,.0099,.0101,.67,.68
BN,p68p69,2023,49753,51080.60000000001,.01,.0102,.68,.6899999999999999
BN,p69p70,2023,50363.7,51737.9,.0101,.0104,.6899999999999999,.7
BN,p6p7,2023,16642.4,2089.7,.0033,.0004,.06,.07
BN,p70p71,2023,50971.8,52391.8,.0102,.0105,.7,.71
BN,p71p72,2023,51612.3,53068,.0103,.0106,.71,.72
BN,p72p73,2023,52267.3,53759.8,.0105,.0108,.72,.73
BN,p73p74,2023,52931.8,54461.4,.0106,.0109,.73,.74
BN,p74p75,2023,53990.60000000001,55587.2,.0108,.0111,.74,.75
BN,p75p76,2023,55271,56950.4,.0111,.0114,.75,.76
BN,p76p77,2023,56598.9,58359.60000000001,.0113,.0117,.76,.77
BN,p77p78,2023,57922.9,59764.2,.0116,.012,.77,.78
BN,p78p79,2023,59284.5,61209.10000000001,.0119,.0123,.78,.79
BN,p79p80,2023,60687.2,62697.8,.0122,.0126,.79,.8
BN,p7p8,2023,17089.9,3482.8,.0034,.0007,.07,.08
BN,p80p81,2023,62125.60000000001,64224.60000000001,.0125,.0129,.8,.8100000000000001
