country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BO,p0p1,2023,2410.3,.9,.0006,0,0,.01
BO,p10p11,2023,3094.9,678.4000000000001,.0008,.0002,.1,.11
BO,p11p12,2023,3276.9,926.5,.0008,.0002,.11,.12
BO,p12p13,2023,3420.7,1117.4,.0009,.0003,.12,.13
BO,p13p14,2023,3541.1,1280.7,.0009,.0003,.13,.14
BO,p14p15,2023,3805.6,1602.4,.001,.0004,.14,.15
BO,p15p16,2023,4130.1,1987.5,.0011,.0005,.15,.16
BO,p16p17,2023,4466,2387.9,.0011,.0006,.16,.17
BO,p17p18,2023,4862.400000000001,2850.8,.0012,.0007,.17,.18
BO,p18p19,2023,5300.700000000001,3354.4,.0013,.0009,.18,.19
BO,p19p20,2023,5878.900000000001,4005.2,.0015,.001,.19,.2
BO,p1p2,2023,2486.7,2.3,.0006,0,.01,.02
BO,p20p21,2023,6490.8,4686.5,.0017,.0012,.2,.21
BO,p21p22,2023,7189.1,5475.900000000001,.0018,.0014,.21,.22
BO,p22p23,2023,7768.900000000001,6136.3,.002,.0016,.22,.23
BO,p23p24,2023,8292.700000000001,6735.3,.0021,.0017,.23,.24
BO,p24p25,2023,8746.700000000001,7258,.0022,.0018,.24,.25
BO,p25p26,2023,9216,7795.8,.0023,.002,.25,.26
BO,p26p27,2023,9673.9,8309.1,.0025,.0021,.26,.27
BO,p27p28,2023,10227.5,8924.1,.0026,.0023,.27,.28
BO,p28p29,2023,10712,9463.300000000001,.0027,.0024,.28,.29
BO,p29p30,2023,11080,9876.300000000001,.0028,.0025,.29,.3
BO,p2p3,2023,2540.6,4.2,.0006,0,.02,.03
BO,p30p31,2023,11552,10399.7,.0029,.0026,.3,.31
BO,p31p32,2023,12077.3,10948.6,.0031,.0028,.31,.32
BO,p32p33,2023,12599,11493.5,.0032,.0029,.32,.33
BO,p33p34,2023,13058.4,11971.1,.0033,.003,.33,.34
BO,p34p35,2023,13544.5,12476.9,.0034,.0032,.34,.35
BO,p35p36,2023,14037.6,12990.2,.0036,.0033,.35,.36
BO,p36p37,2023,14528.4,13498.8,.0037,.0034,.36,.37
BO,p37p38,2023,15015.4,14003.4,.0038,.0036,.37,.38
BO,p38p39,2023,15465.7,14467.7,.0039,.0037,.38,.39
BO,p39p40,2023,15903.5,14917.9,.004,.0038,.39,.4
BO,p3p4,2023,2590.3,5.9,.0007,0,.03,.04
BO,p40p41,2023,16324.2,15349.7,.0042,.0039,.4,.41
BO,p41p42,2023,16772.8,15819.2,.0043,.004,.41,.42
BO,p42p43,2023,17249.1,16317.9,.0044,.0042,.42,.43
BO,p43p44,2023,17682.3,16770.5,.0045,.0043,.43,.44
BO,p44p45,2023,18101.1,17207.9,.0046,.0044,.44,.45
BO,p45p46,2023,18546.2,17673.1,.0047,.0045,.45,.46
BO,p46p47,2023,18989.7,18132,.0048,.0046,.46,.47
BO,p47p48,2023,19451.7,18611.1,.0049,.0047,.47,.48
BO,p48p49,2023,19957.7,19136.6,.0051,.0049,.48,.49
BO,p49p50,2023,20439.3,19636.5,.0052,.005,.49,.5
BO,p4p5,2023,2668.7,7.5,.0007,0,.04,.05
BO,p50p51,2023,20873.6,20084.9,.0053,.0051,.5,.51
BO,p51p52,2023,21316.9,20543.8,.0054,.0052,.51,.52
BO,p52p53,2023,21806.5,21052.4,.0055,.0054,.52,.53
BO,p53p54,2023,22268.2,21531.2,.0057,.0055,.53,.54
BO,p54p55,2023,22767.4,22050.1,.0058,.0056,.54,.55
BO,p55p56,2023,23285.4,22589.6,.0059,.0057,.55,.5600000000000001
BO,p56p57,2023,23790.9,23133.1,.0061,.0059,.5600000000000001,.57
BO,p57p58,2023,24279.6,23658.8,.0062,.006,.57,.58
BO,p58p59,2023,24906,24332.5,.0063,.0062,.58,.59
BO,p59p60,2023,25473.7,24942.8,.0065,.0063,.59,.6
BO,p5p6,2023,2706.2,9.4,.0007,0,.05,.06
BO,p60p61,2023,26101.7,25618.4,.0066,.0065,.6,.61
BO,p61p62,2023,26705.4,26270.6,.0068,.0067,.61,.62
BO,p62p63,2023,27374.2,26992.9,.007,.0069,.62,.63
BO,p63p64,2023,28035.6,27707.6,.0071,.007,.63,.64
BO,p64p65,2023,28624,28343.6,.0073,.0072,.64,.65
BO,p65p66,2023,29224.5,28992.8,.0074,.0074,.65,.66
BO,p66p67,2023,29933.3,29735.6,.0076,.0076,.66,.67
BO,p67p68,2023,30776.9,30623.2,.0078,.0078,.67,.68
BO,p68p69,2023,31610.7,31500.8,.008,.008,.68,.6899999999999999
BO,p69p70,2023,32432,32365,.0083,.0082,.6899999999999999,.7
BO,p6p7,2023,2772.5,10.8,.0007,0,.06,.07
BO,p70p71,2023,33210.7,33183.3,.0084,.0084,.7,.71
BO,p71p72,2023,34187.8,34204.4,.0087,.0087,.71,.72
BO,p72p73,2023,35184.8,35246.9,.009,.009,.72,.73
BO,p73p74,2023,36140.9,36244.4,.0092,.0092,.73,.74
BO,p74p75,2023,37200,37352.2,.0095,.0095,.74,.75
BO,p75p76,2023,38356.1,38564.6,.0098,.0098,.75,.76
BO,p76p77,2023,39571.9,39872.9,.0101,.0101,.76,.77
BO,p77p78,2023,40803,41197.5,.0104,.0105,.77,.78
BO,p78p79,2023,42235.7,42738.2,.0107,.0109,.78,.79
BO,p79p80,2023,43796.4,44416.3,.0111,.0113,.79,.8
BO,p7p8,2023,2851.2,15.5,.0007,0,.07,.08
BO,p80p81,2023,45514,46262.7,.0116,.0118,.8,.8100000000000001
BO,p81p82,2023,47383.9,48258.4,.0121,.0123,.8100000000000001,.82
BO,p82p83,2023,49440.3,50452.3,.0126,.0128,.82,.83
BO,p83p84,2023,51919.5,53098.8,.0132,.0135,.83,.84
BO,p84p85,2023,54648.7,56010.9,.0139,.0143,.84,.85
BO,p85p86,2023,57697.4,59263.4,.0147,.0151,.85,.86
BO,p86p87,2023,60826.9,62568.4,.0155,.0159,.86,.87
BO,p87p88,2023,64638.9,66602.90000000001,.0164,.0169,.87,.88
BO,p88p89,2023,68899.7,71114.60000000001,.0175,.0181,.88,.89
BO,p89p90,2023,73361.7,75837.90000000001,.0187,.0193,.89,.9
BO,p8p9,2023,2946.6,194.7,.0007,0,.08,.09
BO,p90p91,2023,77110.60000000001,79791.3,.0196,.0203,.9,.91
BO,p91p92,2023,80682.10000000001,83433.3,.0205,.0212,.91,.92
BO,p92p93,2023,84287.8,87094.70000000001,.0214,.0222,.92,.93
BO,p93p94,2023,88532.90000000001,91419.70000000001,.0225,.0233,.93,.9399999999999999
BO,p94p95,2023,95221.8,98323.8,.0242,.025,.9399999999999999,.95
BO,p95p96,2023,114804.3,118885.8,.0292,.0302,.95,.96
BO,p96p97,2023,152817.4,158519.5,.0389,.0403,.96,.97
BO,p97p98,2023,191284.7,198255.8,.0487,.0504,.97,.98
BO,p98p99,2023,259958.4,269240.7,.0661,.0685,.98,.99
BO,p99.1p99.2,2023,412330.1,427055.9,.0105,.0109,.991,.992
