country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BR,p0p1,2023,3878.1,1.5,.0006,0,0,.01
BR,p10p11,2023,6557.400000000001,31.6,.0011,0,.1,.11
BR,p11p12,2023,6847.700000000001,34.1,.0011,0,.11,.12
BR,p12p13,2023,7253.900000000001,37.4,.0012,0,.12,.13
BR,p13p14,2023,7669.8,315,.0013,.0001,.13,.14
BR,p14p15,2023,8574.300000000001,2016.5,.0014,.0003,.14,.15
BR,p15p16,2023,9478,3093.8,.0016,.0005,.15,.16
BR,p16p17,2023,10182.5,4220.7,.0017,.0007,.16,.17
BR,p17p18,2023,10772.7,5299,.0018,.0009,.17,.18
BR,p18p19,2023,11371.2,6224.6,.0019,.001,.18,.19
BR,p19p20,2023,12015.4,7143.900000000001,.002,.0012,.19,.2
BR,p1p2,2023,4802.2,4.4,.0008,0,.01,.02
BR,p20p21,2023,12955.4,8585.200000000001,.0021,.0014,.2,.21
BR,p21p22,2023,13553.9,9453.700000000001,.0022,.0016,.21,.22
BR,p22p23,2023,14316.1,10582.1,.0024,.0017,.22,.23
BR,p23p24,2023,14465.7,10887.3,.0024,.0018,.23,.24
BR,p24p25,2023,14737.1,11164.6,.0024,.0018,.24,.25
BR,p25p26,2023,15205,11815.4,.0025,.0019,.25,.26
BR,p26p27,2023,15756.7,12436.4,.0026,.002,.26,.27
BR,p27p28,2023,16343.5,13176.1,.0027,.0022,.27,.28
BR,p28p29,2023,16705,13359.4,.0027,.0022,.28,.29
BR,p29p30,2023,16990.3,13646.8,.0028,.0022,.29,.3
BR,p2p3,2023,5044.6,7.600000000000001,.0008,0,.02,.03
BR,p30p31,2023,17797.5,14549.5,.0029,.0024,.3,.31
BR,p31p32,2023,18498,15400.6,.003,.0025,.31,.32
BR,p32p33,2023,19345.8,16418.7,.0032,.0027,.32,.33
BR,p33p34,2023,19609.3,16796.9,.0032,.0028,.33,.34
BR,p34p35,2023,20490.9,17957.2,.0034,.0029,.34,.35
BR,p35p36,2023,21091.3,18574.2,.0035,.0031,.35,.36
BR,p36p37,2023,22017.1,19797.7,.0036,.0033,.36,.37
BR,p37p38,2023,22609.1,20619.4,.0037,.0034,.37,.38
BR,p38p39,2023,23272.2,21468.7,.0038,.0035,.38,.39
BR,p39p40,2023,23357.5,21571.1,.0038,.0035,.39,.4
BR,p3p4,2023,5202.1,10.2,.0009,0,.03,.04
BR,p40p41,2023,23553.9,21797.9,.0039,.0036,.4,.41
BR,p41p42,2023,23766.2,21822.6,.0039,.0036,.41,.42
