country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BS,p0p1,2023,0,1,0,0,0,.01
BS,p10p11,2023,1819.6,724.1,.0004,.0002,.1,.11
BS,p11p12,2023,2325.7,988.8000000000001,.0006,.0002,.11,.12
BS,p12p13,2023,2730.5,1192.6,.0007,.0003,.12,.13
BS,p13p14,2023,3301.7,1366.9,.0008,.0003,.13,.14
BS,p14p15,2023,3795.8,1710.1,.0009,.0004,.14,.15
BS,p15p16,2023,4862.900000000001,2121.2,.0012,.0005,.15,.16
BS,p16p17,2023,5894.700000000001,2548.4,.0014,.0006,.16,.17
BS,p17p18,2023,6428.5,3042.5,.0015,.0007,.17,.18
BS,p18p19,2023,7211.3,3580,.0017,.0009,.18,.19
BS,p19p20,2023,7926.8,4274.6,.0019,.001,.19,.2
BS,p1p2,2023,0,2.5,0,0,.01,.02
BS,p20p21,2023,7958.6,5001.6,.0019,.0012,.2,.21
BS,p21p22,2023,8171.6,5844.200000000001,.0019,.0014,.21,.22
BS,p22p23,2023,8684.4,6549,.0021,.0016,.22,.23
BS,p23p24,2023,8822.6,7188.3,.0021,.0017,.23,.24
BS,p24p25,2023,9249.9,7746.1,.0022,.0018,.24,.25
BS,p25p26,2023,10008.2,8320.1,.0024,.002,.25,.26
BS,p26p27,2023,10387.3,8867.9,.0025,.0021,.26,.27
BS,p27p28,2023,11020.6,9524.200000000001,.0026,.0023,.27,.28
BS,p28p29,2023,11607.4,10099.7,.0028,.0024,.28,.29
BS,p29p30,2023,12041.1,10540.5,.0029,.0025,.29,.3
BS,p2p3,2023,0,4.5,0,0,.02,.03
BS,p30p31,2023,12611.2,11099.1,.003,.0026,.3,.31
BS,p31p32,2023,13213,11684.9,.0031,.0028,.31,.32
BS,p32p33,2023,13808.5,12266.4,.0033,.0029,.32,.33
BS,p33p34,2023,14322.8,12776.2,.0034,.003,.33,.34
BS,p34p35,2023,14872.1,13316,.0035,.0032,.34,.35
BS,p35p36,2023,15431.6,13863.8,.0037,.0033,.35,.36
BS,p36p37,2023,15982.2,14406.6,.0038,.0034,.36,.37
BS,p37p38,2023,16523.2,14945.1,.0039,.0036,.37,.38
BS,p38p39,2023,17019.7,15440.6,.0041,.0037,.38,.39
BS,p39p40,2023,17498,15921.2,.0042,.0038,.39,.4
