country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BT,p0p1,2023,30315.1,0,.0008,0,0,.01
BT,p10p11,2023,82693.90000000001,42045.7,.0021,.0011,.1,.11
BT,p11p12,2023,85773.20000000001,49690.4,.0022,.0013,.11,.12
BT,p12p13,2023,89056.40000000001,57335.10000000001,.0023,.0015,.12,.13
BT,p13p14,2023,92445.10000000001,64979.7,.0024,.0017,.13,.14
BT,p14p15,2023,95669.70000000001,72624.40000000001,.0024,.0018,.14,.15
BT,p15p16,2023,98887.3,80269.10000000001,.0025,.002,.15,.16
BT,p16p17,2023,102275.9,87913.8,.0026,.0022,.16,.17
BT,p17p18,2023,105022.5,95558.5,.0027,.0024,.17,.18
BT,p18p19,2023,108129.9,103203.1,.0028,.0026,.18,.19
BT,p19p20,2023,111239.7,110847.8,.0028,.0028,.19,.2
BT,p1p2,2023,37143.9,0,.0009,0,.01,.02
BT,p20p21,2023,114869.7,114670.1,.0029,.0029,.2,.21
BT,p21p22,2023,118295.9,118308.3,.003,.003,.21,.22
BT,p22p23,2023,121471.3,121680.2,.0031,.0031,.22,.23
BT,p23p24,2023,124271.7,124654,.0032,.0032,.23,.24
BT,p24p25,2023,127512.7,128074.7,.0032,.0033,.24,.25
BT,p25p26,2023,130331.9,131052.2,.0033,.0033,.25,.26
BT,p26p27,2023,133847.1,134758.5,.0034,.0034,.26,.27
BT,p27p28,2023,137627.1,138729.9,.0035,.0035,.27,.28
BT,p28p29,2023,140818.9,142081.7,.0036,.0036,.28,.29
BT,p29p30,2023,144355.2,145780.1,.0037,.0037,.29,.3
BT,p2p3,2023,44345.4,0,.0011,0,.02,.03
BT,p30p31,2023,147722.8,149298.1,.0038,.0038,.3,.31
BT,p31p32,2023,151514.5,153192.5,.0039,.0039,.31,.32
BT,p32p33,2023,154762.5,156526.9,.0039,.004,.32,.33
BT,p33p34,2023,157928.6,159771.3,.004,.0041,.33,.34
BT,p34p35,2023,161682.8,163614.2,.0041,.0042,.34,.35
BT,p35p36,2023,165392.5,167414.4,.0042,.0043,.35,.36
BT,p36p37,2023,168809.3,170888.4,.0043,.0043,.36,.37
BT,p37p38,2023,172931.4,175089.9,.0044,.0045,.37,.38
BT,p38p39,2023,177243.4,179478.4,.0045,.0046,.38,.39
BT,p39p40,2023,181288.3,183590.5,.0046,.0047,.39,.4
BT,p3p4,2023,50042.4,0,.0013,0,.03,.04
BT,p40p41,2023,185565.1,187931.1,.0047,.0048,.4,.41
BT,p41p42,2023,190411.4,192936,.0048,.0049,.41,.42
BT,p42p43,2023,194350.7,196997.1,.0049,.005,.42,.43
BT,p43p44,2023,198979.1,201773.5,.0051,.0051,.43,.44
BT,p44p45,2023,203998.8,206946.8,.0052,.0053,.44,.45
BT,p45p46,2023,208828.7,211925.3,.0053,.0054,.45,.46
BT,p46p47,2023,212739.9,215939.7,.0054,.0055,.46,.47
BT,p47p48,2023,217668.2,220998.6,.0055,.0056,.47,.48
BT,p48p49,2023,222474.7,225929.5,.0057,.0057,.48,.49
BT,p49p50,2023,228295.9,231905.9,.0058,.0059,.49,.5
BT,p4p5,2023,54989.4,0,.0014,0,.04,.05
BT,p50p51,2023,233786.6,237538,.0059,.006,.5,.51
BT,p51p52,2023,238820.4,242728.4,.0061,.0062,.51,.52
BT,p52p53,2023,244259.5,248342,.0062,.0063,.52,.53
BT,p53p54,2023,250558.8,254835.2,.0064,.0065,.53,.54
BT,p54p55,2023,256790.1,261262.5,.0065,.0066,.54,.55
BT,p55p56,2023,262979.2,267645.2,.0067,.0068,.55,.5600000000000001
BT,p56p57,2023,269037,273914.1,.0068,.007,.5600000000000001,.57
BT,p57p58,2023,276327.5,281457.6,.007,.0072,.57,.58
BT,p58p59,2023,282619.8,287970.3,.0072,.0073,.58,.59
BT,p59p60,2023,289448.6,295032.4,.0074,.0075,.59,.6
BT,p5p6,2023,60056,3822.3,.0015,.0001,.05,.06
BT,p60p61,2023,297629.7,303490.7,.0076,.0077,.6,.61
BT,p61p62,2023,305023.3,311169.8,.0078,.0079,.61,.62
BT,p62p63,2023,312571.6,319009.7,.008,.0081,.62,.63
BT,p63p64,2023,320314.4,327048.9,.0081,.0083,.63,.64
BT,p64p65,2023,327787.7,334811.6,.0083,.0085,.64,.65
BT,p65p66,2023,335706.3,343036.6,.0085,.0087,.65,.66
BT,p66p67,2023,345230.2,352893.7,.0088,.009,.66,.67
BT,p67p68,2023,353455.7,361413.5,.009,.0092,.67,.68
BT,p68p69,2023,363124.9,371426.4,.0092,.0094,.68,.6899999999999999
BT,p69p70,2023,372487,381116.8,.0095,.0097,.6899999999999999,.7
BT,p6p7,2023,64801.5,11467,.0016,.0003,.06,.07
BT,p70p71,2023,382329.6,391303.8,.0097,.01,.7,.71
BT,p71p72,2023,394229.7,403163.3,.01,.0103,.71,.72
BT,p72p73,2023,404988.6,413839.8,.0103,.0105,.72,.73
BT,p73p74,2023,416959,425764.2,.0106,.0108,.73,.74
BT,p74p75,2023,429379.4,438150.6,.0109,.0111,.74,.75
BT,p75p76,2023,441227.9,449939.8,.0112,.0114,.75,.76
BT,p76p77,2023,454487.3,463159,.0116,.0118,.76,.77
BT,p77p78,2023,469811.2,478503.1,.0119,.0122,.77,.78
BT,p78p79,2023,485592.1,494317.6,.0124,.0126,.78,.79
BT,p79p80,2023,500475.5,509198.2,.0127,.013,.79,.8
BT,p7p8,2023,69247.10000000001,19111.7,.0018,.0005,.07,.08
BT,p80p81,2023,517081.3,525847.2000000001,.0132,.0134,.8,.8100000000000001
BT,p81p82,2023,535196.3,544014.5,.0136,.0138,.8100000000000001,.82
BT,p82p83,2023,554759.5,563659,.0141,.0143,.82,.83
BT,p83p84,2023,575112.5,584106.1,.0146,.0149,.83,.84
BT,p84p85,2023,600611.8,609849.7000000001,.0153,.0155,.84,.85
BT,p85p86,2023,626668.8,636150.8,.0159,.0162,.85,.86
BT,p86p87,2023,653110.1000000001,662787.1000000001,.0166,.0169,.86,.87
BT,p87p88,2023,683268.2000000001,693235.1000000001,.0174,.0176,.87,.88
BT,p88p89,2023,715759.2000000001,726067.4,.0182,.0185,.88,.89
BT,p89p90,2023,757041.7000000001,767934.9,.0193,.0195,.89,.9
BT,p8p9,2023,73786.40000000001,26756.4,.0019,.0007,.08,.09
BT,p90p91,2023,785957.8,797030.7000000001,.02,.0203,.9,.91
