country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BW,p0p1,2023,22565,0,.0015,0,0,.01
BW,p10p11,2023,30596.9,7429.8,.002,.0005,.1,.11
BW,p11p12,2023,31177,8780.6,.0021,.0006,.11,.12
BW,p12p13,2023,31761.5,10131.5,.0021,.0007,.12,.13
BW,p13p14,2023,32381.7,11482.4,.0022,.0008,.13,.14
BW,p14p15,2023,33071.6,12833.2,.0022,.0009,.14,.15
BW,p15p16,2023,33626.7,14184.1,.0022,.0009,.15,.16
BW,p16p17,2023,33628.5,15535,.0022,.001,.16,.17
BW,p17p18,2023,33641.9,16885.8,.0022,.0011,.17,.18
BW,p18p19,2023,33652.6,18236.7,.0022,.0012,.18,.19
BW,p19p20,2023,33654.4,19587.6,.0022,.0013,.19,.2
BW,p1p2,2023,23034.5,0,.0015,0,.01,.02
BW,p20p21,2023,33662.4,20263,.0022,.0014,.2,.21
BW,p21p22,2023,33663.3,21043.6,.0022,.0014,.21,.22
BW,p22p23,2023,33671.3,21788.3,.0022,.0015,.22,.23
BW,p23p24,2023,33684.7,22559.3,.0022,.0015,.23,.24
BW,p24p25,2023,33701.7,23427.8,.0023,.0016,.24,.25
BW,p25p26,2023,33713.3,24078.7,.0023,.0016,.25,.26
BW,p26p27,2023,34097,24813.5,.0023,.0017,.26,.27
BW,p27p28,2023,34761,25521.3,.0023,.0017,.27,.28
BW,p28p29,2023,35470.4,26275.9,.0024,.0018,.28,.29
BW,p29p30,2023,36306.6,27168.5,.0024,.0018,.29,.3
BW,p2p3,2023,23730.6,0,.0016,0,.02,.03
BW,p30p31,2023,37150,28063,.0025,.0019,.3,.31
BW,p31p32,2023,38334.2,28864.2,.0026,.0019,.31,.32
BW,p32p33,2023,39606,29761.9,.0026,.002,.32,.33
BW,p33p34,2023,41051.7,30854.9,.0027,.0021,.33,.34
BW,p34p35,2023,42361.8,31790.5,.0028,.0021,.34,.35
BW,p35p36,2023,43738.8,32798.1,.0029,.0022,.35,.36
BW,p36p37,2023,44500,33717.2,.003,.0023,.36,.37
BW,p37p38,2023,45241.60000000001,34611.2,.003,.0023,.37,.38
BW,p38p39,2023,45837.8,35338.1,.0031,.0024,.38,.39
BW,p39p40,2023,46619.5,36270.3,.0031,.0024,.39,.4
BW,p3p4,2023,24392.7,0,.0016,0,.03,.04
BW,p40p41,2023,47638.7,37466.9,.0032,.0025,.4,.41
BW,p41p42,2023,48507.9,38534.2,.0032,.0026,.41,.42
BW,p42p43,2023,49361.10000000001,39581.9,.0033,.0026,.42,.43
BW,p43p44,2023,50391.8,40827.10000000001,.0034,.0027,.43,.44
BW,p44p45,2023,51459.2,42111.60000000001,.0034,.0028,.44,.45
BW,p45p46,2023,52533.7,43403.60000000001,.0035,.0029,.45,.46
BW,p46p47,2023,53806.3,44737.3,.0036,.003,.46,.47
BW,p47p48,2023,55127.10000000001,46123.4,.0037,.0031,.47,.48
BW,p48p49,2023,56484.4,47549,.0038,.0032,.48,.49
BW,p49p50,2023,58008.7,49158.5,.0039,.0033,.49,.5
BW,p4p5,2023,25129.9,0,.0017,0,.04,.05
BW,p50p51,2023,59681.10000000001,50931.2,.004,.0034,.5,.51
BW,p51p52,2023,61329.4,52712.9,.0041,.0035,.51,.52
BW,p52p53,2023,62827.8,54324.9,.0042,.0036,.52,.53
BW,p53p54,2023,64254.8,55855.3,.0043,.0037,.53,.54
BW,p54p55,2023,66134.3,57894.8,.0044,.0039,.54,.55
BW,p55p56,2023,67863.8,59762.9,.0045,.004,.55,.5600000000000001
BW,p56p57,2023,69223.90000000001,61553.60000000001,.0046,.0041,.5600000000000001,.57
BW,p57p58,2023,70890,63686.60000000001,.0047,.0043,.57,.58
BW,p58p59,2023,72475.90000000001,65729.40000000001,.0048,.0044,.58,.59
BW,p59p60,2023,74515.10000000001,68279.5,.005,.0046,.59,.6
BW,p5p6,2023,25890.2,675.4000000000001,.0017,0,.05,.06
BW,p60p61,2023,76555.2,70830.40000000001,.0051,.0047,.6,.61
BW,p61p62,2023,78059.8,72798.5,.0052,.0049,.61,.62
BW,p62p63,2023,79666.20000000001,74881.60000000001,.0053,.005,.62,.63
BW,p63p64,2023,81823.20000000001,77583,.0055,.0052,.63,.64
BW,p64p65,2023,83731.20000000001,80005.60000000001,.0056,.0053,.64,.65
BW,p65p66,2023,85811.40000000001,82623.20000000001,.0057,.0055,.65,.66
BW,p66p67,2023,88819.8,85955.8,.0059,.0057,.66,.67
BW,p67p68,2023,91564.90000000001,88993.60000000001,.0061,.0059,.67,.68
BW,p68p69,2023,94741.90000000001,92517.3,.0063,.0062,.68,.6899999999999999
BW,p69p70,2023,98015.40000000001,96149.70000000001,.0065,.0064,.6899999999999999,.7
BW,p6p7,2023,26723.8,2026.3,.0018,.0001,.06,.07
BW,p70p71,2023,101542.2,100068.7,.0068,.0067,.7,.71
BW,p71p72,2023,105550.1,104545,.007,.007,.71,.72
BW,p72p73,2023,110164.9,109699.1,.0074,.0073,.72,.73
BW,p73p74,2023,114806.4,114883.1,.0077,.0077,.73,.74
BW,p74p75,2023,119061.5,119631.3,.008,.008,.74,.75
BW,p75p76,2023,123109.5,124149.7,.0082,.0083,.75,.76
BW,p76p77,2023,128420.4,130112.2,.0086,.0087,.76,.77
BW,p77p78,2023,134208.7,136611.9,.009,.0091,.77,.78
BW,p78p79,2023,140612.7,143807.5,.0094,.0096,.78,.79
BW,p79p80,2023,147344.3,151374.8,.0098,.0101,.79,.8
BW,p7p8,2023,27622.4,3377.2,.0018,.0002,.07,.08
BW,p80p81,2023,154320.4,159226.3,.0103,.0106,.8,.8100000000000001
BW,p81p82,2023,160942.2,166615.8,.0107,.0111,.8100000000000001,.82
BW,p82p83,2023,170559.1,177365.1,.0114,.0118,.82,.83
BW,p83p84,2023,180031.3,187957.6,.012,.0126,.83,.84
BW,p84p85,2023,189781.1,198865.2,.0127,.0133,.84,.85
BW,p85p86,2023,201456.7,211935,.0135,.0142,.85,.86
BW,p86p87,2023,212654,224828.8,.0142,.015,.86,.87
BW,p87p88,2023,226059.1,240198.2,.0151,.016,.87,.88
BW,p88p89,2023,241535.6,257888.3,.0161,.0172,.88,.89
BW,p89p90,2023,264867.3,284370.3,.0177,.019,.89,.9
BW,p8p9,2023,28608.6,4728,.0019,.0003,.08,.09
BW,p90p91,2023,289265.4,312037.3,.0193,.0208,.9,.91
BW,p91p92,2023,320562.8,346775,.0214,.0232,.91,.92
BW,p92p93,2023,358915.8,389214.9,.024,.026,.92,.93
BW,p93p94,2023,401160.7,435776.7,.0268,.0291,.93,.9399999999999999
BW,p94p95,2023,461253.2,501913.5,.0308,.0335,.9399999999999999,.95
BW,p95p96,2023,545957.1,594967.2000000001,.0365,.0397,.95,.96
BW,p96p97,2023,667298.8,726423.8,.0446,.0485,.96,.97
BW,p97p98,2023,861280,936239,.0575,.0625,.97,.98
BW,p98p99,2023,1239559.9,1345115,.0828,.0898,.98,.99
BW,p99.1p99.2,2023,1628768.1,1769362.2,.0109,.0118,.991,.992
BW,p99.2p99.3,2023,1737470.3,1892147.1,.0116,.0126,.992,.993
BW,p99.3p99.4,2023,1872102,2043100.3,.0125,.0136,.993,.9940000000000001
BW,p99.4p99.5,2023,2045152.7,2234817.2,.0137,.0149,.9940000000000001,.995
BW,p99.5p99.6,2023,2275796.2,2489480.7,.0152,.0166,.995,.996
BW,p99.6p99.7,2023,2604874.6,2850903.2,.0174,.019,.996,.997
BW,p99.7p99.8,2023,3129807.4,3422533.7,.0209,.0229,.997,.998
BW,p99.8p99.9,2023,4164019.9,4544812.3,.0278,.0304,.998,.9990000000000001
BW,p99.9p100,2023,10975170.9,11948992.1,.0733,.0798,.9990000000000001,1
BW,p99p99.1,2023,1539005.5,1666995.2,.0103,.0111,.99,.991
