country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BY,p0p1,2023,4989.1,0,.0021,0,0,.01
BY,p10p11,2023,10502.4,4410,.0043,.0018,.1,.11
BY,p11p12,2023,10790.4,5211.8,.0045,.0022,.11,.12
BY,p12p13,2023,11065,6013.700000000001,.0046,.0025,.12,.13
BY,p13p14,2023,11291.9,6815.5,.0047,.0028,.13,.14
BY,p14p15,2023,11536.5,7617.3,.0048,.0031,.14,.15
BY,p15p16,2023,11777.4,8419.1,.0049,.0035,.15,.16
BY,p16p17,2023,12035.3,9220.9,.005,.0038,.16,.17
BY,p17p18,2023,12267.4,10022.8,.0051,.0041,.17,.18
BY,p18p19,2023,12492,10824.6,.0052,.0045,.18,.19
BY,p19p20,2023,12686.4,11626.4,.0052,.0048,.19,.2
BY,p1p2,2023,5441.900000000001,0,.0022,0,.01,.02
BY,p20p21,2023,12835.2,12027.3,.0053,.005,.2,.21
BY,p21p22,2023,13093.5,12354.8,.0054,.0051,.21,.22
BY,p22p23,2023,13222.2,12530.2,.0055,.0052,.22,.23
BY,p23p24,2023,13366.5,12722.2,.0055,.0052,.23,.24
BY,p24p25,2023,13571.2,12981.4,.0056,.0054,.24,.25
BY,p25p26,2023,13767.1,13228.2,.0057,.0055,.25,.26
BY,p26p27,2023,13863.1,13352.8,.0057,.0055,.26,.27
BY,p27p28,2023,14087.9,13623.1,.0058,.0056,.27,.28
BY,p28p29,2023,14252,13821.3,.0059,.0057,.28,.29
BY,p29p30,2023,14443.8,14049.2,.006,.0058,.29,.3
BY,p2p3,2023,6014.900000000001,0,.0025,0,.02,.03
BY,p30p31,2023,14594.2,14228.1,.006,.0059,.3,.31
BY,p31p32,2023,14765.1,14420.1,.0061,.006,.31,.32
BY,p32p33,2023,14926.7,14601.2,.0062,.006,.32,.33
BY,p33p34,2023,15106.3,14802.1,.0062,.0061,.33,.34
BY,p34p35,2023,15277.3,14992.9,.0063,.0062,.34,.35
BY,p35p36,2023,15502,15244.6,.0064,.0063,.35,.36
BY,p36p37,2023,15683.3,15453.6,.0065,.0064,.36,.37
BY,p37p38,2023,15878.5,15678.4,.0066,.0065,.37,.38
BY,p38p39,2023,16132.3,15969.9,.0067,.0066,.38,.39
