country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
BZ,p0p1,2023,1204.6,.5,.0006,0,0,.01
BZ,p10p11,2023,1489.7,331,.0008,.0002,.1,.11
BZ,p11p12,2023,1589.8,452.1,.0008,.0002,.11,.12
BZ,p12p13,2023,1666.1,545.3000000000001,.0009,.0003,.12,.13
BZ,p13p14,2023,1731.1,624.9000000000001,.0009,.0003,.13,.14
BZ,p14p15,2023,1868.1,781.9000000000001,.001,.0004,.14,.15
BZ,p15p16,2023,2035.3,969.8000000000001,.0011,.0005,.15,.16
BZ,p16p17,2023,2208.4,1165.2,.0012,.0006,.16,.17
BZ,p17p18,2023,2412.6,1391,.0013,.0007,.17,.18
BZ,p18p19,2023,2638.5,1636.8,.0014,.0009,.18,.19
BZ,p19p20,2023,2935.6,1954.4,.0015,.001,.19,.2
BZ,p1p2,2023,1221.1,1.1,.0006,0,.01,.02
BZ,p20p21,2023,3251.6,2286.8,.0017,.0012,.2,.21
BZ,p21p22,2023,3607.4,2672,.0019,.0014,.21,.22
BZ,p22p23,2023,3904,2994.2,.002,.0016,.22,.23
BZ,p23p24,2023,4173,3286.5,.0022,.0017,.23,.24
BZ,p24p25,2023,4406.900000000001,3541.6,.0023,.0018,.24,.25
BZ,p25p26,2023,4648.900000000001,3804,.0024,.002,.25,.26
BZ,p26p27,2023,4882.2,4054.5,.0025,.0021,.26,.27
BZ,p27p28,2023,5164.200000000001,4354.5,.0027,.0023,.27,.28
BZ,p28p29,2023,5411.400000000001,4617.7,.0028,.0024,.28,.29
BZ,p29p30,2023,5600.3,4819.2,.0029,.0025,.29,.3
BZ,p2p3,2023,1238.4,2.1,.0006,0,.02,.03
BZ,p30p31,2023,5841.700000000001,5074.6,.003,.0026,.3,.31
BZ,p31p32,2023,6104.200000000001,5342.400000000001,.0032,.0028,.31,.32
BZ,p32p33,2023,6365.1,5608.3,.0033,.0029,.32,.33
BZ,p33p34,2023,6594.400000000001,5841.400000000001,.0034,.003,.33,.34
BZ,p34p35,2023,6837.400000000001,6088.200000000001,.0036,.0032,.34,.35
BZ,p35p36,2023,7083.900000000001,6338.6,.0037,.0033,.35,.36
BZ,p36p37,2023,7325.8,6586.8,.0038,.0034,.36,.37
BZ,p37p38,2023,7565.900000000001,6833,.0039,.0036,.37,.38
BZ,p38p39,2023,7787.6,7059.6,.0041,.0037,.38,.39
BZ,p39p40,2023,8002.900000000001,7279.3,.0042,.0038,.39,.4
BZ,p3p4,2023,1256,2.9,.0007,0,.03,.04
BZ,p40p41,2023,8209.9,7489.900000000001,.0043,.0039,.4,.41
BZ,p41p42,2023,8429.5,7719,.0044,.004,.41,.42
BZ,p42p43,2023,8663.200000000001,7962.400000000001,.0045,.0042,.42,.43
BZ,p43p44,2023,8875.200000000001,8183.200000000001,.0046,.0043,.43,.44
BZ,p44p45,2023,9080.200000000001,8396.700000000001,.0047,.0044,.44,.45
BZ,p45p46,2023,9298.6,8623.700000000001,.0048,.0045,.45,.46
BZ,p46p47,2023,9516,8847.6,.005,.0046,.46,.47
BZ,p47p48,2023,9743.200000000001,9081.4,.0051,.0047,.47,.48
BZ,p48p49,2023,9992.300000000001,9337.800000000001,.0052,.0049,.48,.49
BZ,p49p50,2023,10229.6,9581.700000000001,.0053,.005,.49,.5
BZ,p4p5,2023,1272.8,3.7,.0007,0,.04,.05
BZ,p50p51,2023,10442.8,9800.5,.0054,.0051,.5,.51
BZ,p51p52,2023,10657.4,10024.4,.0056,.0052,.51,.52
BZ,p52p53,2023,10895.1,10272.6,.0057,.0054,.52,.53
BZ,p53p54,2023,11118.6,10506.3,.0058,.0055,.53,.54
BZ,p54p55,2023,11360.8,10759.5,.0059,.0056,.54,.55
BZ,p55p56,2023,11612.4,11022.7,.0061,.0057,.55,.5600000000000001
BZ,p56p57,2023,11863.5,11287.9,.0062,.0059,.5600000000000001,.57
BZ,p57p58,2023,12105.7,11544.4,.0063,.006,.57,.58
BZ,p58p59,2023,12417.1,11873.2,.0065,.0062,.58,.59
BZ,p59p60,2023,12698,12171,.0066,.0063,.59,.6
BZ,p5p6,2023,1277.5,4.600000000000001,.0007,0,.05,.06
BZ,p60p61,2023,13009.1,12500.6,.0068,.0065,.6,.61
BZ,p61p62,2023,13306.6,12818.9,.0069,.0067,.61,.62
BZ,p62p63,2023,13636.3,13171.3,.0071,.0069,.62,.63
BZ,p63p64,2023,13962,13520,.0073,.007,.63,.64
BZ,p64p65,2023,14249.9,13830.4,.0074,.0072,.64,.65
BZ,p65p66,2023,14543.7,14147.1,.0076,.0074,.65,.66
BZ,p66p67,2023,14880.9,14509.6,.0078,.0076,.66,.67
BZ,p67p68,2023,15285.4,14942.7,.008,.0078,.67,.68
BZ,p68p69,2023,15684.5,15371,.0082,.008,.68,.6899999999999999
BZ,p69p70,2023,16077.3,15792.6,.0084,.0082,.6899999999999999,.7
BZ,p6p7,2023,1296.2,5.300000000000001,.0007,0,.06,.07
BZ,p70p71,2023,16448.1,16191.9,.0086,.0084,.7,.71
BZ,p71p72,2023,16925.5,16690.2,.0088,.0087,.71,.72
BZ,p72p73,2023,17412.8,17198.9,.0091,.009,.72,.73
BZ,p73p74,2023,17879,17685.6,.0093,.0092,.73,.74
BZ,p74p75,2023,18396.2,18226.2,.0096,.0095,.74,.75
BZ,p75p76,2023,18961.6,18817.8,.0099,.0098,.75,.76
BZ,p76p77,2023,19572.3,19456.2,.0102,.0101,.76,.77
BZ,p77p78,2023,20189.1,20102.5,.0105,.0105,.77,.78
BZ,p78p79,2023,20904.8,20854.3,.0109,.0109,.78,.79
BZ,p79p80,2023,21681.4,21673.1,.0113,.0113,.79,.8
BZ,p7p8,2023,1314.6,7.5,.0007,0,.07,.08
BZ,p80p81,2023,22533.2,22574.1,.0117,.0118,.8,.8100000000000001
BZ,p81p82,2023,23458.7,23547.9,.0122,.0123,.8100000000000001,.82
BZ,p82p83,2023,24472,24618.4,.0128,.0128,.82,.83
BZ,p83p84,2023,25689.3,25909.8,.0134,.0135,.83,.84
BZ,p84p85,2023,27022.9,27330.8,.0141,.0143,.84,.85
BZ,p85p86,2023,28505.7,28917.9,.0149,.0151,.85,.86
BZ,p86p87,2023,30005.3,30530.5,.0156,.0159,.86,.87
BZ,p87p88,2023,31829.9,32499.2,.0166,.0169,.87,.88
BZ,p88p89,2023,33859.7,34700.7,.0177,.0181,.88,.89
BZ,p89p90,2023,35969.9,37005.4,.0188,.0193,.89,.9
BZ,p8p9,2023,1339.1,95,.0007,0,.08,.09
BZ,p90p91,2023,37709,38934.5,.0197,.0203,.9,.91
BZ,p91p92,2023,39362.2,40711.60000000001,.0205,.0212,.91,.92
BZ,p92p93,2023,41013.9,42498.3,.0214,.0222,.92,.93
BZ,p93p94,2023,42958,44608.7,.0224,.0233,.93,.9399999999999999
BZ,p94p95,2023,46067.4,47977.5,.024,.025,.9399999999999999,.95
BZ,p95p96,2023,55383,58010.8,.0289,.0302,.95,.96
BZ,p96p97,2023,73578.90000000001,77350.3,.0384,.0403,.96,.97
BZ,p97p98,2023,91899.90000000001,96739.8,.0479,.0504,.97,.98
BZ,p98p99,2023,124628.6,131377.2,.065,.0685,.98,.99
BZ,p99.1p99.2,2023,195989.5,208383.8,.0102,.0109,.991,.992
BZ,p99.2p99.3,2023,207395.6,221856.4,.0108,.0116,.992,.993
BZ,p99.3p99.4,2023,216709,233129.1,.0113,.0122,.993,.9940000000000001
BZ,p99.4p99.5,2023,224518.2,242376.3,.0117,.0126,.9940000000000001,.995
BZ,p99.5p99.6,2023,231075.8,250316.3,.012,.0131,.995,.996
BZ,p99.6p99.7,2023,238102.8,258380.8,.0124,.0135,.996,.997
BZ,p99.7p99.8,2023,258371,279868.6,.0135,.0146,.997,.998
BZ,p99.8p99.9,2023,367924.2,396394.3,.0192,.0207,.998,.9990000000000001
BZ,p99.9p100,2023,1814496.6,1929816.3,.0946,.1006,.9990000000000001,1
BZ,p99p99.1,2023,182679.5,192827.1,.0095,.0101,.99,.991
BZ,p9p10,2023,1363.7,184.3,.0007,.0001,.09,.1
