country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CA,p0p1,2023,24002.1,0,.0029,0,0,.01
CA,p10p11,2023,28398.2,8186.900000000001,.0034,.001,.1,.11
CA,p11p12,2023,29230.1,9675.4,.0035,.0012,.11,.12
CA,p12p13,2023,30068.3,11163.9,.0036,.0013,.12,.13
CA,p13p14,2023,30916,12652.4,.0037,.0015,.13,.14
CA,p14p15,2023,31772.6,14141,.0038,.0017,.14,.15
CA,p15p16,2023,32639,15629.5,.0039,.0019,.15,.16
CA,p16p17,2023,33544.5,17118,.004,.0021,.16,.17
CA,p17p18,2023,34460,18606.5,.0042,.0022,.17,.18
CA,p18p19,2023,35387.3,20095.1,.0043,.0024,.18,.19
CA,p19p20,2023,36325.9,21583.6,.0044,.0026,.19,.2
CA,p1p2,2023,24110.9,0,.0029,0,.01,.02
CA,p20p21,2023,36653.8,22327.8,.0044,.0027,.2,.21
CA,p21p22,2023,37614.2,23637,.0045,.0028,.21,.22
CA,p22p23,2023,38521.7,25105.8,.0046,.003,.22,.23
CA,p23p24,2023,39536.10000000001,26685.7,.0048,.0032,.23,.24
CA,p24p25,2023,40549.9,27879.1,.0049,.0034,.24,.25
CA,p25p26,2023,41564.7,29004.7,.005,.0035,.25,.26
CA,p26p27,2023,42708.60000000001,30179.3,.0051,.0036,.26,.27
CA,p27p28,2023,43854.5,31492.2,.0053,.0038,.27,.28
CA,p28p29,2023,44999.9,33240.3,.0054,.004,.28,.29
CA,p29p30,2023,46145.3,34315.3,.0056,.0041,.29,.3
CA,p2p3,2023,24481.4,0,.003,0,.02,.03
CA,p30p31,2023,47383.60000000001,35161.3,.0057,.0042,.3,.31
CA,p31p32,2023,48543.8,36992.5,.0059,.0045,.31,.32
CA,p32p33,2023,49648.2,38021.7,.006,.0046,.32,.33
CA,p33p34,2023,50853.4,39289.9,.0061,.0047,.33,.34
CA,p34p35,2023,51982.5,40308.10000000001,.0063,.0049,.34,.35
CA,p35p36,2023,53179.3,41894.2,.0064,.005,.35,.36
CA,p36p37,2023,54379.10000000001,43060.2,.0066,.0052,.36,.37
CA,p37p38,2023,55537.8,44411.5,.0067,.0054,.37,.38
CA,p38p39,2023,56809.8,46431.7,.0068,.0056,.38,.39
CA,p39p40,2023,57980.9,46997.4,.007,.0057,.39,.4
CA,p3p4,2023,24790,0,.003,0,.03,.04
CA,p40p41,2023,59242.5,47984.9,.0071,.0058,.4,.41
CA,p41p42,2023,60376,49628.10000000001,.0073,.006,.41,.42
CA,p42p43,2023,61602,50883.4,.0074,.0061,.42,.43
CA,p43p44,2023,62717.2,52131.10000000001,.0076,.0063,.43,.44
CA,p44p45,2023,63929.9,53489.60000000001,.0077,.0064,.44,.45
CA,p45p46,2023,65030.3,55005.7,.0078,.0066,.45,.46
CA,p46p47,2023,66256.8,55598.60000000001,.008,.0067,.46,.47
CA,p47p48,2023,67496.60000000001,57149.7,.0081,.0069,.47,.48
CA,p48p49,2023,68724.60000000001,58086.7,.0083,.007,.48,.49
CA,p49p50,2023,69823.5,59999.5,.0084,.0072,.49,.5
CA,p4p5,2023,24966.5,0,.003,0,.04,.05
CA,p50p51,2023,71019.3,61501.2,.0086,.0074,.5,.51
CA,p51p52,2023,72214.60000000001,62230,.0087,.0075,.51,.52
CA,p52p53,2023,73401.10000000001,63781.2,.0088,.0077,.52,.53
CA,p53p54,2023,74580.10000000001,64944.60000000001,.009,.0078,.53,.54
