country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CD,p0p1,2023,109140.6,0,.0003,0,0,.01
CD,p10p11,2023,560338,297611.6,.0015,.0008,.1,.11
CD,p11p12,2023,593147.8,351722.8,.0016,.0009,.11,.12
CD,p12p13,2023,625867.4,405834,.0017,.0011,.12,.13
CD,p13p14,2023,655723.3,459945.2,.0017,.0012,.13,.14
CD,p14p15,2023,682286.8,514056.5,.0018,.0014,.14,.15
CD,p15p16,2023,709932.8,568167.7000000001,.0019,.0015,.15,.16
CD,p16p17,2023,739382.7000000001,622278.9,.002,.0016,.16,.17
CD,p17p18,2023,767772.8,676390.1000000001,.002,.0018,.17,.18
CD,p18p19,2023,797042.4,730501.3,.0021,.0019,.18,.19
CD,p19p20,2023,822298,784612.5,.0022,.0021,.19,.2
CD,p1p2,2023,187546,0,.0005,0,.01,.02
CD,p20p21,2023,849876.3,811668.1000000001,.0022,.0021,.2,.21
CD,p21p22,2023,878649.8,841471.3,.0023,.0022,.21,.22
CD,p22p23,2023,904491.8,868365.4,.0024,.0023,.22,.23
CD,p23p24,2023,932701.5,897607.1000000001,.0025,.0024,.23,.24
CD,p24p25,2023,964451.5,930370.8,.0025,.0025,.24,.25
CD,p25p26,2023,996517.2000000001,963454.3,.0026,.0025,.25,.26
CD,p26p27,2023,1025967.1,993797,.0027,.0026,.26,.27
CD,p27p28,2023,1054515,1023270.1,.0028,.0027,.27,.28
CD,p28p29,2023,1083604.2,1053237.8,.0029,.0028,.28,.29
CD,p29p30,2023,1109356,1079863.3,.0029,.0029,.29,.3
CD,p2p3,2023,249783.2,0,.0007,0,.02,.03
CD,p30p31,2023,1136505.8,1107881.8,.003,.0029,.3,.31
CD,p31p32,2023,1165617.5,1137098,.0031,.003,.31,.32
CD,p32p33,2023,1193489,1165088.5,.0032,.0031,.32,.33
CD,p33p34,2023,1225013.5,1196750,.0032,.0032,.33,.34
CD,p34p35,2023,1251667.2,1223534.7,.0033,.0032,.34,.35
CD,p35p36,2023,1285063.4,1257035,.0034,.0033,.35,.36
CD,p36p37,2023,1319496.8,1291968.5,.0035,.0034,.36,.37
CD,p37p38,2023,1354854.7,1327840.2,.0036,.0035,.37,.38
CD,p38p39,2023,1387461.6,1360920.7,.0037,.0036,.38,.39
CD,p39p40,2023,1419301.8,1393281.6,.0038,.0037,.39,.4
CD,p3p4,2023,304669.2,0,.0008,0,.03,.04
CD,p40p41,2023,1449473.4,1423906,.0038,.0038,.4,.41
CD,p41p42,2023,1480501.8,1455664.5,.0039,.0038,.41,.42
CD,p42p43,2023,1511304.7,1487185.3,.004,.0039,.42,.43
CD,p43p44,2023,1544745.9,1521367.7,.0041,.004,.43,.44
CD,p44p45,2023,1573654.7,1551005.6,.0042,.0041,.44,.45
CD,p45p46,2023,1603420.3,1581511.5,.0042,.0042,.45,.46
CD,p46p47,2023,1639499.8,1617972.6,.0043,.0043,.46,.47
CD,p47p48,2023,1675218.6,1654116.8,.0044,.0044,.47,.48
CD,p48p49,2023,1712222.7,1691503.2,.0045,.0045,.48,.49
CD,p49p50,2023,1748956.2,1728692.4,.0046,.0046,.49,.5
CD,p4p5,2023,350197.1,0,.0009,0,.04,.05
CD,p50p51,2023,1793537,1773742.7,.0047,.0047,.5,.51
CD,p51p52,2023,1841613,1822034.7,.0049,.0048,.51,.52
CD,p52p53,2023,1877331.7,1857986,.005,.0049,.52,.53
CD,p53p54,2023,1918575.2,1899479.2,.0051,.005,.53,.54
CD,p54p55,2023,1968364.9,1949597.2,.0052,.0052,.54,.55
CD,p55p56,2023,2015989.9,1997567.7,.0053,.0053,.55,.5600000000000001
CD,p56p57,2023,2067786.6,2050022.9,.0055,.0054,.5600000000000001,.57
CD,p57p58,2023,2116178.3,2099039.6,.0056,.0055,.57,.58
CD,p58p59,2023,2164344.5,2147904.4,.0057,.0057,.58,.59
CD,p59p60,2023,2211721.5,2196016.6,.0058,.0058,.59,.6
CD,p5p6,2023,388035.6,27055.6,.001,.0001,.05,.06
CD,p60p61,2023,2258737.7,2243755.3,.006,.0059,.6,.61
CD,p61p62,2023,2311413.8,2297442.6,.0061,.0061,.61,.62
CD,p62p63,2023,2375387.4,2362560.4,.0063,.0062,.62,.63
CD,p63p64,2023,2431739.1,2420015.7,.0064,.0064,.63,.64
CD,p64p65,2023,2496614.6,2486115.1,.0066,.0066,.64,.65
CD,p65p66,2023,2558175.4,2548957.6,.0068,.0067,.65,.66
CD,p66p67,2023,2626591.2,2618537.8,.0069,.0069,.66,.67
CD,p67p68,2023,2693338.4,2686479,.0071,.0071,.67,.68
CD,p68p69,2023,2754403,2748750.1,.0073,.0073,.68,.6899999999999999
CD,p69p70,2023,2834409.4,2830193.6,.0075,.0075,.6899999999999999,.7
CD,p6p7,2023,425017.1,81166.8,.0011,.0002,.06,.07
CD,p70p71,2023,2938837.2,2936356.3,.0078,.0078,.7,.71
CD,p71p72,2023,3018550.4,3017911.2,.008,.008,.71,.72
CD,p72p73,2023,3108546.4,3109914.8,.0082,.0082,.72,.73
CD,p73p74,2023,3201699.2,3205181.4,.0085,.0085,.73,.74
CD,p74p75,2023,3292281.5,3297885,.0087,.0087,.74,.75
CD,p75p76,2023,3396190.6,3404193.9,.009,.009,.75,.76
CD,p76p77,2023,3505669.5,3516109.6,.0093,.0093,.76,.77
CD,p77p78,2023,3620740.7,3633770.1,.0096,.0096,.77,.78
CD,p78p79,2023,3730963.7,3746626.5,.0099,.0099,.78,.79
CD,p79p80,2023,3862067.8,3880705.4,.0102,.0103,.79,.8
CD,p7p8,2023,459698.6,135278,.0012,.0004,.07,.08
CD,p80p81,2023,4022689.4,4044856.8,.0106,.0107,.8,.8100000000000001
CD,p81p82,2023,4201215.5,4227510.9,.0111,.0112,.8100000000000001,.82
CD,p82p83,2023,4397984.4,4428857.3,.0116,.0117,.82,.83
CD,p83p84,2023,4630855.3,4666964.7,.0122,.0123,.83,.84
CD,p84p85,2023,4867717.600000001,4909296.3,.0129,.013,.84,.85
CD,p85p86,2023,5145236.9,5193072.2,.0136,.0137,.85,.86
CD,p86p87,2023,5439262.7,5494368.2,.0144,.0145,.86,.87
CD,p87p88,2023,5735047.4,5797526.600000001,.0152,.0153,.87,.88
CD,p88p89,2023,6082019.9,6152836.5,.0161,.0163,.88,.89
CD,p89p90,2023,6627610.300000001,6710546,.0175,.0177,.89,.9
CD,p8p9,2023,491516.2,189389.2,.0013,.0005,.08,.09
CD,p90p91,2023,7228898.600000001,7325030,.0191,.0194,.9,.91
CD,p91p92,2023,7854653.300000001,7968703.300000001,.0208,.0211,.91,.92
CD,p92p93,2023,8656882.1,8792922.300000001,.0229,.0232,.92,.93
CD,p93p94,2023,9805057.4,9971045,.0259,.0264,.93,.9399999999999999
CD,p94p95,2023,11488901.2,11697354.2,.0304,.0309,.9399999999999999,.95
CD,p95p96,2023,13599972.1,13861793.8,.0359,.0366,.95,.96
CD,p96p97,2023,16515684.5,16881175.7,.0437,.0446,.96,.97
CD,p97p98,2023,21539389.8,22077563.8,.0569,.0584,.97,.98
CD,p98p99,2023,31222661.7,32090239.1,.0825,.0848,.98,.99
CD,p99.1p99.2,2023,40205640.9,41445163,.0106,.011,.991,.992
CD,p99.2p99.3,2023,42684757,44009284.40000001,.0113,.0116,.992,.993
CD,p99.3p99.4,2023,45708561.5,47137765.40000001,.0121,.0125,.993,.9940000000000001
CD,p99.4p99.5,2023,49518223.7,51076179.40000001,.0131,.0135,.9940000000000001,.995
CD,p99.5p99.6,2023,54523246.5,56253052.1,.0144,.0149,.995,.996
CD,p99.6p99.7,2023,61538492.2,63505228.2,.0163,.0168,.996,.997
CD,p99.7p99.8,2023,72468932.7,74779904.10000001,.0192,.0198,.997,.998
CD,p99.8p99.9,2023,93419199.80000001,96347920.40000001,.0247,.0255,.998,.9990000000000001
CD,p99.9p100,2023,215266068.8,221352884.7,.0569,.0585,.9990000000000001,1
CD,p99p99.1,2023,38128755.5,39293067.2,.0101,.0104,.99,.991
CD,p9p10,2023,524777.1,243500.4,.0014,.0006,.09,.1
