country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CF,p0p1,2023,38954.1,0,.0005,0,0,.01
CF,p10p11,2023,126956.8,63776,.0016,.0008,.1,.11
CF,p11p12,2023,133068.8,75371.60000000001,.0017,.001,.11,.12
CF,p12p13,2023,139946.1,86967.3,.0018,.0011,.12,.13
CF,p13p14,2023,146763.4,98562.90000000001,.0019,.0013,.13,.14
CF,p14p15,2023,152889.3,110158.6,.002,.0014,.14,.15
CF,p15p16,2023,159107.4,121754.2,.0021,.0016,.15,.16
CF,p16p17,2023,164606.4,133349.8,.0021,.0017,.16,.17
CF,p17p18,2023,170506.4,144945.5,.0022,.0019,.17,.18
CF,p18p19,2023,175853.3,156541.1,.0023,.002,.18,.19
CF,p19p20,2023,181361.6,168136.8,.0023,.0022,.19,.2
CF,p1p2,2023,49864.5,0,.0006,0,.01,.02
CF,p20p21,2023,186680.8,173934.6,.0024,.0022,.2,.21
CF,p21p22,2023,193037.2,180790.2,.0025,.0023,.21,.22
CF,p22p23,2023,198365.6,186586.7,.0026,.0024,.22,.23
CF,p23p24,2023,203864.7,192552.1,.0026,.0025,.23,.24
CF,p24p25,2023,209598.8,198760.3,.0027,.0026,.24,.25
CF,p25p26,2023,215909,205547.9,.0028,.0027,.25,.26
CF,p26p27,2023,222707.9,212728.1,.0029,.0028,.26,.27
CF,p27p28,2023,228193.1,218559.4,.003,.0028,.27,.28
CF,p28p29,2023,234120.8,224832.2,.003,.0029,.28,.29
CF,p29p30,2023,240057.7,231112.3,.0031,.003,.29,.3
CF,p2p3,2023,63508.3,0,.0008,0,.02,.03
CF,p30p31,2023,245570.5,236948.4,.0032,.0031,.3,.31
CF,p31p32,2023,251378.4,242961.1,.0033,.0031,.31,.32
CF,p32p33,2023,258251,250056.8,.0033,.0032,.32,.33
CF,p33p34,2023,263869.9,255876.2,.0034,.0033,.33,.34
CF,p34p35,2023,269428.8,261624.4,.0035,.0034,.34,.35
CF,p35p36,2023,276080.2,268496.5,.0036,.0035,.35,.36
CF,p36p37,2023,281662.2,274304,.0036,.0035,.36,.37
CF,p37p38,2023,287857.2,280736.7,.0037,.0036,.37,.38
CF,p38p39,2023,294937.2,288075.5,.0038,.0037,.38,.39
CF,p39p40,2023,301381.2,294765.3,.0039,.0038,.39,.4
CF,p3p4,2023,73072.90000000001,0,.0009,0,.03,.04
CF,p40p41,2023,307788.3,301404.4,.004,.0039,.4,.41
CF,p41p42,2023,314978.9,308918.2,.0041,.004,.41,.42
CF,p42p43,2023,322690.5,316960.3,.0042,.0041,.42,.43
CF,p43p44,2023,331807.8,326448.2,.0043,.0042,.43,.44
CF,p44p45,2023,339371.9,334349,.0044,.0043,.44,.45
CF,p45p46,2023,348894.9,344256.6,.0045,.0045,.45,.46
CF,p46p47,2023,356671,352352.4,.0046,.0046,.46,.47
CF,p47p48,2023,365903.6,361950.4,.0047,.0047,.47,.48
CF,p48p49,2023,373034.3,369380.6,.0048,.0048,.48,.49
CF,p49p50,2023,380732,377407.5,.0049,.0049,.49,.5
CF,p4p5,2023,81521.90000000001,0,.0011,0,.04,.05
CF,p50p51,2023,390282.7,387323.2,.005,.005,.5,.51
CF,p51p52,2023,398962.2,396387.3,.0052,.0051,.51,.52
CF,p52p53,2023,407807.7,405615.5,.0053,.0052,.52,.53
CF,p53p54,2023,418261.8,416508.5,.0054,.0054,.53,.54
CF,p54p55,2023,428951,427635.6,.0055,.0055,.54,.55
CF,p55p56,2023,437685.8,436764.3,.0057,.0056,.55,.5600000000000001
CF,p56p57,2023,446798.6,446304,.0058,.0058,.5600000000000001,.57
CF,p57p58,2023,459221,459246.6,.0059,.0059,.57,.58
CF,p58p59,2023,471836.9,472390.8,.0061,.0061,.58,.59
CF,p59p60,2023,485052,486161,.0063,.0063,.59,.6
CF,p5p6,2023,89408.60000000001,5797.8,.0012,.0001,.05,.06
CF,p60p61,2023,495750.5,497339.1,.0064,.0064,.6,.61
CF,p61p62,2023,506868.4,508978.4,.0066,.0066,.61,.62
CF,p62p63,2023,521821.3,524567.2000000001,.0067,.0068,.62,.63
CF,p63p64,2023,536728.1,540119.9,.0069,.007,.63,.64
CF,p64p65,2023,548846.2000000001,552805.1,.0071,.0071,.64,.65
CF,p65p66,2023,564273.9,568898.2000000001,.0073,.0074,.65,.66
CF,p66p67,2023,581314.8,586660.4,.0075,.0076,.66,.67
CF,p67p68,2023,595143,601116,.0077,.0078,.67,.68
CF,p68p69,2023,610870.3,617535.9,.0079,.008,.68,.6899999999999999
CF,p69p70,2023,627902,635307.1000000001,.0081,.0082,.6899999999999999,.7
CF,p6p7,2023,97793.10000000001,17393.5,.0013,.0002,.06,.07
CF,p70p71,2023,645325.6000000001,653483.6000000001,.0083,.0085,.7,.71
CF,p71p72,2023,663993.7000000001,672809.3,.0086,.0087,.71,.72
CF,p72p73,2023,681408,690834.3,.0088,.0089,.72,.73
CF,p73p74,2023,703653,713852.3,.0091,.0092,.73,.74
CF,p74p75,2023,723837.5,734740.9,.0094,.0095,.74,.75
CF,p75p76,2023,749369,761153.8,.0097,.0098,.75,.76
CF,p76p77,2023,778790.8,791548,.0101,.0102,.76,.77
CF,p77p78,2023,809411.1000000001,823181.7000000001,.0105,.0106,.77,.78
CF,p78p79,2023,839920.7000000001,854706.3,.0109,.0111,.78,.79
CF,p79p80,2023,866291.1000000001,881961.9,.0112,.0114,.79,.8
CF,p7p8,2023,105670.6,28989.1,.0014,.0004,.07,.08
CF,p80p81,2023,895565.4,912224.7000000001,.0116,.0118,.8,.8100000000000001
CF,p81p82,2023,931140.8,948881.4,.012,.0123,.8100000000000001,.82
CF,p82p83,2023,970104.1000000001,989034,.0125,.0128,.82,.83
CF,p83p84,2023,1013234.3,1033493.5,.0131,.0134,.83,.84
CF,p84p85,2023,1056424.4,1078014.8,.0137,.0139,.84,.85
CF,p85p86,2023,1111064.2,1134374,.0144,.0147,.85,.86
CF,p86p87,2023,1181127.2,1206620.9,.0153,.0156,.86,.87
CF,p87p88,2023,1261224.8,1289242.8,.0163,.0167,.87,.88
CF,p88p89,2023,1347558.9,1378322.4,.0174,.0178,.88,.89
CF,p89p90,2023,1434531.4,1468087.1,.0186,.019,.89,.9
CF,p8p9,2023,113299.1,40584.7,.0015,.0005,.08,.09
CF,p90p91,2023,1558745.6,1596351.8,.0202,.0206,.9,.91
CF,p91p92,2023,1689751.7,1730415.1,.0219,.0224,.91,.92
CF,p92p93,2023,1858259.9,1902983.6,.024,.0246,.92,.93
CF,p93p94,2023,2069492.7,2119354,.0268,.0274,.93,.9399999999999999
CF,p94p95,2023,2374148.9,2431674.8,.0307,.0314,.9399999999999999,.95
CF,p95p96,2023,2841560.8,2911117.7,.0367,.0376,.95,.96
CF,p96p97,2023,3478840.6,3559938.7,.045,.046,.96,.97
