country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CG,p0p1,2023,148169.6,0,.0007,0,0,.01
CG,p10p11,2023,320769.3,141514.5,.0014,.0006,.1,.11
CG,p11p12,2023,334675,167244.4,.0015,.0007,.11,.12
CG,p12p13,2023,347888.2,192974.3,.0015,.0008,.12,.13
CG,p13p14,2023,361739.6,218704.3,.0016,.001,.13,.14
CG,p14p15,2023,374192.4,244434.2,.0016,.0011,.14,.15
CG,p15p16,2023,385776,270164.1,.0017,.0012,.15,.16
CG,p16p17,2023,397495.4,295894,.0017,.0013,.16,.17
CG,p17p18,2023,410939.4,321623.9,.0018,.0014,.17,.18
CG,p18p19,2023,424369.8,347353.8,.0019,.0015,.18,.19
CG,p19p20,2023,436890.5,373083.7,.0019,.0016,.19,.2
CG,p1p2,2023,167371.5,0,.0007,0,.01,.02
CG,p20p21,2023,450117.2,385948.7,.002,.0017,.2,.21
CG,p21p22,2023,461103.3,400608.5,.002,.0018,.21,.22
CG,p22p23,2023,473053.6,416205,.0021,.0018,.22,.23
CG,p23p24,2023,483224.8,430024.1,.0021,.0019,.23,.24
CG,p24p25,2023,496030.6,446450.1,.0022,.002,.24,.25
CG,p25p26,2023,508279.6,462310.7,.0022,.002,.25,.26
CG,p26p27,2023,523013.8,479367.8,.0023,.0021,.26,.27
CG,p27p28,2023,537829.4,496481.7,.0024,.0022,.27,.28
CG,p28p29,2023,555591.8,516557.7,.0024,.0023,.28,.29
CG,p29p30,2023,571018.5,534229.3,.0025,.0023,.29,.3
CG,p2p3,2023,191272,0,.0008,0,.02,.03
CG,p30p31,2023,587246.4,552679.7000000001,.0026,.0024,.3,.31
CG,p31p32,2023,604248.3,569747.1,.0027,.0025,.31,.32
CG,p32p33,2023,622961.4,588502.2000000001,.0027,.0026,.32,.33
CG,p33p34,2023,644132.3,609754.1,.0028,.0027,.33,.34
CG,p34p35,2023,663551.5,629211.3,.0029,.0028,.34,.35
CG,p35p36,2023,686352,652075.6000000001,.003,.0029,.35,.36
CG,p36p37,2023,711026.6000000001,676727.3,.0031,.003,.36,.37
CG,p37p38,2023,735008.6000000001,700669.8,.0032,.0031,.37,.38
CG,p38p39,2023,750747.6000000001,716306.7000000001,.0033,.0031,.38,.39
CG,p39p40,2023,774009.9,739510.8,.0034,.0032,.39,.4
CG,p3p4,2023,210840.5,0,.0009,0,.03,.04
CG,p40p41,2023,791745.1000000001,757125.9,.0035,.0033,.4,.41
CG,p41p42,2023,817533.2000000001,783087.6000000001,.0036,.0034,.41,.42
CG,p42p43,2023,845236.1000000001,810966.9,.0037,.0036,.42,.43
CG,p43p44,2023,869516.8,835423,.0038,.0037,.43,.44
CG,p44p45,2023,895019.8,861096.6000000001,.0039,.0038,.44,.45
CG,p45p46,2023,917250,883496.9,.004,.0039,.45,.46
CG,p46p47,2023,936139.5,904381.2000000001,.0041,.004,.46,.47
CG,p47p48,2023,958668.5,928964.1000000001,.0042,.0041,.47,.48
CG,p48p49,2023,980817.2000000001,953151.4,.0043,.0042,.48,.49
CG,p49p50,2023,999937.6000000001,974274.2000000001,.0044,.0043,.49,.5
CG,p4p5,2023,228344.9,0,.001,0,.04,.05
CG,p50p51,2023,1019832,996193.7000000001,.0045,.0044,.5,.51
CG,p51p52,2023,1047439.8,1025931.4,.0046,.0045,.51,.52
CG,p52p53,2023,1073486,1054137,.0047,.0046,.52,.53
CG,p53p54,2023,1099749.4,1082530.5,.0048,.0048,.53,.54
CG,p54p55,2023,1128090.5,1113043.8,.005,.0049,.54,.55
CG,p55p56,2023,1158169.8,1145329.5,.0051,.005,.55,.5600000000000001
CG,p56p57,2023,1192907,1179375.8,.0052,.0052,.5600000000000001,.57
CG,p57p58,2023,1225213.5,1210970.6,.0054,.0053,.57,.58
CG,p58p59,2023,1261892.6,1246998,.0055,.0055,.58,.59
CG,p59p60,2023,1295136,1279547.7,.0057,.0056,.59,.6
CG,p5p6,2023,244722.2,12865,.0011,.0001,.05,.06
CG,p60p61,2023,1326165.9,1309866.7,.0058,.0057,.6,.61
CG,p61p62,2023,1358214.4,1341305.5,.006,.0059,.61,.62
CG,p62p63,2023,1392245.4,1374754,.0061,.006,.62,.63
CG,p63p64,2023,1431260.3,1413241,.0063,.0062,.63,.64
CG,p64p65,2023,1472135.6,1453627,.0065,.0064,.64,.65
CG,p65p66,2023,1518225.6,1499286.8,.0067,.0066,.65,.66
CG,p66p67,2023,1563813.1,1545709.3,.0069,.0068,.66,.67
CG,p67p68,2023,1612116.5,1594890.5,.0071,.007,.67,.68
CG,p68p69,2023,1659252.1,1642962.8,.0073,.0072,.68,.6899999999999999
