country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CH,p0p1,2023,20019.2,0,.0023,0,0,.01
CH,p10p11,2023,40068.3,15074.8,.0046,.0017,.1,.11
CH,p11p12,2023,42670.10000000001,17815.6,.0049,.0021,.11,.12
CH,p12p13,2023,44942.4,20556.5,.0052,.0024,.12,.13
CH,p13p14,2023,45853.4,23297.4,.0053,.0027,.13,.14
CH,p14p15,2023,47505.9,26038.3,.0055,.003,.14,.15
CH,p15p16,2023,48548.9,28779.1,.0056,.0033,.15,.16
CH,p16p17,2023,50165.10000000001,31520,.0058,.0036,.16,.17
CH,p17p18,2023,51523.10000000001,34260.9,.0059,.0039,.17,.18
CH,p18p19,2023,53089.2,37001.7,.0061,.0043,.18,.19
CH,p19p20,2023,54707.5,39742.60000000001,.0063,.0046,.19,.2
CH,p1p2,2023,22312.6,0,.0026,0,.01,.02
CH,p20p21,2023,56103.3,41113,.0065,.0047,.2,.21
CH,p21p22,2023,57515.7,42430.3,.0066,.0049,.21,.22
CH,p22p23,2023,58981.9,43806.5,.0068,.005,.22,.23
CH,p23p24,2023,60036.3,44772.7,.0069,.0052,.23,.24
CH,p24p25,2023,60995.4,45646.8,.007,.0053,.24,.25
CH,p25p26,2023,61972.2,46545,.0071,.0054,.25,.26
CH,p26p27,2023,62935,47690.2,.0073,.0055,.26,.27
CH,p27p28,2023,63731.8,48674.3,.0073,.0056,.27,.28
CH,p28p29,2023,64360.3,49493.5,.0074,.0057,.28,.29
CH,p29p30,2023,65062.9,50393.60000000001,.0075,.0058,.29,.3
CH,p2p3,2023,24283.2,0,.0028,0,.02,.03
CH,p30p31,2023,65865.90000000001,51399.8,.0076,.0059,.3,.31
CH,p31p32,2023,66780,52557,.0077,.0061,.31,.32
CH,p32p33,2023,67795.60000000001,53825.2,.0078,.0062,.32,.33
CH,p33p34,2023,68578.90000000001,54863.4,.0079,.0063,.33,.34
CH,p34p35,2023,69272.10000000001,55816.60000000001,.008,.0064,.34,.35
CH,p35p36,2023,70000.10000000001,56810.7,.0081,.0065,.35,.36
CH,p36p37,2023,70619.90000000001,57656.9,.0081,.0066,.36,.37
CH,p37p38,2023,71397.40000000001,58669,.0082,.0068,.37,.38
CH,p38p39,2023,72377.3,59892.3,.0083,.0069,.38,.39
CH,p39p40,2023,73229.90000000001,60991.4,.0084,.007,.39,.4
CH,p3p4,2023,24854.4,0,.0029,0,.03,.04
CH,p40p41,2023,74102.7,62115.60000000001,.0085,.0072,.4,.41
CH,p41p42,2023,74845.60000000001,63134.8,.0086,.0073,.41,.42
CH,p42p43,2023,75681.7,64255,.0087,.0074,.42,.43
CH,p43p44,2023,76387.90000000001,65246.2,.0088,.0075,.43,.44
CH,p44p45,2023,77253.90000000001,66407.40000000001,.0089,.0077,.44,.45
CH,p45p46,2023,77950.3,67397.5,.009,.0078,.45,.46
CH,p46p47,2023,78576.3,68248.7,.0091,.0079,.46,.47
CH,p47p48,2023,79399.90000000001,69309.90000000001,.0091,.008,.47,.48
CH,p48p49,2023,80455.3,70617.10000000001,.0093,.0081,.48,.49
CH,p49p50,2023,81085.5,71484.2,.0093,.0082,.49,.5
CH,p4p5,2023,26865.4,0,.0031,0,.04,.05
CH,p50p51,2023,81676.3,72315.40000000001,.0094,.0083,.5,.51
CH,p51p52,2023,82456,73363.60000000001,.0095,.0085,.51,.52
CH,p52p53,2023,82841.40000000001,74001.7,.0095,.0085,.52,.53
CH,p53p54,2023,83269.8,74688.8,.0096,.0086,.53,.54
CH,p54p55,2023,84047.90000000001,75749,.0097,.0087,.54,.55
CH,p55p56,2023,84922.70000000001,76917.2,.0098,.0089,.55,.5600000000000001
CH,p56p57,2023,85382.10000000001,77846.3,.0098,.009,.5600000000000001,.57
CH,p57p58,2023,85981.20000000001,78928.5,.0099,.0091,.57,.58
CH,p58p59,2023,86782.10000000001,80232.70000000001,.01,.0092,.58,.59
CH,p59p60,2023,87501.8,81456.90000000001,.0101,.0094,.59,.6
CH,p5p6,2023,28900.1,1370.4,.0033,.0002,.05,.06
CH,p60p61,2023,88304.20000000001,82776.20000000001,.0102,.0095,.6,.61
CH,p61p62,2023,89124.70000000001,84146.40000000001,.0103,.0097,.61,.62
CH,p62p63,2023,89592.40000000001,85144.60000000001,.0103,.0098,.62,.63
CH,p63p64,2023,90146.5,86241.8,.0104,.0099,.63,.64
CH,p64p65,2023,90642.60000000001,87282.90000000001,.0104,.0101,.64,.65
CH,p65p66,2023,91231.40000000001,88433.10000000001,.0105,.0102,.65,.66
CH,p66p67,2023,92000.70000000001,89636.3,.0106,.0103,.66,.67
CH,p67p68,2023,92660.3,90727.5,.0107,.0105,.67,.68
CH,p68p69,2023,93597.5,92131.8,.0108,.0106,.68,.6899999999999999
CH,p69p70,2023,94579.20000000001,93594,.0109,.0108,.6899999999999999,.7
CH,p6p7,2023,31143.9,4111.3,.0036,.0005,.06,.07
CH,p70p71,2023,95320.3,94800.20000000001,.011,.0109,.7,.71
CH,p71p72,2023,96305.90000000001,96342.5,.0111,.0111,.71,.72
CH,p72p73,2023,97212.3,97809.70000000001,.0112,.0113,.72,.73
CH,p73p74,2023,98327.70000000001,99523,.0113,.0115,.73,.74
CH,p74p75,2023,99263.10000000001,101050.3,.0114,.0116,.74,.75
CH,p75p76,2023,100262.9,102664.6,.0116,.0118,.75,.76
CH,p76p77,2023,100946.3,104101.8,.0116,.012,.76,.77
CH,p77p78,2023,102059.7,106045.2,.0118,.0122,.77,.78
CH,p78p79,2023,103251.9,108102.5,.0119,.0125,.78,.79
