country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CI,p0p1,2023,131672.1,0,.0004,0,0,.01
CI,p10p11,2023,624518.1,324252.5,.0021,.0011,.1,.11
CI,p11p12,2023,656071.5,383207.5,.0022,.0013,.11,.12
CI,p12p13,2023,689068.8,442162.5,.0023,.0015,.12,.13
CI,p13p14,2023,716713.3,501117.5,.0024,.0017,.13,.14
CI,p14p15,2023,745960,560072.6,.0025,.0019,.14,.15
CI,p15p16,2023,772583.2000000001,619027.5,.0026,.0021,.15,.16
CI,p16p17,2023,800157.2000000001,677982.5,.0027,.0023,.16,.17
CI,p17p18,2023,828840.6000000001,736937.6000000001,.0028,.0025,.17,.18
CI,p18p19,2023,857453.5,795892.6000000001,.0029,.0027,.18,.19
CI,p19p20,2023,883337.1000000001,854847.5,.003,.0029,.19,.2
CI,p1p2,2023,200219.8,0,.0007,0,.01,.02
CI,p20p21,2023,910066,884325.1000000001,.0031,.003,.2,.21
CI,p21p22,2023,935932,910593.3,.0032,.0031,.21,.22
CI,p22p23,2023,964474.5,939528.9,.0033,.0032,.22,.23
CI,p23p24,2023,994108.6000000001,969541.3,.0034,.0033,.23,.24
CI,p24p25,2023,1021770.7,997530.8,.0035,.0034,.24,.25
CI,p25p26,2023,1048552.3,1024618.7,.0035,.0035,.25,.26
CI,p26p27,2023,1075756.6,1051632.9,.0036,.0036,.26,.27
CI,p27p28,2023,1101288.1,1076947.6,.0037,.0036,.27,.28
CI,p28p29,2023,1130394,1105794,.0038,.0037,.28,.29
CI,p29p30,2023,1156207.2,1131298,.0039,.0038,.29,.3
CI,p2p3,2023,274190.7,0,.0009,0,.02,.03
CI,p30p31,2023,1181932.4,1156644.1,.004,.0039,.3,.31
CI,p31p32,2023,1208256.3,1182900.5,.0041,.004,.31,.32
CI,p32p33,2023,1236992.4,1211531.7,.0042,.0041,.32,.33
CI,p33p34,2023,1264777.7,1239196.3,.0043,.0042,.33,.34
CI,p34p35,2023,1291823.5,1266100.1,.0044,.0043,.34,.35
CI,p35p36,2023,1315189.2,1289323.2,.0045,.0044,.35,.36
CI,p36p37,2023,1341301.8,1316026.8,.0045,.0045,.36,.37
CI,p37p38,2023,1370900.7,1346203.7,.0046,.0046,.37,.38
CI,p38p39,2023,1401327.3,1377207,.0047,.0047,.38,.39
CI,p39p40,2023,1427246.1,1403689.8,.0048,.0048,.39,.4
CI,p3p4,2023,332437.8,0,.0011,0,.03,.04
CI,p40p41,2023,1455454,1432435.7,.0049,.0048,.4,.41
CI,p41p42,2023,1486831.4,1464814.3,.005,.005,.41,.42
CI,p42p43,2023,1514528.6,1493545.2,.0051,.0051,.42,.43
CI,p43p44,2023,1543229.6,1523282.6,.0052,.0052,.43,.44
CI,p44p45,2023,1576279.7,1557369.4,.0053,.0053,.44,.45
CI,p45p46,2023,1608995.2,1591153.6,.0054,.0054,.45,.46
CI,p46p47,2023,1647292.5,1628912.9,.0056,.0055,.46,.47
CI,p47p48,2023,1682156.2,1663239.4,.0057,.0056,.47,.48
CI,p48p49,2023,1715928.2,1696469.8,.0058,.0057,.48,.49
CI,p49p50,2023,1750809.5,1730817.5,.0059,.0059,.49,.5
CI,p4p5,2023,382321,0,.0013,0,.04,.05
CI,p50p51,2023,1781500.1,1760930.8,.006,.006,.5,.51
CI,p51p52,2023,1817772.4,1796726.2,.0062,.0061,.51,.52
CI,p52p53,2023,1853692.6,1832147.5,.0063,.0062,.52,.53
CI,p53p54,2023,1891761,1869787.3,.0064,.0063,.53,.54
CI,p54p55,2023,1925656.2,1903217.8,.0065,.0064,.54,.55
CI,p55p56,2023,1965679.1,1942868.1,.0067,.0066,.55,.5600000000000001
CI,p56p57,2023,2005525.8,1983979.6,.0068,.0067,.5600000000000001,.57
CI,p57p58,2023,2047714.4,2027494.8,.0069,.0069,.57,.58
CI,p58p59,2023,2090448.9,2071631.2,.0071,.007,.58,.59
CI,p59p60,2023,2131545.8,2114166.3,.0072,.0072,.59,.6
CI,p5p6,2023,427819.9,29477.5,.0014,.0001,.05,.06
CI,p60p61,2023,2176516.4,2160678.7,.0074,.0073,.6,.61
CI,p61p62,2023,2221821.7,2207764.3,.0075,.0075,.61,.62
CI,p62p63,2023,2267197.3,2255012.9,.0077,.0076,.62,.63
CI,p63p64,2023,2315830.4,2305639.9,.0078,.0078,.63,.64
