country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CL,p0p1,2023,1256286.9,579.7,.0008,0,0,.01
CL,p10p11,2023,2217778.2,10628.5,.0014,0,.1,.11
CL,p11p12,2023,2452377.9,11691.3,.0015,0,.11,.12
CL,p12p13,2023,2706398.6,12657.6,.0017,0,.12,.13
CL,p13p14,2023,2981676.4,13623.8,.0018,0,.13,.14
CL,p14p15,2023,3260335.9,14686.6,.002,0,.14,.15
CL,p15p16,2023,3427879.5,15749.5,.0021,0,.15,.16
CL,p16p17,2023,3505177.6,154692.7,.0022,.0001,.16,.17
CL,p17p18,2023,3534164.3,765733.9,.0022,.0005,.17,.18
CL,p18p19,2023,3637357.3,1183336.6,.0022,.0007,.18,.19
CL,p19p20,2023,3686924.6,1466344.1,.0023,.0009,.19,.2
CL,p1p2,2023,1312617.8,1546,.0008,0,.01,.02
CL,p20p21,2023,3759971.3,1726548.7,.0023,.0011,.2,.21
CL,p21p22,2023,3862681.1,1946751.5,.0024,.0012,.21,.22
CL,p22p23,2023,3976309.3,2143185.2,.0025,.0013,.22,.23
CL,p23p24,2023,4165689.6,2438850.3,.0026,.0015,.23,.24
CL,p24p25,2023,4323860.7,2643110.4,.0027,.0016,.24,.25
CL,p25p26,2023,4425700.9,2763598.7,.0027,.0017,.25,.26
CL,p26p27,2023,4584741.7,2991531.4,.0028,.0018,.26,.27
CL,p27p28,2023,4771223.3,3250962.9,.0029,.002,.27,.28
CL,p28p29,2023,4847748.4,3365653.9,.003,.0021,.28,.29
CL,p29p30,2023,4911036.2,3382659.5,.003,.0021,.29,.3
CL,p2p3,2023,1368948.8,2512.2,.0008,0,.02,.03
CL,p30p31,2023,5029495.5,3513100,.0031,.0022,.3,.31
CL,p31p32,2023,5154815,3670015,.0032,.0023,.31,.32
CL,p32p33,2023,5255882.2,3793788.5,.0032,.0023,.32,.33
CL,p33p34,2023,5404487.7,3966646.3,.0033,.0024,.33,.34
CL,p34p35,2023,5539083,4114382.2,.0034,.0025,.34,.35
CL,p35p36,2023,5656962.5,4248204.5,.0035,.0026,.35,.36
CL,p36p37,2023,5822766.9,4468214.100000001,.0036,.0028,.36,.37
CL,p37p38,2023,5957941.9,4677595.2,.0037,.0029,.37,.38
CL,p38p39,2023,6098141.300000001,4864753.100000001,.0038,.003,.38,.39
CL,p39p40,2023,6241529.2,5052104.300000001,.0039,.0031,.39,.4
CL,p3p4,2023,1423830.4,3575,.0009,0,.03,.04
CL,p40p41,2023,6358056,5182061.600000001,.0039,.0032,.4,.41
CL,p41p42,2023,6520671.800000001,5356851.800000001,.004,.0033,.41,.42
CL,p42p43,2023,6625604,5494635.600000001,.0041,.0034,.42,.43
CL,p43p44,2023,6740295,5667396.800000001,.0042,.0035,.43,.44
CL,p44p45,2023,6923201.5,5889242.2,.0043,.0036,.44,.45
CL,p45p46,2023,7030935.7,6030601,.0043,.0037,.45,.46
CL,p46p47,2023,7205822.600000001,6277761.5,.0044,.0039,.46,.47
CL,p47p48,2023,7388729.2,6539995.2,.0046,.004,.47,.48
CL,p48p49,2023,7490376.100000001,6716814.5,.0046,.0041,.48,.49
CL,p49p50,2023,7536851.600000001,6747540.5,.0046,.0042,.49,.5
CL,p4p5,2023,1485379,4541.3,.0009,0,.04,.05
CL,p50p51,2023,7553374,6761067.600000001,.0047,.0042,.5,.51
CL,p51p52,2023,7641204,6867835.600000001,.0047,.0042,.51,.52
CL,p52p53,2023,7789036.5,7032287.2,.0048,.0043,.52,.53
CL,p53p54,2023,7956966.600000001,7229204,.0049,.0045,.53,.54
CL,p54p55,2023,8169343,7461194.800000001,.005,.0046,.54,.55
CL,p55p56,2023,8290604.4,7592987.9,.0051,.0047,.55,.5600000000000001
CL,p56p57,2023,8379690.4,7724394.600000001,.0052,.0048,.5600000000000001,.57
CL,p57p58,2023,8582501.200000001,7964018.600000001,.0053,.0049,.57,.58
CL,p58p59,2023,8787920.800000001,8186250.5,.0054,.005,.58,.59
CL,p59p60,2023,8975175.4,8416308.9,.0055,.0052,.59,.6
CL,p5p6,2023,1552821.6,5604.1,.001,0,.05,.06
CL,p60p61,2023,9057884.300000001,8499404.300000001,.0056,.0052,.6,.61
CL,p61p62,2023,9270647.300000001,8731298.4,.0057,.0054,.61,.62
CL,p62p63,2023,9499159.700000001,8972661.6,.0059,.0055,.62,.63
CL,p63p64,2023,9747576.300000001,9248325.800000001,.006,.0057,.63,.64
CL,p64p65,2023,9954638.6,9461281.9,.0061,.0058,.64,.65
CL,p65p66,2023,10175807.6,9744675.9,.0063,.006,.65,.66
CL,p66p67,2023,10437654.9,10065366.2,.0064,.0062,.66,.67
CL,p67p68,2023,10655828.7,10258708,.0066,.0063,.67,.68
CL,p68p69,2023,10998452.3,10613023,.0068,.0065,.68,.6899999999999999
CL,p69p70,2023,11290832.3,10934776.1,.007,.0067,.6899999999999999,.7
CL,p6p7,2023,1620070.9,6570.3,.001,0,.06,.07
CL,p70p71,2023,11576448.7,11257978.6,.0071,.0069,.7,.71
CL,p71p72,2023,11966127.5,11686016.6,.0074,.0072,.71,.72
CL,p72p73,2023,12272324.5,12046805.3,.0076,.0074,.72,.73
CL,p73p74,2023,12637364.7,12515134.8,.0078,.0077,.73,.74
CL,p74p75,2023,13003854.1,12982884.7,.008,.008,.74,.75
CL,p75p76,2023,13430442.8,13513439.2,.0083,.0083,.75,.76
CL,p76p77,2023,13708426,13832390.3,.0085,.0085,.76,.77
CL,p77p78,2023,14238400.9,14428841.4,.0088,.0089,.77,.78
CL,p78p79,2023,14682768.2,15043747.5,.0091,.0093,.78,.79
CL,p79p80,2023,15128874.7,15600003.6,.0093,.0096,.79,.8
CL,p7p8,2023,1721138.1,7536.6,.0011,0,.07,.08
CL,p80p81,2023,15613533.5,16327764.8,.0096,.0101,.8,.8100000000000001
CL,p81p82,2023,16270373.9,17191473.9,.01,.0106,.8100000000000001,.82
CL,p82p83,2023,16997845.3,18036341.7,.0105,.0111,.82,.83
CL,p83p84,2023,17933635.1,19210595.7,.0111,.0119,.83,.84
CL,p84p85,2023,19086149.3,20579351.1,.0118,.0127,.84,.85
CL,p85p86,2023,20424758.6,21992649.4,.0126,.0136,.85,.86
CL,p86p87,2023,21826559.1,23606536.1,.0135,.0146,.86,.87
CL,p87p88,2023,23575717.8,25425262.7,.0145,.0157,.87,.88
CL,p88p89,2023,25521600,27511633.9,.0157,.017,.88,.89
CL,p89p90,2023,27825565.6,29859369.1,.0172,.0184,.89,.9
CL,p8p9,2023,1850419.1,8599.4,.0011,0,.08,.09
CL,p90p91,2023,30713421.4,32213094.8,.0189,.0199,.9,.91
CL,p91p92,2023,34166422.8,34566820.6,.0211,.0213,.91,.92
CL,p92p93,2023,38709278.6,36920546.4,.0239,.0228,.92,.93
CL,p93p94,2023,44383681.5,39274272.2,.0274,.0242,.93,.9399999999999999
CL,p94p95,2023,51066969.2,41627997.90000001,.0315,.0257,.9399999999999999,.95
CL,p95p96,2023,62056725.5,53228358.6,.0383,.0328,.95,.96
CL,p96p97,2023,77137240.5,75388648.10000001,.0476,.0465,.96,.97
CL,p97p98,2023,88469427.30000001,89487523.5,.0546,.0552,.97,.98
CL,p98p99,2023,127644016.1,128325931.2,.0787,.0792,.98,.99
CL,p99.1p99.2,2023,173555904.6,201299111.8,.0107,.0124,.991,.992
CL,p99.2p99.3,2023,187918852,212693086.6,.0116,.0131,.992,.993
CL,p99.3p99.4,2023,207748705.4,224087061.5,.0128,.0138,.993,.9940000000000001
CL,p99.4p99.5,2023,231555061.2,235481277.9,.0143,.0145,.9940000000000001,.995
CL,p99.5p99.6,2023,264870045.8,246875252.8,.0163,.0152,.995,.996
CL,p99.6p99.7,2023,306785286,258269227.6,.0189,.0159,.996,.997
CL,p99.7p99.8,2023,329305353.6,269663444.1,.0203,.0166,.997,.998
CL,p99.8p99.9,2023,341553111.9,281057177.4,.0211,.0173,.998,.9990000000000001
CL,p99.9p100,2023,1086204782.7,2210538858.2,.067,.1364,.9990000000000001,1
CL,p99p99.1,2023,161958778.7,189905378.5,.01,.0117,.99,.991
CL,p9p10,2023,2017866.1,9662.300000000001,.0012,0,.09,.1
