country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CM,p0p1,2023,55806.5,0,.0003,0,0,.01
CM,p10p11,2023,304598.8,171646.4,.0014,.0008,.1,.11
CM,p11p12,2023,323167.3,202854.9,.0015,.001,.11,.12
CM,p12p13,2023,341937.9,234063.3,.0016,.0011,.12,.13
CM,p13p14,2023,359533.7,265271.7,.0017,.0013,.13,.14
CM,p14p15,2023,376864.3,296480.2,.0018,.0014,.14,.15
CM,p15p16,2023,393108.6,327688.6,.0019,.0015,.15,.16
CM,p16p17,2023,409794.9,358897.1,.0019,.0017,.16,.17
CM,p17p18,2023,426986.6,390105.5,.002,.0018,.17,.18
CM,p18p19,2023,443849.8,421313.9,.0021,.002,.18,.19
CM,p19p20,2023,462696.1,452522.4,.0022,.0021,.19,.2
CM,p1p2,2023,88345.5,0,.0004,0,.01,.02
CM,p20p21,2023,479761.5,468126.6,.0023,.0022,.2,.21
CM,p21p22,2023,494603.6,482960,.0023,.0023,.21,.22
CM,p22p23,2023,510039.5,498405.6,.0024,.0024,.22,.23
CM,p23p24,2023,526397.4,514724.8,.0025,.0024,.23,.24
CM,p24p25,2023,545054.3,533326.2000000001,.0026,.0025,.24,.25
CM,p25p26,2023,564469.1,552684,.0027,.0026,.25,.26
CM,p26p27,2023,583593.4,571694.7000000001,.0028,.0027,.26,.27
CM,p27p28,2023,601959.7000000001,589920.2000000001,.0028,.0028,.27,.28
CM,p28p29,2023,621930.3,609738.7000000001,.0029,.0029,.28,.29
CM,p29p30,2023,642204.1000000001,629845,.003,.003,.29,.3
CM,p2p3,2023,123335.1,0,.0006,0,.02,.03
CM,p30p31,2023,661378.9,648812.9,.0031,.0031,.3,.31
CM,p31p32,2023,676094.7000000001,663569.9,.0032,.0031,.31,.32
CM,p32p33,2023,697707.4,685166.7000000001,.0033,.0032,.32,.33
CM,p33p34,2023,721202.2000000001,708662.5,.0034,.0033,.33,.34
CM,p34p35,2023,743244.4,730696.5,.0035,.0034,.34,.35
CM,p35p36,2023,763796,751229.1000000001,.0036,.0035,.35,.36
CM,p36p37,2023,785522.4,772979.1000000001,.0037,.0036,.36,.37
CM,p37p38,2023,811935.1000000001,799386.6000000001,.0038,.0038,.37,.38
CM,p38p39,2023,839611,827041.1000000001,.004,.0039,.38,.39
CM,p39p40,2023,866440.5,853842.9,.0041,.004,.39,.4
CM,p3p4,2023,151402.6,0,.0007,0,.03,.04
CM,p40p41,2023,888735.3,876122.1000000001,.0042,.0041,.4,.41
CM,p41p42,2023,909198.6000000001,896871,.0043,.0042,.41,.42
