country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CN,p0p1,2023,6348,0,.0007,0,0,.01
CN,p10p11,2023,12221.2,6582.6,.0013,.0007,.1,.11
CN,p11p12,2023,12954.8,7779.400000000001,.0014,.0008,.11,.12
CN,p12p13,2023,13718.6,8976.200000000001,.0015,.001,.12,.13
CN,p13p14,2023,14513.6,10173,.0016,.0011,.13,.14
CN,p14p15,2023,15339.8,11369.9,.0017,.0012,.14,.15
CN,p15p16,2023,16197.4,12566.7,.0018,.0014,.15,.16
CN,p16p17,2023,17189.7,13763.5,.0019,.0015,.16,.17
CN,p17p18,2023,18215,14960.4,.002,.0016,.17,.18
CN,p18p19,2023,19273.8,16157.2,.0021,.0018,.18,.19
CN,p19p20,2023,20366.5,17354,.0022,.0019,.19,.2
CN,p1p2,2023,6701.700000000001,0,.0007,0,.01,.02
CN,p20p21,2023,21493.2,17952.4,.0023,.002,.2,.21
CN,p21p22,2023,22577.2,19068.2,.0025,.0021,.21,.22
CN,p22p23,2023,23686.3,20206.5,.0026,.0022,.22,.23
CN,p23p24,2023,24821.3,21367.4,.0027,.0023,.23,.24
CN,p24p25,2023,25981.5,22550.6,.0028,.0025,.24,.25
CN,p25p26,2023,27166.8,23756.1,.003,.0026,.25,.26
CN,p26p27,2023,28392.8,24983.6,.0031,.0027,.26,.27
CN,p27p28,2023,29642.9,26232.9,.0032,.0029,.27,.28
CN,p28p29,2023,30918.2,27503.6,.0034,.003,.28,.29
CN,p29p30,2023,32219.8,28795.5,.0035,.0031,.29,.3
CN,p2p3,2023,7101.900000000001,0,.0008,0,.02,.03
CN,p30p31,2023,33545,30108.2,.0036,.0033,.3,.31
CN,p31p32,2023,34880.6,31441.3,.0038,.0034,.31,.32
CN,p32p33,2023,36237.1,32794.5,.0039,.0036,.32,.33
CN,p33p34,2023,37616,34167.1,.0041,.0037,.33,.34
CN,p34p35,2023,39014.7,35558.7,.0042,.0039,.34,.35
CN,p35p36,2023,40434.7,36968.8,.0044,.004,.35,.36
CN,p36p37,2023,41788.4,38396.7,.0045,.0042,.36,.37
CN,p37p38,2023,43160.8,39841.9,.0047,.0043,.37,.38
CN,p38p39,2023,44551.8,41303.7,.0048,.0045,.38,.39
CN,p39p40,2023,45962,42781.4,.005,.0047,.39,.4
CN,p3p4,2023,7550.400000000001,0,.0008,0,.03,.04
CN,p40p41,2023,47388.60000000001,44274.3,.0052,.0048,.4,.41
CN,p41p42,2023,48808.60000000001,45781.7,.0053,.005,.41,.42
CN,p42p43,2023,50243.5,47302.8,.0055,.0051,.42,.43
CN,p43p44,2023,51692.60000000001,48837,.0056,.0053,.43,.44
CN,p44p45,2023,53153.8,50383.5,.0058,.0055,.44,.45
CN,p45p46,2023,54628.10000000001,51941.60000000001,.0059,.0056,.45,.46
CN,p46p47,2023,56161.10000000001,53510.7,.0061,.0058,.46,.47
CN,p47p48,2023,57705.10000000001,55090.2,.0063,.006,.47,.48
