country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CO,p0p1,2023,2854578.3,1120.7,.0008,0,0,.01
CO,p10p11,2023,3583239.9,18603.2,.001,0,.1,.11
CO,p11p12,2023,3893890.4,20620.4,.001,0,.11,.12
CO,p12p13,2023,4250712.7,22189.3,.0011,0,.12,.13
CO,p13p14,2023,4643844.8,23982.4,.0012,0,.13,.14
CO,p14p15,2023,5130889.300000001,25775.5,.0014,0,.14,.15
CO,p15p16,2023,5453643.100000001,27568.6,.0015,0,.15,.16
CO,p16p17,2023,5783345.100000001,29361.6,.0015,0,.16,.17
CO,p17p18,2023,6024962.2,303254.1,.0016,.0001,.17,.18
CO,p18p19,2023,6726279.4,1482201.9,.0018,.0004,.18,.19
CO,p19p20,2023,7140928.4,2155053.8,.0019,.0006,.19,.2
CO,p1p2,2023,2927646.2,2689.6,.0008,0,.01,.02
CO,p20p21,2023,7555129.2,2794061.4,.002,.0007,.2,.21
CO,p21p22,2023,7915313.5,3308674.4,.0021,.0009,.21,.22
CO,p22p23,2023,8264963.4,3791012,.0022,.001,.22,.23
CO,p23p24,2023,8676922.800000001,4351572.5,.0023,.0012,.23,.24
CO,p24p25,2023,8877747.4,4527966.4,.0024,.0012,.24,.25
CO,p25p26,2023,9295310.200000001,5118561,.0025,.0014,.25,.26
CO,p26p27,2023,9645632.6,5478072.800000001,.0026,.0015,.26,.27
CO,p27p28,2023,9862370.700000001,5732913.800000001,.0026,.0015,.27,.28
CO,p28p29,2023,10324984.6,6356904.4,.0027,.0017,.28,.29
CO,p29p30,2023,10545084.7,6568263.300000001,.0028,.0017,.29,.3
CO,p2p3,2023,2977852.3,4482.7,.0008,0,.02,.03
CO,p30p31,2023,10658496.8,6646486.300000001,.0028,.0018,.3,.31
CO,p31p32,2023,11016888.1,7058221.5,.0029,.0019,.31,.32
CO,p32p33,2023,11343003.9,7392630.2,.003,.002,.32,.33
CO,p33p34,2023,11598741.5,7648816,.0031,.002,.33,.34
CO,p34p35,2023,11806290.1,7820503.100000001,.0031,.0021,.34,.35
CO,p35p36,2023,12146974.7,8186290.7,.0032,.0022,.35,.36
CO,p36p37,2023,12595243.9,8626939.300000001,.0033,.0023,.36,.37
CO,p37p38,2023,12775672.3,8798850.5,.0034,.0023,.37,.38
CO,p38p39,2023,13019979,9033295.200000001,.0035,.0024,.38,.39
CO,p39p40,2023,13443817.5,9498150.300000001,.0036,.0025,.39,.4
CO,p3p4,2023,2995559,6051.6,.0008,0,.03,.04
CO,p40p41,2023,13753123.3,9796921.700000001,.0037,.0026,.4,.41
CO,p41p42,2023,14040015.6,10096813.7,.0037,.0027,.41,.42
CO,p42p43,2023,14668489,10729769.7,.0039,.0029,.42,.43
CO,p43p44,2023,15017914.8,10976990.2,.004,.0029,.43,.44
CO,p44p45,2023,15146119.8,11036385.8,.004,.0029,.44,.45
CO,p45p46,2023,15623078.3,11617118.5,.0042,.0031,.45,.46
CO,p46p47,2023,16165932.3,12203006.2,.0043,.0032,.46,.47
CO,p47p48,2023,16588650.1,12713136.5,.0044,.0034,.47,.48
CO,p48p49,2023,16954886.1,13110078.8,.0045,.0035,.48,.49
CO,p49p50,2023,17103711.4,13203318.8,.0045,.0035,.49,.5
CO,p4p5,2023,3005420.9,8068.8,.0008,0,.04,.05
CO,p50p51,2023,17460982,13576951.1,.0046,.0036,.5,.51
CO,p51p52,2023,17938612.8,14115546.4,.0048,.0038,.51,.52
CO,p52p53,2023,18177540.3,14337215.5,.0048,.0038,.52,.53
CO,p53p54,2023,18535483.3,14746036.9,.0049,.0039,.53,.54
CO,p54p55,2023,18911805.3,15092324.8,.005,.004,.54,.55
CO,p55p56,2023,19145801.8,15301442.4,.0051,.0041,.55,.5600000000000001
CO,p56p57,2023,19236576.3,15515042.6,.0051,.0041,.5600000000000001,.57
CO,p57p58,2023,19597881.3,15894726.6,.0052,.0042,.57,.58
CO,p58p59,2023,20077081.1,16366305.7,.0053,.0044,.58,.59
CO,p59p60,2023,20362404.4,16656559.9,.0054,.0044,.59,.6
CO,p5p6,2023,3028955,9861.900000000001,.0008,0,.05,.06
CO,p60p61,2023,20939102.8,17271585.2,.0056,.0046,.6,.61
CO,p61p62,2023,21308924.8,17642079.6,.0057,.0047,.61,.62
CO,p62p63,2023,21882485.3,18241639.6,.0058,.0049,.62,.63
CO,p63p64,2023,22612043.4,18918974.2,.006,.005,.63,.64
CO,p64p65,2023,23015485.7,19298882.3,.0061,.0051,.64,.65
CO,p65p66,2023,23364911.5,19698514.2,.0062,.0052,.65,.66
CO,p66p67,2023,23983747.2,20276557.2,.0064,.0054,.66,.67
CO,p67p68,2023,25066541.4,21252439.1,.0067,.0057,.67,.68
CO,p68p69,2023,25786013.5,21968324.9,.0069,.0058,.68,.6899999999999999
CO,p69p70,2023,26332677.8,22419956.1,.007,.006,.6899999999999999,.7
CO,p6p7,2023,3075799.1,11430.9,.0008,0,.06,.07
CO,p70p71,2023,27451557.7,23625575.9,.0073,.0063,.7,.71
CO,p71p72,2023,28727556,24867505.5,.0076,.0066,.71,.72
CO,p72p73,2023,30045467.5,26127365.8,.008,.0069,.72,.73
CO,p73p74,2023,31090383,27142919.5,.0083,.0072,.73,.74
CO,p74p75,2023,32701910.8,28715671.8,.0087,.0076,.74,.75
CO,p75p76,2023,34450608.9,30430301.1,.0092,.0081,.75,.76
CO,p76p77,2023,36584818.6,32517442.2,.0097,.0086,.76,.77
CO,p77p78,2023,38145916.1,34014885.2,.0101,.009,.77,.78
CO,p78p79,2023,40559621.6,36390487.4,.0108,.0097,.78,.79
CO,p79p80,2023,43110721.7,38858881.3,.0115,.0103,.79,.8
CO,p7p8,2023,3141022.3,13448.1,.0008,0,.07,.08
CO,p80p81,2023,46126004.5,41769492.8,.0123,.0111,.8,.8100000000000001
CO,p81p82,2023,48926342.2,44548761.3,.013,.0118,.8100000000000001,.82
CO,p82p83,2023,52544771.2,48025088.40000001,.014,.0128,.82,.83
CO,p83p84,2023,56767467.1,52085958.3,.0151,.0139,.83,.84
CO,p84p85,2023,61032972.7,56303274.3,.0162,.015,.84,.85
CO,p85p86,2023,66215188.8,61290940.7,.0176,.0163,.85,.86
CO,p86p87,2023,71184701.2,66305503.2,.0189,.0176,.86,.87
CO,p87p88,2023,77121130.3,72176708,.0205,.0192,.87,.88
CO,p88p89,2023,83584051.5,78860176.5,.0222,.021,.88,.89
CO,p89p90,2023,91060285.30000001,85439198.30000001,.0242,.0227,.89,.9
CO,p8p9,2023,3215210.9,15017,.0009,0,.08,.09
CO,p90p91,2023,98668422.2,89970750.90000001,.0262,.0239,.9,.91
CO,p91p92,2023,105675654.4,93411440.5,.0281,.0248,.91,.92
CO,p92p93,2023,114255526.9,97644221.7,.0304,.026,.92,.93
CO,p93p94,2023,125873207.8,106013742.5,.0335,.0282,.93,.9399999999999999
CO,p94p95,2023,136020565.7,123989894.6,.0362,.033,.9399999999999999,.95
CO,p95p96,2023,160525537.9,158321145.8,.0427,.0421,.95,.96
CO,p96p97,2023,204208811.4,205040538.2,.0543,.0545,.96,.97
CO,p97p98,2023,214447728.3,227269195.4,.057,.0604,.97,.98
CO,p98p99,2023,261689586.8,307925082,.0696,.0819,.98,.99
CO,p99.1p99.2,2023,309000647,429272037.9,.0082,.0114,.991,.992
CO,p99.2p99.3,2023,321588886.7,446286652.8,.0086,.0119,.992,.993
CO,p99.3p99.4,2023,341888197.2,463301828.1,.0091,.0123,.993,.9940000000000001
CO,p99.4p99.5,2023,369019690.8,480315882.7,.0098,.0128,.9940000000000001,.995
CO,p99.5p99.6,2023,408735781.8,497331057.9,.0109,.0132,.995,.996
CO,p99.6p99.7,2023,462748578.6,514345672.8,.0123,.0137,.996,.997
CO,p99.7p99.8,2023,585977222.3000001,625479713.3000001,.0156,.0166,.997,.998
CO,p99.8p99.9,2023,594491465.4,841198582.3000001,.0158,.0224,.998,.9990000000000001
CO,p99.9p100,2023,986520674.3000001,3732826641.4,.0262,.0993,.9990000000000001,1
CO,p99p99.1,2023,302108788.2,412257983.4,.008,.011,.99,.991
CO,p9p10,2023,3329519.5,17034.2,.0009,0,.09,.1
