country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CR,p0p1,2023,792831.1000000001,453.6,.0007,0,0,.01
CR,p10p11,2023,970463.1000000001,10044.9,.0009,0,.1,.11
CR,p11p12,2023,1053543.8,11016.9,.001,0,.11,.12
CR,p12p13,2023,1197023.3,11989,.0011,0,.12,.13
CR,p13p14,2023,1327023.2,12961.1,.0012,0,.13,.14
CR,p14p15,2023,1416973.3,13933.2,.0013,0,.14,.15
CR,p15p16,2023,1489749.9,14840.5,.0014,0,.15,.16
CR,p16p17,2023,1565313.2,15812.6,.0014,0,.16,.17
CR,p17p18,2023,1636016,16784.6,.0015,0,.17,.18
CR,p18p19,2023,1662715.9,17756.7,.0015,0,.18,.19
CR,p19p20,2023,1689999.1,18728.8,.0016,0,.19,.2
CR,p1p2,2023,815837,1490.5,.0008,0,.01,.02
CR,p20p21,2023,1704709.9,218459.5,.0016,.0002,.2,.21
CR,p21p22,2023,1982466.5,875587.7000000001,.0018,.0008,.21,.22
CR,p22p23,2023,2185307.9,1264745,.002,.0012,.22,.23
CR,p23p24,2023,2342202.1,1465123.7,.0022,.0013,.23,.24
CR,p24p25,2023,2449844.1,1564341,.0023,.0014,.24,.25
CR,p25p26,2023,2611080.3,1756943.1,.0024,.0016,.25,.26
CR,p26p27,2023,2727276.7,1931853.2,.0025,.0018,.26,.27
CR,p27p28,2023,2852999.4,2118493.2,.0026,.0019,.27,.28
CR,p28p29,2023,2972112,2270656.6,.0027,.0021,.28,.29
CR,p29p30,2023,3116952.4,2458398.3,.0029,.0023,.29,.3
CR,p2p3,2023,844869.9,2397.8,.0008,0,.02,.03
CR,p30p31,2023,3219345.2,2609913.7,.003,.0024,.3,.31
CR,p31p32,2023,3351678.1,2790137.9,.0031,.0026,.31,.32
CR,p32p33,2023,3494768.7,2986239.4,.0032,.0027,.32,.33
CR,p33p34,2023,3584394.8,3098353,.0033,.0028,.33,.34
CR,p34p35,2023,3690027.9,3232306.1,.0034,.003,.34,.35
CR,p35p36,2023,3821972,3388487.4,.0035,.0031,.35,.36
CR,p36p37,2023,3972644.9,3580117.4,.0037,.0033,.36,.37
CR,p37p38,2023,4067325.8,3697739.5,.0037,.0034,.37,.38
CR,p38p39,2023,4133362.6,3778422.4,.0038,.0035,.38,.39
CR,p39p40,2023,4258566.9,3924494.1,.0039,.0036,.39,.4
CR,p3p4,2023,863469.1000000001,3305.1,.0008,0,.03,.04
CR,p40p41,2023,4410471.100000001,4092340.5,.0041,.0038,.4,.41
CR,p41p42,2023,4575660.5,4264658.4,.0042,.0039,.41,.42
CR,p42p43,2023,4668656.4,4355126.9,.0043,.004,.42,.43
CR,p43p44,2023,4815635.4,4520640.3,.0044,.0042,.43,.44
CR,p44p45,2023,5019254.4,4733915.3,.0046,.0044,.44,.45
CR,p45p46,2023,5134089.9,4864692.9,.0047,.0045,.45,.46
CR,p46p47,2023,5206996.100000001,4945311,.0048,.0045,.46,.47
CR,p47p48,2023,5366547.4,5131173.300000001,.0049,.0047,.47,.48
CR,p48p49,2023,5532773.600000001,5352549.100000001,.0051,.0049,.48,.49
CR,p49p50,2023,5689538.2,5521756.300000001,.0052,.0051,.49,.5
CR,p4p5,2023,872023.4,4342,.0008,0,.04,.05
CR,p50p51,2023,5891148.300000001,5759463.100000001,.0054,.0053,.5,.51
CR,p51p52,2023,6090814.2,6006890.600000001,.0056,.0055,.51,.52
CR,p52p53,2023,6246477.100000001,6183291.300000001,.0057,.0057,.52,.53
CR,p53p54,2023,6447439.100000001,6423136.600000001,.0059,.0059,.53,.54
CR,p54p55,2023,6566746.100000001,6609711.800000001,.006,.0061,.54,.55
CR,p55p56,2023,6732907.5,6820459.4,.0062,.0063,.55,.5600000000000001
CR,p56p57,2023,6945340.100000001,7074821.2,.0064,.0065,.5600000000000001,.57
CR,p57p58,2023,7114158.600000001,7272866.9,.0065,.0067,.57,.58
CR,p58p59,2023,7237418.7,7407273.600000001,.0067,.0068,.58,.59
CR,p59p60,2023,7392368.800000001,7577841.800000001,.0068,.007,.59,.6
CR,p5p6,2023,898399.3,5249.200000000001,.0008,0,.05,.06
CR,p60p61,2023,7575703.7,7791440.9,.007,.0072,.6,.61
CR,p61p62,2023,7777119.300000001,8024157.600000001,.0072,.0074,.61,.62
CR,p62p63,2023,8026296.600000001,8316625,.0074,.0076,.62,.63
CR,p63p64,2023,8224148,8499830.300000001,.0076,.0078,.63,.64
CR,p64p65,2023,8383958.5,8647846.1,.0077,.008,.64,.65
CR,p65p66,2023,8571246.5,8800398.4,.0079,.0081,.65,.66
CR,p66p67,2023,8834745.800000001,9067202.800000001,.0081,.0083,.66,.67
CR,p67p68,2023,9046400.800000001,9287217.6,.0083,.0085,.67,.68
CR,p68p69,2023,9328693.700000001,9579296.200000001,.0086,.0088,.68,.6899999999999999
CR,p69p70,2023,9527711.6,9737032.9,.0088,.009,.6899999999999999,.7
CR,p6p7,2023,925488,6286.1,.0009,0,.06,.07
CR,p70p71,2023,9765612.700000001,9942012.800000001,.009,.0091,.7,.71
CR,p71p72,2023,10068060.2,10243877.1,.0093,.0094,.71,.72
CR,p72p73,2023,10357028.2,10580606.7,.0095,.0097,.72,.73
CR,p73p74,2023,10640293.2,10864066.1,.0098,.01,.73,.74
CR,p74p75,2023,10947341.9,11153552.5,.0101,.0103,.74,.75
CR,p75p76,2023,11407979.7,11678412.6,.0105,.0107,.75,.76
CR,p76p77,2023,11834270.6,12119219.9,.0109,.0111,.76,.77
CR,p77p78,2023,12125377.1,12461133.9,.0112,.0115,.77,.78
CR,p78p79,2023,12504878.4,12953720.9,.0115,.0119,.78,.79
CR,p79p80,2023,12954110.5,13411312.8,.0119,.0123,.79,.8
CR,p7p8,2023,940198.9,7128.6,.0009,0,.07,.08
CR,p80p81,2023,13621542.8,14180619.4,.0125,.013,.8,.8100000000000001
CR,p81p82,2023,14132923.4,14793096.6,.013,.0136,.8100000000000001,.82
CR,p82p83,2023,14617020.8,15463056.3,.0134,.0142,.82,.83
CR,p83p84,2023,15351526.9,16281874.3,.0141,.015,.83,.84
CR,p84p85,2023,16144682,17106265.7,.0148,.0157,.84,.85
CR,p85p86,2023,16960130.2,17975308,.0156,.0165,.85,.86
CR,p86p87,2023,17913938.2,19053737,.0165,.0175,.86,.87
CR,p87p88,2023,18902093.2,20199110.2,.0174,.0186,.87,.88
CR,p88p89,2023,20059034.2,21488222.1,.0184,.0198,.88,.89
CR,p89p90,2023,21359940.8,22649764.2,.0196,.0208,.89,.9
CR,p8p9,2023,949854.9,8165.5,.0009,0,.08,.09
CR,p90p91,2023,22852444.9,23641483.5,.021,.0217,.9,.91
CR,p91p92,2023,24697912.5,24633267.5,.0227,.0227,.91,.92
CR,p92p93,2023,26983312.5,25624986.7,.0248,.0236,.92,.93
CR,p93p94,2023,29178017.2,26616770.8,.0268,.0245,.93,.9399999999999999
CR,p94p95,2023,32035520.6,30009243.8,.0295,.0276,.9399999999999999,.95
CR,p95p96,2023,38813662.4,37728329.3,.0357,.0347,.95,.96
CR,p96p97,2023,42494876.7,42101148.1,.0391,.0387,.96,.97
CR,p97p98,2023,53680087.40000001,52370720.6,.0494,.0482,.97,.98
CR,p98p99,2023,77266228.3,80784937.90000001,.0711,.0743,.98,.99
CR,p99.1p99.2,2023,113132340,136095205.5,.0104,.0125,.991,.992
CR,p99.2p99.3,2023,122013859.3,147952837.8,.0112,.0136,.992,.993
CR,p99.3p99.4,2023,131431239.4,158107380.4,.0121,.0145,.993,.9940000000000001
CR,p99.4p99.5,2023,143263436.2,166757462.3,.0132,.0153,.9940000000000001,.995
CR,p99.5p99.6,2023,161127571.3,174883105.4,.0148,.0161,.995,.996
CR,p99.6p99.7,2023,178059154.7,185504409.9,.0164,.0171,.996,.997
CR,p99.7p99.8,2023,216420514.9,207902987.9,.0199,.0191,.997,.998
CR,p99.8p99.9,2023,245699600.4,272886787.1,.0226,.0251,.998,.9990000000000001
CR,p99.9p100,2023,282907543.3,399989656.3,.026,.0368,.9990000000000001,1
CR,p99p99.1,2023,103917801.3,122671547.2,.0096,.0113,.99,.991
CR,p9p10,2023,958150,9137.6,.0009,0,.09,.1
