country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CU,p0p1,2023,4988.200000000001,.5,.0018,0,0,.01
CU,p10p11,2023,5607.900000000001,1542.2,.0021,.0006,.1,.11
CU,p11p12,2023,5886.400000000001,2113.1,.0022,.0008,.11,.12
CU,p12p13,2023,6120.400000000001,2553,.0022,.0009,.12,.13
CU,p13p14,2023,6309.3,2877.3,.0023,.0011,.13,.14
CU,p14p15,2023,6499.1,3178.8,.0024,.0012,.14,.15
CU,p15p16,2023,6672.3,3430.7,.0024,.0013,.15,.16
CU,p16p17,2023,6875.900000000001,3735.2,.0025,.0014,.16,.17
CU,p17p18,2023,7014.6,3916,.0026,.0014,.17,.18
CU,p18p19,2023,7188.6,4139.900000000001,.0026,.0015,.18,.19
CU,p19p20,2023,7739,4907.400000000001,.0028,.0018,.19,.2
CU,p1p2,2023,5019.1,2,.0018,0,.01,.02
CU,p20p21,2023,8088.1,5338.8,.003,.002,.2,.21
CU,p21p22,2023,8340.200000000001,5734,.0031,.0021,.21,.22
CU,p22p23,2023,8575.5,6098.900000000001,.0031,.0022,.22,.23
CU,p23p24,2023,8839,6497.200000000001,.0032,.0024,.23,.24
CU,p24p25,2023,9098.200000000001,6883.1,.0033,.0025,.24,.25
CU,p25p26,2023,9284.4,7160.8,.0034,.0026,.25,.26
CU,p26p27,2023,9459.5,7387.400000000001,.0035,.0027,.26,.27
CU,p27p28,2023,9753.200000000001,7770.5,.0036,.0028,.27,.28
CU,p28p29,2023,10025,8117.1,.0037,.003,.28,.29
CU,p29p30,2023,10249.7,8394,.0038,.0031,.29,.3
CU,p2p3,2023,5031.1,3.1,.0018,0,.02,.03
CU,p30p31,2023,10556.1,8774.1,.0039,.0032,.3,.31
CU,p31p32,2023,10861.7,9138.800000000001,.004,.0033,.31,.32
CU,p32p33,2023,11141.7,9465.9,.0041,.0035,.32,.33
CU,p33p34,2023,11428.9,9798.800000000001,.0042,.0036,.33,.34
CU,p34p35,2023,11711.4,10122.1,.0043,.0037,.34,.35
CU,p35p36,2023,12050.1,10514.3,.0044,.0039,.35,.36
CU,p36p37,2023,12355.5,10877.6,.0045,.004,.36,.37
CU,p37p38,2023,12674.3,11253.9,.0046,.0041,.37,.38
CU,p38p39,2023,12980.7,11610.7,.0048,.0043,.38,.39
CU,p39p40,2023,13249.8,11916,.0049,.0044,.39,.4
CU,p3p4,2023,5073.900000000001,4.2,.0019,0,.03,.04
CU,p40p41,2023,13526,12227.1,.005,.0045,.4,.41
CU,p41p42,2023,13832.5,12601.6,.0051,.0046,.41,.42
CU,p42p43,2023,14162.3,13003.8,.0052,.0048,.42,.43
CU,p43p44,2023,14392.7,13278.4,.0053,.0049,.43,.44
CU,p44p45,2023,14682.4,13626.6,.0054,.005,.44,.45
CU,p45p46,2023,14941.8,13935,.0055,.0051,.45,.46
CU,p46p47,2023,15184.2,14210,.0056,.0052,.46,.47
CU,p47p48,2023,15548.5,14635.9,.0057,.0054,.47,.48
CU,p48p49,2023,15886.6,15027.6,.0058,.0055,.48,.49
CU,p49p50,2023,16244.5,15441.8,.006,.0057,.49,.5
CU,p4p5,2023,5117.1,5.5,.0019,0,.04,.05
CU,p50p51,2023,16670.9,15939.9,.0061,.0058,.5,.51
CU,p51p52,2023,17008.7,16339.7,.0062,.006,.51,.52
CU,p52p53,2023,17401.3,16806.2,.0064,.0062,.52,.53
CU,p53p54,2023,17724.1,17185.8,.0065,.0063,.53,.54
CU,p54p55,2023,18063.5,17584.2,.0066,.0064,.54,.55
CU,p55p56,2023,18502.1,18104.3,.0068,.0066,.55,.5600000000000001
CU,p56p57,2023,18958.6,18655.1,.0069,.0068,.5600000000000001,.57
CU,p57p58,2023,19322.2,19089.7,.0071,.007,.57,.58
CU,p58p59,2023,19813.5,19679.8,.0073,.0072,.58,.59
CU,p59p60,2023,20142,20068.7,.0074,.0074,.59,.6
CU,p5p6,2023,5133.900000000001,6.7,.0019,0,.05,.06
CU,p60p61,2023,20651.5,20678,.0076,.0076,.6,.61
CU,p61p62,2023,21113.8,21236.8,.0077,.0078,.61,.62
CU,p62p63,2023,21596.7,21819.8,.0079,.008,.62,.63
CU,p63p64,2023,22126.3,22458.4,.0081,.0082,.63,.64
CU,p64p65,2023,22569,22989.4,.0083,.0084,.64,.65
CU,p65p66,2023,22939.3,23431.2,.0084,.0086,.65,.66
CU,p66p67,2023,23331.1,23893.3,.0086,.0088,.66,.67
CU,p67p68,2023,23920.4,24595,.0088,.009,.67,.68
CU,p68p69,2023,24452.4,25225.8,.009,.0092,.68,.6899999999999999
CU,p69p70,2023,25050.8,25936,.0092,.0095,.6899999999999999,.7
CU,p6p7,2023,5161.900000000001,8,.0019,0,.06,.07
CU,p70p71,2023,25339.1,26267.9,.0093,.0096,.7,.71
CU,p71p72,2023,25961.3,26971.2,.0095,.0099,.71,.72
CU,p72p73,2023,26598.7,27690.5,.0097,.0101,.72,.73
CU,p73p74,2023,27278.6,28459.3,.01,.0104,.73,.74
CU,p74p75,2023,27936.1,29198.7,.0102,.0107,.74,.75
CU,p75p76,2023,28657.2,30012.6,.0105,.011,.75,.76
CU,p76p77,2023,29544.3,31015.2,.0108,.0114,.76,.77
CU,p77p78,2023,30278.9,31831.8,.0111,.0117,.77,.78
CU,p78p79,2023,31222.2,32896.6,.0114,.0121,.78,.79
CU,p79p80,2023,32389.6,34227.4,.0119,.0125,.79,.8
CU,p7p8,2023,5209.8,16.1,.0019,0,.07,.08
CU,p80p81,2023,33472,35452.4,.0123,.013,.8,.8100000000000001
CU,p81p82,2023,34675.6,36791.5,.0127,.0135,.8100000000000001,.82
CU,p82p83,2023,35961.4,38222.7,.0132,.014,.82,.83
CU,p83p84,2023,37415.6,39847.2,.0137,.0146,.83,.84
CU,p84p85,2023,38889.8,41487.9,.0143,.0152,.84,.85
CU,p85p86,2023,40533.2,43321,.0149,.0159,.85,.86
CU,p86p87,2023,42180,45135.4,.0155,.0165,.86,.87
CU,p87p88,2023,44222.10000000001,47406.10000000001,.0162,.0174,.87,.88
CU,p88p89,2023,46598.60000000001,50057.8,.0171,.0183,.88,.89
CU,p89p90,2023,48898.10000000001,52605,.0179,.0193,.89,.9
CU,p8p9,2023,5304.3,428,.0019,.0002,.08,.09
CU,p90p91,2023,50790.5,54661.7,.0186,.02,.9,.91
CU,p91p92,2023,52663.5,56523.2,.0193,.0207,.91,.92
CU,p92p93,2023,54493.7,58311.3,.02,.0214,.92,.93
CU,p93p94,2023,56500.2,60278.2,.0207,.0221,.93,.9399999999999999
CU,p94p95,2023,59136.10000000001,62939.3,.0217,.0231,.9399999999999999,.95
CU,p95p96,2023,65357.7,69648.10000000001,.024,.0255,.95,.96
CU,p96p97,2023,82853.20000000001,88793.40000000001,.0304,.0325,.96,.97
CU,p97p98,2023,111182.6,119735.8,.0408,.0439,.97,.98
CU,p98p99,2023,140694.4,151451.4,.0516,.0555,.98,.99
CU,p99.1p99.2,2023,214934.9,231619.7,.0079,.0085,.991,.992
CU,p99.2p99.3,2023,227450.5,245344,.0083,.009,.992,.993
CU,p99.3p99.4,2023,239363.9,258425.1,.0088,.0095,.993,.9940000000000001
CU,p99.4p99.5,2023,250865.9,271029.7,.0092,.0099,.9940000000000001,.995
CU,p99.5p99.6,2023,262564.3,283876.2,.0096,.0104,.995,.996
CU,p99.6p99.7,2023,276714.5,299408.5,.0101,.011,.996,.997
CU,p99.7p99.8,2023,323417.9,350642.6,.0119,.0129,.997,.998
CU,p99.8p99.9,2023,532589.2000000001,580155.4,.0195,.0213,.998,.9990000000000001
CU,p99.9p100,2023,2258436.5,2470898.3,.0828,.0906,.9990000000000001,1
CU,p99p99.1,2023,201891.6,217279.1,.0074,.008,.99,.991
CU,p9p10,2023,5400.400000000001,848.6,.002,.0003,.09,.1
