country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CV,p0p1,2023,54383.4,0,.0008,0,0,.01
CV,p10p11,2023,128979.7,57485.9,.0019,.0008,.1,.11
CV,p11p12,2023,134856.1,67937.90000000001,.002,.001,.11,.12
CV,p12p13,2023,140557.3,78389.8,.0021,.0011,.12,.13
CV,p13p14,2023,145810.2,88841.8,.0021,.0013,.13,.14
CV,p14p15,2023,151882.3,99293.8,.0022,.0015,.14,.15
CV,p15p16,2023,157298.2,109745.8,.0023,.0016,.15,.16
CV,p16p17,2023,162392.2,120197.8,.0024,.0018,.16,.17
CV,p17p18,2023,166414.4,130649.7,.0024,.0019,.17,.18
CV,p18p19,2023,170766.7,141101.7,.0025,.0021,.18,.19
CV,p19p20,2023,175958.5,151553.7,.0026,.0022,.19,.2
CV,p1p2,2023,63438.5,0,.0009,0,.01,.02
CV,p20p21,2023,181541.5,156779.7,.0027,.0023,.2,.21
CV,p21p22,2023,186464.3,162448.3,.0027,.0024,.21,.22
CV,p22p23,2023,190115.7,166751.3,.0028,.0024,.22,.23
CV,p23p24,2023,194557.6,171886.9,.0028,.0025,.23,.24
CV,p24p25,2023,199227.8,177256.4,.0029,.0026,.24,.25
CV,p25p26,2023,203074.8,181738,.003,.0027,.25,.26
CV,p26p27,2023,207630.8,186867.6,.003,.0027,.26,.27
CV,p27p28,2023,213935.2,193853.4,.0031,.0028,.27,.28
CV,p28p29,2023,219436.7,199962,.0032,.0029,.28,.29
CV,p29p30,2023,224314.7,205398,.0033,.003,.29,.3
CV,p2p3,2023,74099.10000000001,0,.0011,0,.02,.03
CV,p30p31,2023,229588,211238.8,.0034,.0031,.3,.31
CV,p31p32,2023,235028.3,216926.1,.0034,.0032,.31,.32
CV,p32p33,2023,240868.1,223026.4,.0035,.0033,.32,.33
CV,p33p34,2023,247139.8,229586,.0036,.0034,.33,.34
CV,p34p35,2023,253024.4,235725.9,.0037,.0034,.34,.35
CV,p35p36,2023,259622.1,242618.7,.0038,.0035,.35,.36
CV,p36p37,2023,266126.1,249475.1,.0039,.0036,.36,.37
CV,p37p38,2023,272442.6,256115.5,.004,.0037,.37,.38
CV,p38p39,2023,279423.4,263461.9,.0041,.0039,.38,.39
CV,p39p40,2023,285687,270039.5,.0042,.0039,.39,.4
CV,p3p4,2023,82697.8,0,.0012,0,.03,.04
CV,p40p41,2023,291005.1,275603.9,.0043,.004,.4,.41
CV,p41p42,2023,297395,282418.6,.0043,.0041,.41,.42
CV,p42p43,2023,305040.1,290575.8,.0045,.0043,.42,.43
CV,p43p44,2023,311735.6,297717.1,.0046,.0044,.43,.44
CV,p44p45,2023,317762.8,304149.4,.0046,.0044,.44,.45
CV,p45p46,2023,324653.9,311501,.0047,.0046,.45,.46
CV,p46p47,2023,331993.4,319290.4,.0049,.0047,.46,.47
CV,p47p48,2023,339459.1,327213.4,.005,.0048,.47,.48
CV,p48p49,2023,346391,334566.7,.0051,.0049,.48,.49
CV,p49p50,2023,353555.2,342164.5,.0052,.005,.49,.5
CV,p4p5,2023,89951.60000000001,0,.0013,0,.04,.05
CV,p50p51,2023,361562.9,350657,.0053,.0051,.5,.51
CV,p51p52,2023,371102.9,360647,.0054,.0053,.51,.52
CV,p52p53,2023,380740.8,370753.3,.0056,.0054,.52,.53
CV,p53p54,2023,389445.4,379860.2,.0057,.0056,.53,.54
CV,p54p55,2023,397860.6,388659.6,.0058,.0057,.54,.55
CV,p55p56,2023,406284,397475,.0059,.0058,.55,.5600000000000001
CV,p56p57,2023,415379.9,407076.6,.0061,.006,.5600000000000001,.57
CV,p57p58,2023,424830.2,417065.7,.0062,.0061,.57,.58
CV,p58p59,2023,435935.1,428811.6,.0064,.0063,.58,.59
CV,p59p60,2023,450304.2,444040.5,.0066,.0065,.59,.6
CV,p5p6,2023,96504.5,5226,.0014,.0001,.05,.06
CV,p60p61,2023,460215.1,454521.9,.0067,.0066,.6,.61
CV,p61p62,2023,469791.8,464697.8,.0069,.0068,.61,.62
CV,p62p63,2023,481027.1,476648.3,.007,.007,.62,.63
CV,p63p64,2023,493142.6,489541.1,.0072,.0072,.63,.64
CV,p64p65,2023,503355,500407.1,.0074,.0073,.64,.65
CV,p65p66,2023,513669.3,511380.2,.0075,.0075,.65,.66
CV,p66p67,2023,526343.2000000001,524838.4,.0077,.0077,.66,.67
CV,p67p68,2023,540394.4,539772.7000000001,.0079,.0079,.67,.68
CV,p68p69,2023,554384.5,554637.9,.0081,.0081,.68,.6899999999999999
CV,p69p70,2023,569393.4,570607.8,.0083,.0083,.6899999999999999,.7
CV,p6p7,2023,103196,15678,.0015,.0002,.06,.07
CV,p70p71,2023,587063.5,589415,.0086,.0086,.7,.71
CV,p71p72,2023,606628.4,610326.3,.0089,.0089,.71,.72
CV,p72p73,2023,623630.1,628488.6,.0091,.0092,.72,.73
CV,p73p74,2023,644059,650318.5,.0094,.0095,.73,.74
CV,p74p75,2023,664439.1000000001,672085.9,.0097,.0098,.74,.75
CV,p75p76,2023,683714.7000000001,692668.2000000001,.01,.0101,.75,.76
CV,p76p77,2023,703532.3,713806.1000000001,.0103,.0104,.76,.77
CV,p77p78,2023,726088.5,737868.4,.0106,.0108,.77,.78
CV,p78p79,2023,751497.3,764981.8,.011,.0112,.78,.79
