country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CW,p0p1,2023,0,0,0,0,0,.01
CW,p10p11,2023,4556.8,2193.2,.0013,.0006,.1,.11
CW,p11p12,2023,5238.200000000001,2661.5,.0015,.0007,.11,.12
CW,p12p13,2023,6124.900000000001,3141.3,.0017,.0009,.12,.13
CW,p13p14,2023,7614,3631.5,.0021,.001,.13,.14
CW,p14p15,2023,8105.400000000001,4130.8,.0023,.0012,.14,.15
CW,p15p16,2023,9559.4,4638.7,.0027,.0013,.15,.16
CW,p16p17,2023,9969,5154,.0028,.0015,.16,.17
CW,p17p18,2023,10484.3,5677,.003,.0016,.17,.18
CW,p18p19,2023,10860.9,6206.3,.0031,.0017,.18,.19
CW,p19p20,2023,10873.8,6742.200000000001,.0031,.0019,.19,.2
CW,p1p2,2023,0,0,0,0,.01,.02
CW,p20p21,2023,10913.3,7011.900000000001,.0031,.002,.2,.21
CW,p21p22,2023,11051.5,7573.400000000001,.0031,.0021,.21,.22
CW,p22p23,2023,11073.7,8135.400000000001,.0031,.0023,.22,.23
CW,p23p24,2023,11606.4,8698.4,.0033,.0025,.23,.24
CW,p24p25,2023,11656.3,9261.800000000001,.0033,.0026,.24,.25
CW,p25p26,2023,11795.9,9825.1,.0033,.0028,.25,.26
CW,p26p27,2023,11949.9,10388.7,.0034,.0029,.26,.27
CW,p27p28,2023,12445.2,10952.3,.0035,.0031,.27,.28
CW,p28p29,2023,12996.1,11515.2,.0037,.0032,.28,.29
CW,p29p30,2023,13549.3,12077.9,.0038,.0034,.29,.3
CW,p2p3,2023,0,0,0,0,.02,.03
CW,p30p31,2023,14103.8,12639.6,.004,.0036,.3,.31
CW,p31p32,2023,14658.9,13200.9,.0041,.0037,.31,.32
CW,p32p33,2023,15212.3,13760.6,.0043,.0039,.32,.33
CW,p33p34,2023,15764.2,14319.3,.0044,.004,.33,.34
CW,p34p35,2023,16316.4,14876.6,.0046,.0042,.34,.35
CW,p35p36,2023,16869.2,15432.5,.0048,.0043,.35,.36
CW,p36p37,2023,17416,15986.4,.0049,.0045,.36,.37
CW,p37p38,2023,17956.3,16538.7,.0051,.0047,.37,.38
CW,p38p39,2023,18497.9,17088.5,.0052,.0048,.38,.39
