country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CY,p0p1,2023,0,0,0,0,0,.01
CY,p10p11,2023,9494.700000000001,4014.9,.0038,.0016,.1,.11
CY,p11p12,2023,10167,4744.900000000001,.0041,.0019,.11,.12
CY,p12p13,2023,10943.5,5474.900000000001,.0044,.0022,.12,.13
CY,p13p14,2023,12031.3,6204.900000000001,.0048,.0025,.13,.14
CY,p14p15,2023,12534.8,6934.900000000001,.005,.0028,.14,.15
CY,p15p16,2023,13218.7,7664.900000000001,.0053,.0031,.15,.16
CY,p16p17,2023,13450.9,8394.9,.0054,.0034,.16,.17
CY,p17p18,2023,13860.3,9124.9,.0056,.0037,.17,.18
CY,p18p19,2023,14097.9,9854.800000000001,.0057,.004,.18,.19
CY,p19p20,2023,14850.8,10584.8,.006,.0042,.19,.2
CY,p1p2,2023,0,0,0,0,.01,.02
CY,p20p21,2023,15065.8,10949.8,.006,.0044,.2,.21
CY,p21p22,2023,15096.9,11256.4,.0061,.0045,.21,.22
CY,p22p23,2023,15281.1,11424.1,.0061,.0046,.22,.23
CY,p23p24,2023,15560.8,11846.5,.0062,.0047,.23,.24
CY,p24p25,2023,15795.7,12054.2,.0063,.0048,.24,.25
CY,p25p26,2023,16008.8,12354.8,.0064,.005,.25,.26
CY,p26p27,2023,16085.4,12640.3,.0064,.0051,.26,.27
CY,p27p28,2023,16417.3,12846,.0066,.0051,.27,.28
CY,p28p29,2023,16536.6,13183.5,.0066,.0053,.28,.29
CY,p29p30,2023,16750.2,13628.9,.0067,.0055,.29,.3
CY,p2p3,2023,0,0,0,0,.02,.03
CY,p30p31,2023,17041.1,13788.6,.0068,.0055,.3,.31
CY,p31p32,2023,17252.5,13973.4,.0069,.0056,.31,.32
CY,p32p33,2023,17598.8,14218,.0071,.0057,.32,.33
CY,p33p34,2023,17638.8,14485.6,.0071,.0058,.33,.34
CY,p34p35,2023,18056.7,14718.3,.0072,.0059,.34,.35
CY,p35p36,2023,18225.7,14925,.0073,.006,.35,.36
CY,p36p37,2023,18403.3,15205.5,.0074,.0061,.36,.37
CY,p37p38,2023,18642.4,15566,.0075,.0062,.37,.38
CY,p38p39,2023,18905.7,15894.5,.0076,.0064,.38,.39
CY,p39p40,2023,19134,16191.1,.0077,.0065,.39,.4
CY,p3p4,2023,0,0,0,0,.03,.04
CY,p40p41,2023,19336.7,16496.6,.0078,.0066,.4,.41
CY,p41p42,2023,19675.4,16795.2,.0079,.0067,.41,.42
CY,p42p43,2023,20097.7,17073.8,.0081,.0068,.42,.43
CY,p43p44,2023,20487.9,17694.9,.0082,.0071,.43,.44
CY,p44p45,2023,20846.5,17719.8,.0084,.0071,.44,.45
CY,p45p46,2023,21215,17736.8,.0085,.0071,.45,.46
CY,p46p47,2023,21565.3,17866.6,.0086,.0072,.46,.47
CY,p47p48,2023,21895.4,18199.1,.0088,.0073,.47,.48
CY,p48p49,2023,22581.4,18422.8,.0091,.0074,.48,.49
CY,p49p50,2023,22649.3,18672.4,.0091,.0075,.49,.5
CY,p4p5,2023,5991.400000000001,0,.0024,0,.04,.05
CY,p50p51,2023,22709.4,18860.1,.0091,.0076,.5,.51
CY,p51p52,2023,22803.2,19246.6,.0091,.0077,.51,.52
CY,p52p53,2023,23108.3,19648,.0093,.0079,.52,.53
CY,p53p54,2023,23300.9,19887.6,.0093,.008,.53,.54
CY,p54p55,2023,23520.4,20097.3,.0094,.0081,.54,.55
CY,p55p56,2023,23675.8,20537.7,.0095,.0082,.55,.5600000000000001
CY,p56p57,2023,24031.8,20784.3,.0096,.0083,.5600000000000001,.57
CY,p57p58,2023,24403.3,21174.7,.0098,.0085,.57,.58
CY,p58p59,2023,24606.2,21714.9,.0099,.0087,.58,.59
CY,p59p60,2023,24777.6,22103.4,.0099,.0089,.59,.6
CY,p5p6,2023,6251.5,365,.0025,.0001,.05,.06
CY,p60p61,2023,25190.1,22537.7,.0101,.009,.6,.61
CY,p61p62,2023,25487,22946.1,.0102,.0092,.61,.62
CY,p62p63,2023,25934,23342.5,.0104,.0094,.62,.63
