country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
CZ,p0p1,2023,234712.8,0,.0035,0,0,.01
CZ,p10p11,2023,422034.6,136866.5,.0062,.002,.1,.11
CZ,p11p12,2023,424421.9,161751.3,.0063,.0024,.11,.12
CZ,p12p13,2023,425153,186636.1,.0063,.0028,.12,.13
CZ,p13p14,2023,426772.9,211520.9,.0063,.0031,.13,.14
CZ,p14p15,2023,428109.9,236405.7,.0063,.0035,.14,.15
CZ,p15p16,2023,428707.8,261290.5,.0063,.0039,.15,.16
CZ,p16p17,2023,432012,286175.4,.0064,.0042,.16,.17
CZ,p17p18,2023,432634.1,311060.2,.0064,.0046,.17,.18
CZ,p18p19,2023,433385.5,335945,.0064,.005,.18,.19
CZ,p19p20,2023,437736,360829.8,.0065,.0053,.19,.2
CZ,p1p2,2023,236930.4,0,.0035,0,.01,.02
CZ,p20p21,2023,441573.4,373272.2,.0065,.0055,.2,.21
CZ,p21p22,2023,444950.4,378113,.0066,.0056,.21,.22
CZ,p22p23,2023,448529.4,383197.1,.0066,.0057,.22,.23
CZ,p23p24,2023,453978.6,390556.8,.0067,.0058,.23,.24
CZ,p24p25,2023,457210.2,395171.8,.0067,.0058,.24,.25
CZ,p25p26,2023,462231.2,401959.3,.0068,.0059,.25,.26
CZ,p26p27,2023,465810.2,408187.9,.0069,.006,.26,.27
CZ,p27p28,2023,468839.8,413718.5,.0069,.0061,.27,.28
CZ,p28p29,2023,473153.9,420803.9,.007,.0062,.28,.29
CZ,p29p30,2023,477084.3,427385.1,.007,.0063,.29,.3
CZ,p2p3,2023,238114,0,.0035,0,.02,.03
CZ,p30p31,2023,479673.6,432317.7,.0071,.0064,.3,.31
CZ,p31p32,2023,483559.6,439297.9,.0071,.0065,.31,.32
CZ,p32p33,2023,488964.4,448112.4,.0072,.0066,.32,.33
CZ,p33p34,2023,498994.3,462515.3,.0074,.0068,.33,.34
CZ,p34p35,2023,507594.4,475174.5,.0075,.007,.34,.35
CZ,p35p36,2023,510236.2,480600,.0075,.0071,.35,.36
CZ,p36p37,2023,515653.1,489047.4,.0076,.0072,.36,.37
CZ,p37p38,2023,521740.5,498302.2,.0077,.0074,.37,.38
CZ,p38p39,2023,526769.7000000001,506263,.0078,.0075,.38,.39
CZ,p39p40,2023,530966.7000000001,513208.2,.0078,.0076,.39,.4
CZ,p3p4,2023,250971.6,0,.0037,0,.03,.04
CZ,p40p41,2023,536819.8,522145.3,.0079,.0077,.4,.41
CZ,p41p42,2023,542782.1,531532.1,.008,.0078,.41,.42
CZ,p42p43,2023,549334.1,541631.3,.0081,.008,.42,.43
CZ,p43p44,2023,554819.7000000001,550445.8,.0082,.0081,.43,.44
CZ,p44p45,2023,560802.1,559857.3,.0083,.0083,.44,.45
CZ,p45p46,2023,565306.1,567484,.0083,.0084,.45,.46
CZ,p46p47,2023,571054.3,574435.4,.0084,.0085,.46,.47
CZ,p47p48,2023,574750.4,578901.9,.0085,.0085,.47,.48
CZ,p48p49,2023,584029,590111.6,.0086,.0087,.48,.49
CZ,p49p50,2023,591619.1,599278.7000000001,.0087,.0088,.49,.5
CZ,p4p5,2023,327979.8,0,.0048,0,.04,.05
CZ,p50p51,2023,599633.4,608963.3,.0088,.009,.5,.51
CZ,p51p52,2023,606205.6,617088.1,.0089,.0091,.51,.52
CZ,p52p53,2023,613985.6,626686.2000000001,.0091,.0092,.52,.53
CZ,p53p54,2023,621010.2000000001,635362.5,.0092,.0094,.53,.54
CZ,p54p55,2023,628248.9,644314.2000000001,.0093,.0095,.54,.55
CZ,p55p56,2023,634881.7000000001,652530.7000000001,.0094,.0096,.55,.5600000000000001
CZ,p56p57,2023,639704.9,658005.5,.0094,.0097,.5600000000000001,.57
CZ,p57p58,2023,647068.8,666562.3,.0095,.0098,.57,.58
CZ,p58p59,2023,655632.4,676571.8,.0097,.01,.58,.59
CZ,p59p60,2023,663057,685201.7000000001,.0098,.0101,.59,.6
CZ,p5p6,2023,389323,12442.4,.0057,.0002,.05,.06
CZ,p60p61,2023,669281.8,692382,.0099,.0102,.6,.61
CZ,p61p62,2023,676415.5,700832.5,.01,.0103,.61,.62
CZ,p62p63,2023,681614.2000000001,706935.4,.0101,.0104,.62,.63
CZ,p63p64,2023,687063.5,713356.8,.0101,.0105,.63,.64
CZ,p64p65,2023,693207.5,720616.4,.0102,.0106,.64,.65
CZ,p65p66,2023,700563.3,729354.6000000001,.0103,.0108,.65,.66
CZ,p66p67,2023,705990.4,735579.1000000001,.0104,.0109,.66,.67
CZ,p67p68,2023,710740.8,740981.9,.0105,.0109,.67,.68
CZ,p68p69,2023,718236,749726.2000000001,.0106,.0111,.68,.6899999999999999
CZ,p69p70,2023,726349.2000000001,759225.3,.0107,.0112,.6899999999999999,.7
CZ,p6p7,2023,399086.4,37327.2,.0059,.0006,.06,.07
CZ,p70p71,2023,734603.9,768903.9,.0108,.0113,.7,.71
CZ,p71p72,2023,742416.2000000001,778175.1000000001,.011,.0115,.71,.72
CZ,p72p73,2023,750713.2000000001,788048.5,.0111,.0116,.72,.73
CZ,p73p74,2023,756467.4,794839.1000000001,.0112,.0117,.73,.74
CZ,p74p75,2023,763960.6000000001,803755.6000000001,.0113,.0119,.74,.75
CZ,p75p76,2023,770056.2000000001,810988.5,.0114,.012,.75,.76
CZ,p76p77,2023,774295.6000000001,819407.1000000001,.0114,.0121,.76,.77
CZ,p77p78,2023,778965.2000000001,828379.3,.0115,.0122,.77,.78
CZ,p78p79,2023,783095.5,836719.5,.0116,.0123,.78,.79
