country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DE,p0p1,2023,9960.200000000001,0,.0019,0,0,.01
DE,p10p11,2023,18356.2,6755.900000000001,.0036,.0013,.1,.11
DE,p11p12,2023,19140.4,7984.200000000001,.0037,.0016,.11,.12
DE,p12p13,2023,19714.6,9212.6,.0038,.0018,.12,.13
DE,p13p14,2023,20832.2,10440.9,.0041,.002,.13,.14
DE,p14p15,2023,22158.5,11669.3,.0043,.0023,.14,.15
DE,p15p16,2023,23495.7,12897.6,.0046,.0025,.15,.16
DE,p16p17,2023,24347.6,14125.9,.0047,.0027,.16,.17
DE,p17p18,2023,25232.5,15354.3,.0049,.003,.17,.18
DE,p18p19,2023,26008.5,16582.6,.0051,.0032,.18,.19
DE,p19p20,2023,26593.6,17811,.0052,.0035,.19,.2
DE,p1p2,2023,10131.7,0,.002,0,.01,.02
DE,p20p21,2023,27013.4,18425.1,.0053,.0036,.2,.21
DE,p21p22,2023,27368.3,18996.1,.0053,.0037,.21,.22
DE,p22p23,2023,28004,19895.1,.0055,.0039,.22,.23
DE,p23p24,2023,28545.1,20683.7,.0056,.004,.23,.24
DE,p24p25,2023,28976.3,21343.8,.0056,.0042,.24,.25
DE,p25p26,2023,29478.2,22086.9,.0057,.0043,.25,.26
DE,p26p27,2023,30097.3,22686.2,.0059,.0044,.26,.27
DE,p27p28,2023,30666.6,23227.8,.006,.0045,.27,.28
DE,p28p29,2023,31200.9,23730,.0061,.0046,.28,.29
DE,p29p30,2023,31809,24317.1,.0062,.0047,.29,.3
DE,p2p3,2023,10356.7,0,.002,0,.02,.03
DE,p30p31,2023,32416.3,24903.3,.0063,.0048,.3,.31
DE,p31p32,2023,32983.7,25471.2,.0064,.005,.31,.32
DE,p32p33,2023,33564.3,26055.4,.0065,.0051,.32,.33
DE,p33p34,2023,34156.2,26653.7,.0066,.0052,.33,.34
DE,p34p35,2023,34681.6,27176.1,.0068,.0053,.34,.35
DE,p35p36,2023,35245.1,27744,.0069,.0054,.35,.36
DE,p36p37,2023,35718.5,28258.3,.007,.0055,.36,.37
DE,p37p38,2023,36243.9,28835.3,.0071,.0056,.37,.38
DE,p38p39,2023,36782.8,29428.6,.0072,.0057,.38,.39
DE,p39p40,2023,37317.8,30018.8,.0073,.0058,.39,.4
DE,p3p4,2023,10844.8,0,.0021,0,.03,.04
DE,p40p41,2023,37900.2,30665.7,.0074,.006,.4,.41
DE,p41p42,2023,38475,31323.7,.0075,.0061,.41,.42
DE,p42p43,2023,39020,31949.4,.0076,.0062,.42,.43
DE,p43p44,2023,39578.9,32593.3,.0077,.0063,.43,.44
DE,p44p45,2023,40186.10000000001,33295.8,.0078,.0065,.44,.45
DE,p45p46,2023,40759.3,33961,.0079,.0066,.45,.46
DE,p46p47,2023,41276.2,34627.1,.008,.0067,.46,.47
DE,p47p48,2023,41787.9,35289.2,.0081,.0069,.47,.48
DE,p48p49,2023,42287.9,35939.1,.0082,.007,.48,.49
DE,p49p50,2023,42823.8,36633.6,.0083,.0071,.49,.5
DE,p4p5,2023,11750.9,0,.0023,0,.04,.05
DE,p50p51,2023,43216.10000000001,37160.1,.0084,.0072,.5,.51
DE,p51p52,2023,43698,37804.9,.0085,.0074,.51,.52
