country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DJ,p0p1,2023,31706.4,0,.0003,0,0,.01
DJ,p10p11,2023,143195.5,81395.10000000001,.0016,.0009,.1,.11
DJ,p11p12,2023,149934.7,96194.20000000001,.0016,.001,.11,.12
DJ,p12p13,2023,158262.6,110993.3,.0017,.0012,.12,.13
DJ,p13p14,2023,165689,125792.4,.0018,.0014,.13,.14
DJ,p14p15,2023,175044.8,140591.5,.0019,.0015,.14,.15
DJ,p15p16,2023,183262.7,155390.6,.002,.0017,.15,.16
DJ,p16p17,2023,192167.8,170189.7,.0021,.0018,.16,.17
DJ,p17p18,2023,202227.2,184988.8,.0022,.002,.17,.18
DJ,p18p19,2023,209637.1,199788,.0023,.0022,.18,.19
DJ,p19p20,2023,218822.5,214587.1,.0024,.0023,.19,.2
DJ,p1p2,2023,42645.3,0,.0005,0,.01,.02
DJ,p20p21,2023,230888.3,221986.6,.0025,.0024,.2,.21
DJ,p21p22,2023,239600.9,231233.8,.0026,.0025,.21,.22
DJ,p22p23,2023,247412.1,239553.1,.0027,.0026,.22,.23
DJ,p23p24,2023,255860.9,248509.8,.0028,.0027,.23,.24
DJ,p24p25,2023,264469.1,257610.5,.0029,.0028,.24,.25
DJ,p25p26,2023,272467.2,266079.5,.003,.0029,.25,.26
DJ,p26p27,2023,278920.6,272926.4,.003,.003,.26,.27
DJ,p27p28,2023,285286.1,279671.4,.0031,.003,.27,.28
DJ,p28p29,2023,291838.4,286589.2,.0032,.0031,.28,.29
DJ,p29p30,2023,298561.2,293666.4,.0032,.0032,.29,.3
DJ,p2p3,2023,56519.60000000001,0,.0006,0,.02,.03
DJ,p30p31,2023,307939,303422.3,.0033,.0033,.3,.31
DJ,p31p32,2023,316569.2,312238.3,.0034,.0034,.31,.32
DJ,p32p33,2023,324781.6,320620.5,.0035,.0035,.32,.33
DJ,p33p34,2023,332048.6,328046.4,.0036,.0036,.33,.34
DJ,p34p35,2023,340327,336485.6,.0037,.0036,.34,.35
DJ,p35p36,2023,349897.2,346240.4,.0038,.0038,.35,.36
DJ,p36p37,2023,359077.1,355614.2,.0039,.0039,.36,.37
DJ,p37p38,2023,368108.6,364830.5,.004,.004,.37,.38
DJ,p38p39,2023,377178.5,374085.8,.0041,.0041,.38,.39
