country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DK,p0p1,2023,193709.7,0,.0037,0,0,.01
DK,p10p11,2023,316300.8,87277.90000000001,.0061,.0017,.1,.11
DK,p11p12,2023,321994.9,103146.7,.0062,.002,.11,.12
DK,p12p13,2023,327911.6,119015.4,.0063,.0023,.12,.13
DK,p13p14,2023,333528.4,134884.1,.0064,.0026,.13,.14
DK,p14p15,2023,339751.3,150752.8,.0065,.0029,.14,.15
DK,p15p16,2023,345102.1,166621.5,.0067,.0032,.15,.16
DK,p16p17,2023,347539.3,182490.2,.0067,.0035,.16,.17
DK,p17p18,2023,349555.9,198359,.0067,.0038,.17,.18
DK,p18p19,2023,354637.6,214227.7,.0068,.0041,.18,.19
DK,p19p20,2023,362085.3,230096.4,.007,.0044,.19,.2
DK,p1p2,2023,193765.4,0,.0037,0,.01,.02
DK,p20p21,2023,364667.9,238030.8,.007,.0046,.2,.21
DK,p21p22,2023,364804,241656.5,.007,.0047,.21,.22
DK,p22p23,2023,365555.6,246495.8,.007,.0048,.22,.23
DK,p23p24,2023,365682.4,250306.4,.007,.0048,.23,.24
DK,p24p25,2023,366489.7,254871.5,.0071,.0049,.24,.25
DK,p25p26,2023,367219.6,259251.7,.0071,.005,.25,.26
DK,p26p27,2023,371661,263888.1,.0072,.0051,.26,.27
DK,p27p28,2023,376677.7,269162.4,.0073,.0052,.27,.28
DK,p28p29,2023,382458.4,275323.9,.0074,.0053,.28,.29
DK,p29p30,2023,387880.3,280991.1,.0075,.0054,.29,.3
DK,p2p3,2023,197962.5,0,.0038,0,.02,.03
DK,p30p31,2023,392513.5,285643.5,.0076,.0055,.3,.31
DK,p31p32,2023,396627.1,290206.6,.0076,.0056,.31,.32
DK,p32p33,2023,401130.4,295242.8,.0077,.0057,.32,.33
DK,p33p34,2023,406125.5,300883.9,.0078,.0058,.33,.34
DK,p34p35,2023,410795.8,306086.9,.0079,.0059,.34,.35
DK,p35p36,2023,414844.4,310475.1,.008,.006,.35,.36
DK,p36p37,2023,418407.5,315249.2,.0081,.0061,.36,.37
DK,p37p38,2023,423776.8,322183.2,.0082,.0062,.37,.38
DK,p38p39,2023,430083.2,330179.1,.0083,.0064,.38,.39
DK,p39p40,2023,435922.7,337479.8,.0084,.0065,.39,.4
DK,p3p4,2023,204241.1,0,.0039,0,.03,.04
DK,p40p41,2023,441551.8,344405.8,.0085,.0066,.4,.41
DK,p41p42,2023,447369.6,351852.1,.0086,.0068,.41,.42
DK,p42p43,2023,452609,358507.9,.0087,.0069,.42,.43
DK,p43p44,2023,458055.6,365371.5,.0088,.007,.43,.44
DK,p44p45,2023,464318.8,373225.8,.0089,.0072,.44,.45
DK,p45p46,2023,469681.9,379963.9,.0091,.0073,.45,.46
DK,p46p47,2023,475125.5,386461.9,.0092,.0074,.46,.47
DK,p47p48,2023,482854.7,395814.1,.0093,.0076,.47,.48
DK,p48p49,2023,491493.2,406320.6,.0095,.0078,.48,.49
DK,p49p50,2023,497233.7,413293.7,.0096,.008,.49,.5
DK,p4p5,2023,213334.3,0,.0041,0,.04,.05
DK,p50p51,2023,503298.9,420696.9,.0097,.0081,.5,.51
DK,p51p52,2023,508655.8,427460.1,.0098,.0082,.51,.52
DK,p52p53,2023,515348.9,435888.1,.0099,.0084,.52,.53
DK,p53p54,2023,519171.8,440777.6,.01,.0085,.53,.54
DK,p54p55,2023,522376,444892.6,.0101,.0086,.54,.55
DK,p55p56,2023,525673.1,449126.2,.0101,.0087,.55,.5600000000000001
DK,p56p57,2023,530949.6,457195.4,.0102,.0088,.5600000000000001,.57
DK,p57p58,2023,536127.2000000001,465180.3,.0103,.009,.57,.58
DK,p58p59,2023,538493.3,469757.4,.0104,.0091,.58,.59
DK,p59p60,2023,539693.3,473001.4,.0104,.0091,.59,.6
DK,p5p6,2023,226284.4,7934.400000000001,.0044,.0002,.05,.06
DK,p60p61,2023,545610.1,482210.9,.0105,.0093,.6,.61
DK,p61p62,2023,551446.4,491658.5,.0106,.0095,.61,.62
DK,p62p63,2023,555900.2000000001,499615.2,.0107,.0096,.62,.63
DK,p63p64,2023,559791.1,507119.9,.0108,.0098,.63,.64
DK,p64p65,2023,563179.4,514246.8,.0109,.0099,.64,.65
DK,p65p66,2023,564848.1,521880,.0109,.0101,.65,.66
DK,p66p67,2023,565816.1,531079.5,.0109,.0102,.66,.67
DK,p67p68,2023,566136.3,541331.8,.0109,.0104,.67,.68
DK,p68p69,2023,566179.6,549630.1,.0109,.0106,.68,.6899999999999999
DK,p69p70,2023,566759.5,557626,.0109,.0107,.6899999999999999,.7
DK,p6p7,2023,239850,23803.1,.0046,.0005,.06,.07
DK,p70p71,2023,567631.7000000001,565927.3,.0109,.0109,.7,.71
DK,p71p72,2023,567747.7000000001,573903.1,.0109,.0111,.71,.72
DK,p72p73,2023,568372.4,581092.3,.011,.0112,.72,.73
DK,p73p74,2023,568763.7000000001,589817.6,.011,.0114,.73,.74
DK,p74p75,2023,569263.2000000001,599579.6,.011,.0116,.74,.75
DK,p75p76,2023,569267.8,607388.7000000001,.011,.0117,.75,.76
DK,p76p77,2023,569368.4,620375.6,.011,.012,.76,.77
DK,p77p78,2023,575178.4,635578.8,.0111,.0122,.77,.78
DK,p78p79,2023,577201.2000000001,645875.4,.0111,.0124,.78,.79
DK,p79p80,2023,581687.5,659742.3,.0112,.0127,.79,.8
DK,p7p8,2023,253495.9,39671.8,.0049,.0008,.07,.08
DK,p80p81,2023,586028.4,673734,.0113,.013,.8,.8100000000000001
DK,p81p82,2023,589687.3,687134.8,.0114,.0132,.8100000000000001,.82
DK,p82p83,2023,593290.6,700818,.0114,.0135,.82,.83
DK,p83p84,2023,596123.7000000001,713828,.0115,.0138,.83,.84
DK,p84p85,2023,601281.1,730472.8,.0116,.0141,.84,.85
DK,p85p86,2023,613711.6,757795,.0118,.0146,.85,.86
DK,p86p87,2023,625621.7000000001,783343.9,.0121,.0151,.86,.87
DK,p87p88,2023,639276.9,812022.3,.0123,.0156,.87,.88
DK,p88p89,2023,660591,855332.2000000001,.0127,.0165,.88,.89
DK,p89p90,2023,662599.1000000001,862779.6000000001,.0128,.0166,.89,.9
DK,p8p9,2023,266869.7,55540.5,.0051,.0011,.08,.09
DK,p90p91,2023,680504.8,902728,.0131,.0174,.9,.91
DK,p91p92,2023,693991.5,935167.7000000001,.0134,.018,.91,.92
DK,p92p93,2023,711580.9,974671.1000000001,.0137,.0188,.92,.93
DK,p93p94,2023,734953.4,1024089.2,.0142,.0197,.93,.9399999999999999
DK,p94p95,2023,766895.5,1088152.9,.0148,.021,.9399999999999999,.95
DK,p95p96,2023,812443.5,1175396.6,.0157,.0227,.95,.96
DK,p96p97,2023,876768.9,1303189.5,.0169,.0251,.96,.97
DK,p97p98,2023,988860.3,1514183.5,.0191,.0292,.97,.98
DK,p98p99,2023,1236127.8,1958436.2,.0238,.0377,.98,.99
DK,p99.1p99.2,2023,1541081.5,2606174,.003,.005,.991,.992
DK,p99.2p99.3,2023,1609203.1,2795487,.0031,.0054,.992,.993
DK,p99.3p99.4,2023,1697840.5,3033146.9,.0033,.0058,.993,.9940000000000001
DK,p99.4p99.5,2023,1822317,3342391.5,.0035,.0064,.9940000000000001,.995
DK,p99.5p99.6,2023,1996945.4,3764398.6,.0038,.0073,.995,.996
DK,p99.6p99.7,2023,2265602.4,4383233.100000001,.0044,.0084,.996,.997
DK,p99.7p99.8,2023,2751473.5,5405220.300000001,.0053,.0104,.997,.998
DK,p99.8p99.9,2023,3843215.2,7547744.2,.0074,.0145,.998,.9990000000000001
DK,p99.9p100,2023,15572549.5,29107393.8,.03,.0561,.9990000000000001,1
DK,p99p99.1,2023,1488901.9,2451218.8,.0029,.0047,.99,.991
DK,p9p10,2023,289902.7,71409.2,.0056,.0014,.09,.1
