country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DM,p0p1,2023,0,0,0,0,0,.01
DM,p10p11,2023,4316.1,2077.4,.0013,.0006,.1,.11
DM,p11p12,2023,4961.3,2520.8,.0015,.0007,.11,.12
DM,p12p13,2023,5801.200000000001,2975.1,.0017,.0009,.12,.13
DM,p13p14,2023,7211.200000000001,3439.5,.0021,.001,.13,.14
DM,p14p15,2023,7677.1,3912.4,.0023,.0012,.14,.15
DM,p15p16,2023,9054,4393.5,.0027,.0013,.15,.16
DM,p16p17,2023,9441.700000000001,4881.8,.0028,.0015,.16,.17
DM,p17p18,2023,9930,5376.900000000001,.003,.0016,.17,.18
DM,p18p19,2023,10286.9,5878.200000000001,.0031,.0017,.18,.19
DM,p19p20,2023,10298.9,6385.700000000001,.0031,.0019,.19,.2
DM,p1p2,2023,0,0,0,0,.01,.02
DM,p20p21,2023,10336,6641.200000000001,.0031,.002,.2,.21
DM,p21p22,2023,10467.2,7172.8,.0031,.0021,.21,.22
DM,p22p23,2023,10488.2,7705.5,.0031,.0023,.22,.23
DM,p23p24,2023,10992.8,8238.5,.0033,.0025,.23,.24
DM,p24p25,2023,11040.1,8771.9,.0033,.0026,.24,.25
DM,p25p26,2023,11172.5,9305.9,.0033,.0028,.25,.26
DM,p26p27,2023,11318.2,9839.5,.0034,.0029,.26,.27
DM,p27p28,2023,11787.4,10373,.0035,.0031,.27,.28
DM,p28p29,2023,12309,10906.6,.0037,.0032,.28,.29
DM,p29p30,2023,12833.2,11439.2,.0038,.0034,.29,.3
DM,p2p3,2023,0,0,0,0,.02,.03
DM,p30p31,2023,13357.7,11971.6,.004,.0036,.3,.31
DM,p31p32,2023,13884.1,12502.7,.0041,.0037,.31,.32
DM,p32p33,2023,14408,13033.1,.0043,.0039,.32,.33
DM,p33p34,2023,14930.8,13562.3,.0044,.004,.33,.34
DM,p34p35,2023,15453.8,14090.3,.0046,.0042,.34,.35
DM,p35p36,2023,15977.3,14616.4,.0048,.0043,.35,.36
DM,p36p37,2023,16495.1,15141.4,.0049,.0045,.36,.37
DM,p37p38,2023,17007.2,15664.1,.0051,.0047,.37,.38
DM,p38p39,2023,17520,16185.3,.0052,.0048,.38,.39
DM,p39p40,2023,18028.5,16704.3,.0054,.005,.39,.4
DM,p3p4,2023,0,0,0,0,.03,.04
DM,p40p41,2023,18533.8,17220.8,.0055,.0051,.4,.41
DM,p41p42,2023,19025.9,17735.3,.0057,.0053,.41,.42
DM,p42p43,2023,19516,18247.3,.0058,.0054,.42,.43
DM,p43p44,2023,20002.3,18756.4,.006,.0056,.43,.44
DM,p44p45,2023,20483.2,19262.8,.0061,.0057,.44,.45
DM,p45p46,2023,20958.5,19766.3,.0062,.0059,.45,.46
DM,p46p47,2023,21434.9,20266.8,.0064,.006,.46,.47
DM,p47p48,2023,21904,20763.7,.0065,.0062,.47,.48
DM,p48p49,2023,22367.5,21257.2,.0067,.0063,.48,.49
DM,p49p50,2023,22830.7,21747.3,.0068,.0065,.49,.5
DM,p4p5,2023,0,0,0,0,.04,.05
DM,p50p51,2023,23285.1,22233.2,.0069,.0066,.5,.51
DM,p51p52,2023,23733.2,22714.9,.0071,.0068,.51,.52
DM,p52p53,2023,24177,23192,.0072,.0069,.52,.53
DM,p53p54,2023,24611.4,23664.6,.0073,.007,.53,.54
DM,p54p55,2023,25040.2,24132.1,.0074,.0072,.54,.55
DM,p55p56,2023,25463.3,24594.5,.0076,.0073,.55,.5600000000000001
DM,p56p57,2023,25875.7,25051.2,.0077,.0075,.5600000000000001,.57
DM,p57p58,2023,26283,25502.2,.0078,.0076,.57,.58
DM,p58p59,2023,26683.6,25947.6,.0079,.0077,.58,.59
DM,p59p60,2023,27077.1,26386.8,.0081,.0078,.59,.6
DM,p5p6,2023,2099.9,133.4,.0006,0,.05,.06
DM,p60p61,2023,27463.4,26820,.0082,.008,.6,.61
DM,p61p62,2023,27837.5,27247,.0083,.0081,.61,.62
DM,p62p63,2023,28205.2,27667.8,.0084,.0082,.62,.63
DM,p63p64,2023,28567.6,28082.7,.0085,.0084,.63,.64
DM,p64p65,2023,28922.5,28491.3,.0086,.0085,.64,.65
DM,p65p66,2023,29271.1,28894.6,.0087,.0086,.65,.66
DM,p66p67,2023,29611.1,29292,.0088,.0087,.66,.67
DM,p67p68,2023,29949,29685.1,.0089,.0088,.67,.68
DM,p68p69,2023,30281,30073.4,.009,.0089,.68,.6899999999999999
DM,p69p70,2023,30608,30458.9,.0091,.0091,.6899999999999999,.7
DM,p6p7,2023,2762.1,462.4,.0008,.0001,.06,.07
