country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DO,p0p1,2023,40377.8,41.6,.0005,0,0,.01
DO,p10p11,2023,44092.9,879.4000000000001,.0005,0,.1,.11
DO,p11p12,2023,44415.5,962.6,.0005,0,.11,.12
DO,p12p13,2023,44701.7,1051.1,.0005,0,.12,.13
DO,p13p14,2023,44998.3,1129.1,.0005,0,.13,.14
DO,p14p15,2023,45331.3,1217.6,.0005,0,.14,.15
DO,p15p16,2023,45648.7,1295.6,.0005,0,.15,.16
DO,p16p17,2023,46080.60000000001,1384.1,.0005,0,.16,.17
DO,p17p18,2023,46512.5,1467.3,.0005,0,.17,.18
DO,p18p19,2023,46949.60000000001,1550.6,.0005,0,.18,.19
DO,p19p20,2023,47381.4,1633.8,.0005,0,.19,.2
DO,p1p2,2023,41033.4,130.1,.0005,0,.01,.02
DO,p20p21,2023,62018.4,19278.3,.0007,.0002,.2,.21
DO,p21p22,2023,118318.3,80146.8,.0014,.0009,.21,.22
DO,p22p23,2023,148149,112298.1,.0017,.0013,.22,.23
DO,p23p24,2023,170294.3,136066.8,.002,.0016,.23,.24
DO,p24p25,2023,184910.4,151687.2,.0021,.0017,.24,.25
DO,p25p26,2023,207263.9,175554.9,.0024,.002,.25,.26
DO,p26p27,2023,228982.6,198761.7,.0026,.0023,.26,.27
DO,p27p28,2023,251127.9,222353.5,.0029,.0025,.27,.28
DO,p28p29,2023,268226,240487.1,.0031,.0028,.28,.29
DO,p29p30,2023,285672.7,258927.7,.0033,.003,.29,.3
DO,p2p3,2023,41678.60000000001,208.1,.0005,0,.02,.03
DO,p30p31,2023,304415.1,278684.7,.0035,.0032,.3,.31
DO,p31p32,2023,321539.2,296875.5,.0037,.0034,.31,.32
DO,p32p33,2023,339792.5,316221.4,.0039,.0036,.32,.33
DO,p33p34,2023,354070.4,331321.5,.0041,.0038,.33,.34
DO,p34p35,2023,369924.9,348060.6,.0042,.004,.34,.35
DO,p35p36,2023,386185.3,365210.7,.0044,.0042,.35,.36
DO,p36p37,2023,396238.1,375019,.0045,.0043,.36,.37
DO,p37p38,2023,407846.7,386466.3,.0047,.0044,.37,.38
DO,p38p39,2023,418654,397044.6,.0048,.0045,.38,.39
DO,p39p40,2023,434576.2,413008.4,.005,.0047,.39,.4
DO,p3p4,2023,41954.4,291.4,.0005,0,.03,.04
DO,p40p41,2023,449317.2,427687,.0051,.0049,.4,.41
DO,p41p42,2023,464807.5,443328.2,.0053,.0051,.41,.42
DO,p42p43,2023,477873,456393.7,.0055,.0052,.42,.43
DO,p43p44,2023,491443.3,469979.6,.0056,.0054,.43,.44
DO,p44p45,2023,500372.2,478653.5,.0057,.0055,.44,.45
DO,p45p46,2023,506486.1,484361.6,.0058,.0055,.45,.46
DO,p46p47,2023,522782.9,501480.5,.006,.0057,.46,.47
DO,p47p48,2023,534630.8,513906,.0061,.0059,.47,.48
DO,p48p49,2023,548185.5,528116.3,.0063,.006,.48,.49
DO,p49p50,2023,566433.5,547243.7000000001,.0065,.0063,.49,.5
DO,p4p5,2023,42235.4,379.8,.0005,0,.04,.05
DO,p50p51,2023,576730.9,557993.8,.0066,.0064,.5,.51
DO,p51p52,2023,588917.1,570950,.0067,.0065,.51,.52
DO,p52p53,2023,603340.7000000001,586237.4,.0069,.0067,.52,.53
DO,p53p54,2023,614043.9,597617.1,.007,.0068,.53,.54
DO,p54p55,2023,631240.9,615802.7000000001,.0072,.0071,.54,.55
DO,p55p56,2023,646876.9,632349.2000000001,.0074,.0072,.55,.5600000000000001
DO,p56p57,2023,656830.8,642563.3,.0075,.0074,.5600000000000001,.57
DO,p57p58,2023,672836.3,659130.7000000001,.0077,.0076,.57,.58
DO,p58p59,2023,687915.5,674714.7000000001,.0079,.0077,.58,.59
DO,p59p60,2023,709337.6000000001,696938,.0081,.008,.59,.6
DO,p5p6,2023,42531.9,457.9,.0005,0,.05,.06
DO,p60p61,2023,727710.5,715961.4,.0083,.0082,.6,.61
DO,p61p62,2023,739875.9,728532.6000000001,.0085,.0083,.61,.62
DO,p62p63,2023,754710.5,743903.2000000001,.0086,.0085,.62,.63
DO,p63p64,2023,770190.4,759939.9,.0088,.0087,.63,.64
DO,p64p65,2023,784562,774816.2000000001,.009,.0089,.64,.65
DO,p65p66,2023,801623.7000000001,792502.2000000001,.0092,.0091,.65,.66
DO,p66p67,2023,815563.4,807284.9,.0093,.0092,.66,.67
DO,p67p68,2023,837968.9,830934,.0096,.0095,.67,.68
DO,p68p69,2023,856716.4,850743,.0098,.0097,.68,.6899999999999999
DO,p69p70,2023,869521.8,864323.7000000001,.01,.0099,.6899999999999999,.7
DO,p6p7,2023,42838.9,546.3000000000001,.0005,0,.06,.07
DO,p70p71,2023,892442.4,888493.1000000001,.0102,.0102,.7,.71
DO,p71p72,2023,915274.6000000001,912860.3,.0105,.0105,.71,.72
DO,p72p73,2023,937763.4,936863.2000000001,.0107,.0107,.72,.73
DO,p73p74,2023,955407.8,955782.5,.0109,.0109,.73,.74
DO,p74p75,2023,971813.9,973406.1000000001,.0111,.0112,.74,.75
DO,p75p76,2023,998501.7000000001,1001779.8,.0114,.0115,.75,.76
DO,p76p77,2023,1030777.9,1035112.3,.0118,.0119,.76,.77
DO,p77p78,2023,1061243.4,1066556,.0122,.0122,.77,.78
DO,p78p79,2023,1097370,1103910.6,.0126,.0126,.78,.79
DO,p79p80,2023,1124630.2,1131998.1,.0129,.013,.79,.8
DO,p7p8,2023,43151.10000000001,629.6,.0005,0,.07,.08
DO,p80p81,2023,1159747.4,1168306.9,.0133,.0134,.8,.8100000000000001
DO,p81p82,2023,1200723.6,1210646.3,.0138,.0139,.8100000000000001,.82
DO,p82p83,2023,1251034.5,1262747.2,.0143,.0145,.82,.83
DO,p83p84,2023,1288415.2,1301350.6,.0148,.0149,.83,.84
DO,p84p85,2023,1347046.2,1362182.7,.0154,.0156,.84,.85
DO,p85p86,2023,1413529,1431235.9,.0162,.0164,.85,.86
DO,p86p87,2023,1472339.6,1492895.3,.0169,.0171,.86,.87
DO,p87p88,2023,1549484,1573765.3,.0177,.018,.87,.88
DO,p88p89,2023,1625931.2,1654023.9,.0186,.0189,.88,.89
DO,p89p90,2023,1712431.2,1744926,.0196,.02,.89,.9
DO,p8p9,2023,43458.10000000001,712.9000000000001,.0005,0,.08,.09
DO,p90p91,2023,1782712.5,1819075.9,.0204,.0208,.9,.91
DO,p91p92,2023,1853009.3,1893225.8,.0212,.0217,.91,.92
DO,p92p93,2023,1923103.3,1967373.1,.022,.0225,.92,.93
DO,p93p94,2023,1992973.5,2041523.1,.0228,.0234,.93,.9399999999999999
DO,p94p95,2023,2062596.5,2115670.4,.0236,.0242,.9399999999999999,.95
DO,p95p96,2023,2395874.5,2465968.4,.0274,.0282,.95,.96
DO,p96p97,2023,3134660.2,3243602.1,.0359,.0372,.96,.97
DO,p97p98,2023,3571140.8,3706364.7,.0409,.0425,.97,.98
DO,p98p99,2023,4832766.7,5037598,.0554,.0577,.98,.99
DO,p99.1p99.2,2023,7848611.7,8245664.100000001,.009,.0094,.991,.992
DO,p99.2p99.3,2023,8461432.800000001,8915188.4,.0097,.0102,.992,.993
DO,p99.3p99.4,2023,8907168.800000001,9411247.1,.0102,.0108,.993,.9940000000000001
DO,p99.4p99.5,2023,9178268.4,9723648,.0105,.0111,.9940000000000001,.995
DO,p99.5p99.6,2023,9301782.200000001,9879975.200000001,.0107,.0113,.995,.996
DO,p99.6p99.7,2023,9417406.5,10027320.3,.0108,.0115,.996,.997
DO,p99.7p99.8,2023,10089799.2,10768006.6,.0116,.0123,.997,.998
DO,p99.8p99.9,2023,13604028,14554086.2,.0156,.0167,.998,.9990000000000001
DO,p99.9p100,2023,54064930.1,58281952,.0619,.0668,.9990000000000001,1
DO,p99p99.1,2023,7089616.2,7426635.300000001,.0081,.0085,.99,.991
DO,p9p10,2023,43770.3,796.1,.0005,0,.09,.1
