country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
DZ,p0p1,2023,194403.9,0,.0021,0,0,.01
DZ,p10p11,2023,317459.1,112912.7,.0034,.0012,.1,.11
DZ,p11p12,2023,326838.4,133442.2,.0035,.0014,.11,.12
DZ,p12p13,2023,336760.3,153971.8,.0036,.0016,.12,.13
DZ,p13p14,2023,345166.4,174501.4,.0037,.0019,.13,.14
DZ,p14p15,2023,351738.1,195031,.0037,.0021,.14,.15
DZ,p15p16,2023,356771.7,215560.6,.0038,.0023,.15,.16
DZ,p16p17,2023,359467.5,236090.1,.0038,.0025,.16,.17
DZ,p17p18,2023,360088.3,256619.7,.0038,.0027,.17,.18
DZ,p18p19,2023,360474.2,277149.3,.0038,.003,.18,.19
DZ,p19p20,2023,361106.2,297678.9,.0038,.0032,.19,.2
DZ,p1p2,2023,216619,0,.0023,0,.01,.02
DZ,p20p21,2023,361682.3,307943.7,.0039,.0033,.2,.21
DZ,p21p22,2023,364618.5,311848.2,.0039,.0033,.21,.22
DZ,p22p23,2023,369143.2,317335.3,.0039,.0034,.22,.23
DZ,p23p24,2023,375552.7,324684.6,.004,.0035,.23,.24
DZ,p24p25,2023,382812.3,332884.4,.0041,.0035,.24,.25
DZ,p25p26,2023,391045,342059.4,.0042,.0036,.25,.26
DZ,p26p27,2023,399814.7,351442.4,.0043,.0037,.26,.27
DZ,p27p28,2023,408981.5,361238.3,.0044,.0038,.27,.28
DZ,p28p29,2023,417913.4,370806.9,.0045,.004,.28,.29
DZ,p29p30,2023,427119.3,380661.6,.0046,.0041,.29,.3
DZ,p2p3,2023,237849.7,0,.0025,0,.02,.03
DZ,p30p31,2023,437085.9,391270.3,.0047,.0042,.3,.31
DZ,p31p32,2023,448534.6,402804.3,.0048,.0043,.31,.32
DZ,p32p33,2023,457030.2,411426.3,.0049,.0044,.32,.33
DZ,p33p34,2023,458915,413523.1,.0049,.0044,.33,.34
DZ,p34p35,2023,460889.3,415699,.0049,.0044,.34,.35
DZ,p35p36,2023,462393.8,417415.8,.0049,.0044,.35,.36
DZ,p36p37,2023,463993.4,419399.1,.0049,.0045,.36,.37
DZ,p37p38,2023,465872.6,421651.2,.005,.0045,.37,.38
DZ,p38p39,2023,467729.4,423882.1,.005,.0045,.38,.39
DZ,p39p40,2023,469603,426131.2,.005,.0045,.39,.4
DZ,p3p4,2023,256155.3,0,.0027,0,.03,.04
