country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
EC,p0p1,2023,505.3,.2,.0006,0,0,.01
EC,p10p11,2023,1491.7,4.100000000000001,.0017,0,.1,.11
EC,p11p12,2023,1613.5,4.5,.0019,0,.11,.12
EC,p12p13,2023,1660.4,4.9,.0019,0,.12,.13
EC,p13p14,2023,1743.1,5.300000000000001,.002,0,.13,.14
EC,p14p15,2023,1878.6,5.7,.0022,0,.14,.15
EC,p15p16,2023,1910.5,6.100000000000001,.0022,0,.15,.16
EC,p16p17,2023,2026.4,6.5,.0024,0,.16,.17
EC,p17p18,2023,2191,6.9,.0025,0,.17,.18
EC,p18p19,2023,2235.2,75.8,.0026,.0001,.18,.19
EC,p19p20,2023,2282.9,654.1,.0027,.0008,.19,.2
EC,p1p2,2023,607.1,.6000000000000001,.0007,0,.01,.02
EC,p20p21,2023,2404.6,924.7,.0028,.0011,.2,.21
EC,p21p22,2023,2431.6,1120.2,.0028,.0013,.21,.22
EC,p22p23,2023,2546.4,1314.7,.003,.0015,.22,.23
EC,p23p24,2023,2657.8,1494.3,.0031,.0017,.23,.24
EC,p24p25,2023,2825.7,1716.1,.0033,.002,.24,.25
EC,p25p26,2023,2945.5,1879.4,.0034,.0022,.25,.26
EC,p26p27,2023,3010.8,1975.1,.0035,.0023,.26,.27
EC,p27p28,2023,3102.3,2131.6,.0036,.0025,.27,.28
EC,p28p29,2023,3193.3,2287.1,.0037,.0027,.28,.29
EC,p29p30,2023,3254.8,2379.4,.0038,.0028,.29,.3
EC,p2p3,2023,691.6,1,.0008,0,.02,.03
EC,p30p31,2023,3377.6,2559.2,.0039,.003,.3,.31
EC,p31p32,2023,3574.5,2770.3,.0042,.0032,.31,.32
EC,p32p33,2023,3663.8,2897.4,.0043,.0034,.32,.33
EC,p33p34,2023,3767,3026.5,.0044,.0035,.33,.34
EC,p34p35,2023,3864,3169.4,.0045,.0037,.34,.35
EC,p35p36,2023,3997.6,3336.6,.0046,.0039,.35,.36
EC,p36p37,2023,4122.3,3489,.0048,.0041,.36,.37
EC,p37p38,2023,4259.6,3641.7,.005,.0042,.37,.38
EC,p38p39,2023,4433.2,3830.6,.0052,.0045,.38,.39
EC,p39p40,2023,4504,3903.3,.0052,.0045,.39,.4
EC,p3p4,2023,794.2,1.3,.0009,0,.03,.04
EC,p40p41,2023,4565.3,3976.2,.0053,.0046,.4,.41
EC,p41p42,2023,4681.400000000001,4108.6,.0054,.0048,.41,.42
EC,p42p43,2023,4852.6,4299.900000000001,.0056,.005,.42,.43
EC,p43p44,2023,4937.5,4397.7,.0057,.0051,.43,.44
EC,p44p45,2023,5013.400000000001,4500.7,.0058,.0052,.44,.45
EC,p45p46,2023,5101.8,4629.6,.0059,.0054,.45,.46
EC,p46p47,2023,5160.5,4706.8,.006,.0055,.46,.47
EC,p47p48,2023,5272,4845.5,.0061,.0056,.47,.48
EC,p48p49,2023,5357.3,4949.5,.0062,.0058,.48,.49
EC,p49p50,2023,5483.1,5107.200000000001,.0064,.0059,.49,.5
EC,p4p5,2023,912,1.8,.0011,0,.04,.05
EC,p50p51,2023,5613.400000000001,5277.8,.0065,.0061,.5,.51
EC,p51p52,2023,5795.1,5476.3,.0067,.0064,.51,.52
EC,p52p53,2023,5960.700000000001,5691.400000000001,.0069,.0066,.52,.53
EC,p53p54,2023,6036.6,5799.900000000001,.007,.0067,.53,.54
EC,p54p55,2023,6157.400000000001,5946.3,.0072,.0069,.54,.55
EC,p55p56,2023,6309.400000000001,6116,.0073,.0071,.55,.5600000000000001
EC,p56p57,2023,6495.700000000001,6325.5,.0076,.0074,.5600000000000001,.57
EC,p57p58,2023,6590.6,6439.400000000001,.0077,.0075,.57,.58
EC,p58p59,2023,6721.200000000001,6613.6,.0078,.0077,.58,.59
EC,p59p60,2023,6932.900000000001,6845.8,.0081,.008,.59,.6
EC,p5p6,2023,1006.7,2.2,.0012,0,.05,.06
EC,p60p61,2023,7105.700000000001,7037.5,.0083,.0082,.6,.61
EC,p61p62,2023,7252,7220.700000000001,.0084,.0084,.61,.62
EC,p62p63,2023,7426.1,7406.700000000001,.0086,.0086,.62,.63
EC,p63p64,2023,7667.700000000001,7669.900000000001,.0089,.0089,.63,.64
EC,p64p65,2023,7823,7822.1,.0091,.0091,.64,.65
EC,p65p66,2023,7926.400000000001,7936.400000000001,.0092,.0092,.65,.66
EC,p66p67,2023,8039.700000000001,8068,.0093,.0094,.66,.67
EC,p67p68,2023,8254,8311.5,.0096,.0097,.67,.68
EC,p68p69,2023,8504,8584.700000000001,.0099,.01,.68,.6899999999999999
EC,p69p70,2023,8653.9,8751.300000000001,.0101,.0102,.6899999999999999,.7
EC,p6p7,2023,1092.4,2.6,.0013,0,.06,.07
EC,p70p71,2023,8682.5,8820.300000000001,.0101,.0103,.7,.71
EC,p71p72,2023,8823.4,9006,.0103,.0105,.71,.72
EC,p72p73,2023,8985.700000000001,9219.9,.0104,.0107,.72,.73
EC,p73p74,2023,9130.1,9409.5,.0106,.0109,.73,.74
EC,p74p75,2023,9307.6,9637.200000000001,.0108,.0112,.74,.75
EC,p75p76,2023,9457.300000000001,9835.200000000001,.011,.0114,.75,.76
EC,p76p77,2023,9673.4,10073,.0112,.0117,.76,.77
EC,p77p78,2023,9908.900000000001,10354.3,.0115,.012,.77,.78
EC,p78p79,2023,10227.4,10740.6,.0119,.0125,.78,.79
EC,p79p80,2023,10543.3,11154.3,.0123,.013,.79,.8
EC,p7p8,2023,1177.9,2.9,.0014,0,.07,.08
EC,p80p81,2023,10881.9,11569.3,.0127,.0135,.8,.8100000000000001
EC,p81p82,2023,11103.2,11843,.0129,.0138,.8100000000000001,.82
EC,p82p83,2023,11499,12317.1,.0134,.0143,.82,.83
EC,p83p84,2023,11947.7,12863,.0139,.015,.83,.84
EC,p84p85,2023,12392.9,13397.3,.0144,.0156,.84,.85
EC,p85p86,2023,12880.2,13990.7,.015,.0163,.85,.86
EC,p86p87,2023,13404.6,14586.7,.0156,.017,.86,.87
EC,p87p88,2023,14030.4,15274.3,.0163,.0178,.87,.88
