country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
EE,p0p1,2023,5788.5,0,.002,0,0,.01
EE,p10p11,2023,10423.6,3602.4,.0036,.0012,.1,.11
EE,p11p12,2023,10614.8,4257.400000000001,.0037,.0015,.11,.12
EE,p12p13,2023,10795.7,4912.400000000001,.0037,.0017,.12,.13
EE,p13p14,2023,10974.8,5567.400000000001,.0038,.0019,.13,.14
EE,p14p15,2023,11111,6222.3,.0038,.0021,.14,.15
EE,p15p16,2023,11208.8,6877.3,.0039,.0024,.15,.16
EE,p16p17,2023,11339.5,7532.3,.0039,.0026,.16,.17
EE,p17p18,2023,11463.6,8187.3,.0039,.0028,.17,.18
EE,p18p19,2023,11613,8842.300000000001,.004,.003,.18,.19
EE,p19p20,2023,11768.8,9497.300000000001,.004,.0033,.19,.2
EE,p1p2,2023,6074.5,0,.0021,0,.01,.02
EE,p20p21,2023,11907.8,9824.700000000001,.0041,.0034,.2,.21
EE,p21p22,2023,11958.5,9911.1,.0041,.0034,.21,.22
EE,p22p23,2023,12034.9,10029.7,.0041,.0034,.22,.23
EE,p23p24,2023,12140.6,10185.7,.0042,.0035,.23,.24
EE,p24p25,2023,12239.1,10329.9,.0042,.0036,.24,.25
EE,p25p26,2023,12373.8,10520.1,.0043,.0036,.25,.26
EE,p26p27,2023,12479.5,10678.1,.0043,.0037,.26,.27
EE,p27p28,2023,12601.3,10855.6,.0043,.0037,.27,.28
EE,p28p29,2023,12691.5,10989.9,.0044,.0038,.28,.29
EE,p29p30,2023,12821.1,11175.3,.0044,.0038,.29,.3
EE,p2p3,2023,6206.700000000001,0,.0021,0,.02,.03
EE,p30p31,2023,12967.1,11381.3,.0045,.0039,.3,.31
EE,p31p32,2023,13110.1,11600,.0045,.004,.31,.32
EE,p32p33,2023,13272,11843.2,.0046,.0041,.32,.33
EE,p33p34,2023,13425,12074.7,.0046,.0042,.33,.34
EE,p34p35,2023,13636.3,12381.7,.0047,.0043,.34,.35
EE,p35p36,2023,13941.6,12810.3,.0048,.0044,.35,.36
EE,p36p37,2023,14417.7,13202.6,.005,.0045,.36,.37
EE,p37p38,2023,14877,13572.4,.0051,.0047,.37,.38
EE,p38p39,2023,15348.2,13955.9,.0053,.0048,.38,.39
EE,p39p40,2023,15786,14295.3,.0054,.0049,.39,.4
EE,p3p4,2023,6683.700000000001,0,.0023,0,.03,.04
EE,p40p41,2023,16316.6,14753.3,.0056,.0051,.4,.41
EE,p41p42,2023,16843,15217.2,.0058,.0052,.41,.42
EE,p42p43,2023,17381.9,15696.8,.006,.0054,.42,.43
EE,p43p44,2023,17938.6,16198,.0062,.0056,.43,.44
EE,p44p45,2023,18468.3,16663.9,.0064,.0057,.44,.45
EE,p45p46,2023,18953.3,17071,.0065,.0059,.45,.46
EE,p46p47,2023,19218.4,17472.1,.0066,.006,.46,.47
EE,p47p48,2023,19534.3,17938,.0067,.0062,.47,.48
EE,p48p49,2023,19817.7,18360.7,.0068,.0063,.48,.49
EE,p49p50,2023,20073.9,18748.1,.0069,.0064,.49,.5
EE,p4p5,2023,7294.6,0,.0025,0,.04,.05
EE,p50p51,2023,20420.6,19250.3,.007,.0066,.5,.51
EE,p51p52,2023,20646.4,19603.4,.0071,.0067,.51,.52
EE,p52p53,2023,20874.9,19959.4,.0072,.0069,.52,.53
EE,p53p54,2023,21131.8,20350.8,.0073,.007,.53,.54
EE,p54p55,2023,21485.2,20864.7,.0074,.0072,.54,.55
EE,p55p56,2023,21806.1,21335.5,.0075,.0073,.55,.5600000000000001
EE,p56p57,2023,22285.8,21783.7,.0077,.0075,.5600000000000001,.57
EE,p57p58,2023,22840,22325.1,.0079,.0077,.57,.58
EE,p58p59,2023,23357.2,22817.5,.008,.0078,.58,.59
EE,p59p60,2023,23830.9,23252,.0082,.008,.59,.6
EE,p5p6,2023,7819.200000000001,327.5,.0027,.0001,.05,.06
EE,p60p61,2023,24377.8,23777.7,.0084,.0082,.6,.61
EE,p61p62,2023,24891.9,24262.2,.0086,.0083,.61,.62
EE,p62p63,2023,25425.4,24769.3,.0087,.0085,.62,.63
EE,p63p64,2023,26005.9,25334.3,.0089,.0087,.63,.64
EE,p64p65,2023,26478.8,25759.9,.0091,.0089,.64,.65
EE,p65p66,2023,27071.7,26336.6,.0093,.0091,.65,.66
EE,p66p67,2023,27305.4,26745.6,.0094,.0092,.66,.67
EE,p67p68,2023,27563.1,27184.1,.0095,.0093,.67,.68
EE,p68p69,2023,27859.7,27670.5,.0096,.0095,.68,.6899999999999999
EE,p69p70,2023,28182.8,28189.4,.0097,.0097,.6899999999999999,.7
EE,p6p7,2023,8325.200000000001,982.5,.0029,.0003,.06,.07
EE,p70p71,2023,28635.7,28871,.0098,.0099,.7,.71
