country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
EG,p0p1,2023,24239.3,0,.0012,0,0,.01
EG,p10p11,2023,59456.3,24521,.003,.0012,.1,.11
EG,p11p12,2023,61135.4,28979.4,.0031,.0015,.11,.12
EG,p12p13,2023,62844.8,33437.7,.0032,.0017,.12,.13
EG,p13p14,2023,64534.4,37896.1,.0033,.0019,.13,.14
EG,p14p15,2023,65860.10000000001,42354.5,.0034,.0022,.14,.15
EG,p15p16,2023,66733,46812.8,.0034,.0024,.15,.16
EG,p16p17,2023,67713.5,51271.2,.0034,.0026,.16,.17
EG,p17p18,2023,68615.7,55729.60000000001,.0035,.0028,.17,.18
EG,p18p19,2023,69529.5,60187.9,.0035,.0031,.18,.19
EG,p19p20,2023,70445.7,64646.3,.0036,.0033,.19,.2
EG,p1p2,2023,46182.9,0,.0024,0,.01,.02
EG,p20p21,2023,71443.7,66875.5,.0036,.0034,.2,.21
EG,p21p22,2023,72278,67819.90000000001,.0037,.0035,.21,.22
EG,p22p23,2023,73025.7,68673.40000000001,.0037,.0035,.22,.23
EG,p23p24,2023,73909.10000000001,69666.60000000001,.0038,.0035,.23,.24
EG,p24p25,2023,74732.8,70595.7,.0038,.0036,.24,.25
EG,p25p26,2023,75645.5,71616.3,.0039,.0036,.25,.26
EG,p26p27,2023,76638.90000000001,72706.3,.0039,.0037,.26,.27
EG,p27p28,2023,79027,75242.60000000001,.004,.0038,.27,.28
EG,p28p29,2023,81693.60000000001,78063.60000000001,.0042,.004,.28,.29
EG,p29p30,2023,84474.90000000001,80999.3,.0043,.0041,.29,.3
EG,p2p3,2023,48548.8,0,.0025,0,.02,.03
EG,p30p31,2023,86020.60000000001,82648.5,.0044,.0042,.3,.31
EG,p31p32,2023,86474.5,83056.3,.0044,.0042,.31,.32
EG,p32p33,2023,86922.70000000001,83458.20000000001,.0044,.0043,.32,.33
EG,p33p34,2023,87326.40000000001,83813.10000000001,.0044,.0043,.33,.34
EG,p34p35,2023,87829.5,84269.3,.0045,.0043,.34,.35
EG,p35p36,2023,88186.40000000001,84574.70000000001,.0045,.0043,.35,.36
EG,p36p37,2023,88615.8,84967.70000000001,.0045,.0043,.36,.37
EG,p37p38,2023,89130.60000000001,85448.90000000001,.0045,.0044,.37,.38
EG,p38p39,2023,89638.40000000001,85923.20000000001,.0046,.0044,.38,.39
EG,p39p40,2023,90890.40000000001,87165.8,.0046,.0044,.39,.4
EG,p3p4,2023,49797.3,0,.0025,0,.03,.04
EG,p40p41,2023,93287.90000000001,89592.60000000001,.0048,.0046,.4,.41
EG,p41p42,2023,95250.10000000001,91595.90000000001,.0049,.0047,.41,.42
EG,p42p43,2023,97222.90000000001,93609.20000000001,.005,.0048,.42,.43
EG,p43p44,2023,99281,95712.8,.0051,.0049,.43,.44
EG,p44p45,2023,101327.5,97802,.0052,.005,.44,.45
EG,p45p46,2023,103389.2,99909.5,.0053,.0051,.45,.46
EG,p46p47,2023,105377.1,101930.8,.0054,.0052,.46,.47
EG,p47p48,2023,107217.7,103799.8,.0055,.0053,.47,.48
EG,p48p49,2023,108964.6,105571.6,.0056,.0054,.48,.49
EG,p49p50,2023,110524.3,107150.3,.0056,.0055,.49,.5
EG,p4p5,2023,51087.9,0,.0026,0,.04,.05
EG,p50p51,2023,112000.9,108643.4,.0057,.0055,.5,.51
EG,p51p52,2023,113344.2,110061.2,.0058,.0056,.51,.52
EG,p52p53,2023,114604.4,111396.4,.0058,.0057,.52,.53
EG,p53p54,2023,115814.2,112677.9,.0059,.0057,.53,.54
EG,p54p55,2023,117100.1,114040.4,.006,.0058,.54,.55
EG,p55p56,2023,118530,115550.7,.006,.0059,.55,.5600000000000001
EG,p56p57,2023,120089.7,117205.5,.0061,.006,.5600000000000001,.57
EG,p57p58,2023,121787.5,119002.1,.0062,.0061,.57,.58
EG,p58p59,2023,123724,121047.9,.0063,.0062,.58,.59
EG,p59p60,2023,125840.6,123280.5,.0064,.0063,.59,.6
EG,p5p6,2023,52362.10000000001,2229.2,.0027,.0001,.05,.06
EG,p60p61,2023,128150.4,125714.9,.0065,.0064,.6,.61
EG,p61p62,2023,130647.3,128362.8,.0067,.0065,.61,.62
EG,p62p63,2023,133239,131111.5,.0068,.0067,.62,.63
EG,p63p64,2023,135924.3,133957.6,.0069,.0068,.63,.64
EG,p64p65,2023,138681,136882.3,.0071,.007,.64,.65
EG,p65p66,2023,141564.1,139939.8,.0072,.0071,.65,.66
EG,p66p67,2023,144451.9,143005.6,.0074,.0073,.66,.67
EG,p67p68,2023,147347.8,146083.1,.0075,.0074,.67,.68
EG,p68p69,2023,150290.6,149212.2,.0077,.0076,.68,.6899999999999999
EG,p69p70,2023,153221.6,152334.8,.0078,.0078,.6899999999999999,.7
EG,p6p7,2023,53684.3,6687.5,.0027,.0003,.06,.07
EG,p70p71,2023,156070.7,155377.4,.008,.0079,.7,.71
EG,p71p72,2023,158930.4,158496.1,.0081,.0081,.71,.72
EG,p72p73,2023,161876.7,161711,.0082,.0082,.72,.73
EG,p73p74,2023,164959.8,165078.6,.0084,.0084,.73,.74
EG,p74p75,2023,168250.1,168667.5,.0086,.0086,.74,.75
EG,p75p76,2023,171887.8,172629,.0088,.0088,.75,.76
EG,p76p77,2023,175936.3,177022,.009,.009,.76,.77
EG,p77p78,2023,180373.2,181834.8,.0092,.0093,.77,.78
EG,p78p79,2023,185139,187003.6,.0094,.0095,.78,.79
EG,p79p80,2023,190207.7,192502.2,.0097,.0098,.79,.8
