country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ER,p0p1,2023,1147.4,0,.0007,0,0,.01
ER,p10p11,2023,4303.8,2154.7,.0025,.0013,.1,.11
ER,p11p12,2023,4491.2,2546.4,.0026,.0015,.11,.12
ER,p12p13,2023,4672.7,2938.2,.0027,.0017,.12,.13
ER,p13p14,2023,4864.1,3330,.0028,.0019,.13,.14
ER,p14p15,2023,5037.8,3721.7,.0029,.0022,.14,.15
ER,p15p16,2023,5216.900000000001,4113.5,.003,.0024,.15,.16
ER,p16p17,2023,5400.400000000001,4505.2,.0032,.0026,.16,.17
ER,p17p18,2023,5577.8,4897,.0033,.0029,.17,.18
ER,p18p19,2023,5759.400000000001,5288.8,.0034,.0031,.18,.19
ER,p19p20,2023,5927.1,5680.5,.0035,.0033,.19,.2
ER,p1p2,2023,1583.4,0,.0009,0,.01,.02
ER,p20p21,2023,6107.8,5876.400000000001,.0036,.0034,.2,.21
ER,p21p22,2023,6261,6040.3,.0037,.0035,.21,.22
ER,p22p23,2023,6422.1,6212.200000000001,.0038,.0036,.22,.23
ER,p23p24,2023,6583.400000000001,6383.900000000001,.0038,.0037,.23,.24
ER,p24p25,2023,6757.6,6568.8,.0039,.0038,.24,.25
ER,p25p26,2023,6933.5,6754.8,.0041,.0039,.25,.26
ER,p26p27,2023,7106.700000000001,6935.8,.0042,.0041,.26,.27
ER,p27p28,2023,7271.5,7107.700000000001,.0042,.0042,.27,.28
ER,p28p29,2023,7438.200000000001,7281.3,.0043,.0043,.28,.29
ER,p29p30,2023,7597.400000000001,7446.700000000001,.0044,.0044,.29,.3
ER,p2p3,2023,2081.5,0,.0012,0,.02,.03
ER,p30p31,2023,7766.8,7622.400000000001,.0045,.0045,.3,.31
ER,p31p32,2023,7925.900000000001,7787.900000000001,.0046,.0046,.31,.32
ER,p32p33,2023,8088.400000000001,7956.700000000001,.0047,.0046,.32,.33
ER,p33p34,2023,8254,8128.700000000001,.0048,.0048,.33,.34
ER,p34p35,2023,8424,8304.9,.0049,.0049,.34,.35
ER,p35p36,2023,8588.4,8475.6,.005,.005,.35,.36
ER,p36p37,2023,8753.4,8647.200000000001,.0051,.0051,.36,.37
ER,p37p38,2023,8907.6,8807.700000000001,.0052,.0051,.37,.38
ER,p38p39,2023,9087.1,8994,.0053,.0053,.38,.39
ER,p39p40,2023,9257.5,9170.800000000001,.0054,.0054,.39,.4
ER,p3p4,2023,2451.6,0,.0014,0,.03,.04
ER,p40p41,2023,9431.200000000001,9350.700000000001,.0055,.0055,.4,.41
ER,p41p42,2023,9615.6,9545.4,.0056,.0056,.41,.42
ER,p42p43,2023,9791.9,9731.9,.0057,.0057,.42,.43
