country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ES,p0p1,2023,8039.700000000001,0,.0025,0,0,.01
ES,p10p11,2023,14623.7,5073,.0046,.0016,.1,.11
ES,p11p12,2023,15015.3,5995.3,.0047,.0019,.11,.12
ES,p12p13,2023,15204,6917.700000000001,.0048,.0022,.12,.13
ES,p13p14,2023,15427.6,7840,.0048,.0025,.13,.14
ES,p14p15,2023,15701.7,8762.4,.0049,.0027,.14,.15
ES,p15p16,2023,15957.3,9684.700000000001,.005,.003,.15,.16
ES,p16p17,2023,16261.2,10607.1,.0051,.0033,.16,.17
ES,p17p18,2023,16675.6,11529.4,.0052,.0036,.17,.18
ES,p18p19,2023,17014.5,12451.8,.0053,.0039,.18,.19
ES,p19p20,2023,17357.8,13374.1,.0054,.0042,.19,.2
ES,p1p2,2023,8127.700000000001,0,.0025,0,.01,.02
ES,p20p21,2023,17721.6,13835.3,.0056,.0043,.2,.21
ES,p21p22,2023,17904,14161.3,.0056,.0044,.21,.22
ES,p22p23,2023,18542,15008.9,.0058,.0047,.22,.23
ES,p23p24,2023,19134.6,15804.3,.006,.005,.23,.24
ES,p24p25,2023,19418.4,16246.7,.0061,.0051,.24,.25
ES,p25p26,2023,19651.2,16631.9,.0062,.0052,.25,.26
ES,p26p27,2023,19698.7,16681,.0062,.0052,.26,.27
ES,p27p28,2023,19892.9,16897.7,.0062,.0053,.27,.28
ES,p28p29,2023,20015.4,17033.1,.0063,.0053,.28,.29
ES,p29p30,2023,20019.2,17034.1,.0063,.0053,.29,.3
ES,p2p3,2023,8234.4,0,.0026,0,.02,.03
ES,p30p31,2023,20200.6,17236.7,.0063,.0054,.3,.31
ES,p31p32,2023,20282.4,17346.1,.0064,.0054,.31,.32
ES,p32p33,2023,20383.4,17477.5,.0064,.0055,.32,.33
ES,p33p34,2023,20655.7,17803.5,.0065,.0056,.33,.34
ES,p34p35,2023,21263,18509.6,.0067,.0058,.34,.35
ES,p35p36,2023,21568.6,18873.7,.0068,.0059,.35,.36
ES,p36p37,2023,21978,19351.2,.0069,.0061,.36,.37
ES,p37p38,2023,22400.4,19843.7,.007,.0062,.37,.38
ES,p38p39,2023,22518.1,19990.2,.0071,.0063,.38,.39
ES,p39p40,2023,23034.5,20590,.0072,.0065,.39,.4
ES,p3p4,2023,8474.1,0,.0027,0,.03,.04
ES,p40p41,2023,23650.3,21303.2,.0074,.0067,.4,.41
ES,p41p42,2023,24129.2,21874.9,.0076,.0069,.41,.42
ES,p42p43,2023,24339.9,22141.7,.0076,.0069,.42,.43
ES,p43p44,2023,24710.2,22591.1,.0077,.0071,.43,.44
ES,p44p45,2023,24752.6,22666.3,.0078,.0071,.44,.45
ES,p45p46,2023,25165.7,23164.9,.0079,.0073,.45,.46
ES,p46p47,2023,25655,23762.7,.008,.0074,.46,.47
ES,p47p48,2023,25986.1,24180,.0081,.0076,.47,.48
ES,p48p49,2023,26309,24588.2,.0082,.0077,.48,.49
ES,p49p50,2023,26707.1,25082.7,.0084,.0079,.49,.5
ES,p4p5,2023,9005.1,0,.0028,0,.04,.05
ES,p50p51,2023,27302.3,25803.9,.0086,.0081,.5,.51
ES,p51p52,2023,27679.3,26283.4,.0087,.0082,.51,.52
ES,p52p53,2023,28041.4,26746.8,.0088,.0084,.52,.53
ES,p53p54,2023,28518.9,27343.6,.0089,.0086,.53,.54
ES,p54p55,2023,28691.2,27590.4,.009,.0086,.54,.55
ES,p55p56,2023,28975.5,27966.6,.0091,.0088,.55,.5600000000000001
ES,p56p57,2023,29118.9,28267.5,.0091,.0089,.5600000000000001,.57
ES,p57p58,2023,29146.1,28400.9,.0091,.0089,.57,.58
ES,p58p59,2023,29170.9,28446,.0091,.0089,.58,.59
ES,p59p60,2023,29486.6,28977.6,.0092,.0091,.59,.6
ES,p5p6,2023,9905.200000000001,461.2,.0031,.0001,.05,.06
ES,p60p61,2023,29671,29298.6,.0093,.0092,.6,.61
ES,p61p62,2023,30094.2,29903.5,.0094,.0094,.61,.62
ES,p62p63,2023,30648.2,30662.8,.0096,.0096,.62,.63
ES,p63p64,2023,30923,31099.1,.0097,.0097,.63,.64
ES,p64p65,2023,31086.2,31406.1,.0097,.0098,.64,.65
ES,p65p66,2023,31355.6,31838.4,.0098,.01,.65,.66
ES,p66p67,2023,32078,32687,.0101,.0102,.66,.67
ES,p67p68,2023,32681.2,33398.2,.0102,.0105,.67,.68
ES,p68p69,2023,33285.2,34111.4,.0104,.0107,.68,.6899999999999999
ES,p69p70,2023,33440.4,34298.9,.0105,.0107,.6899999999999999,.7
ES,p6p7,2023,11213.4,1383.5,.0035,.0004,.06,.07
ES,p70p71,2023,33852.5,34788.4,.0106,.0109,.7,.71
ES,p71p72,2023,34320.4,35345.1,.0108,.0111,.71,.72
ES,p72p73,2023,34796.9,35912.9,.0109,.0113,.72,.73
ES,p73p74,2023,35061.1,36229.8,.011,.0114,.73,.74
ES,p74p75,2023,35625.1,36900.9,.0112,.0116,.74,.75
ES,p75p76,2023,36101.8,37468.6,.0113,.0117,.75,.76
ES,p76p77,2023,36575.9,38110.6,.0115,.0119,.76,.77
ES,p77p78,2023,37083.4,38792.7,.0116,.0122,.77,.78
ES,p78p79,2023,37838.3,39769.7,.0119,.0125,.78,.79
ES,p79p80,2023,38645.3,40810.8,.0121,.0128,.79,.8
ES,p7p8,2023,12040,2305.9,.0038,.0007,.07,.08
ES,p80p81,2023,39140.7,41484.9,.0123,.013,.8,.8100000000000001
ES,p81p82,2023,39646,42178,.0124,.0132,.8100000000000001,.82
ES,p82p83,2023,40308.5,43063.7,.0126,.0135,.82,.83
ES,p83p84,2023,41003.3,43995.60000000001,.0129,.0138,.83,.84
ES,p84p85,2023,41751.7,45000.7,.0131,.0141,.84,.85
ES,p85p86,2023,42133.5,45577.4,.0132,.0143,.85,.86
ES,p86p87,2023,42672.7,46350.8,.0134,.0145,.86,.87
ES,p87p88,2023,43860.3,47919.60000000001,.0137,.015,.87,.88
ES,p88p89,2023,44812.4,49223.60000000001,.014,.0154,.88,.89
ES,p89p90,2023,46804.2,51807.5,.0147,.0162,.89,.9
ES,p8p9,2023,12781.1,3228.2,.004,.001,.08,.09
ES,p90p91,2023,48461.9,54015.2,.0152,.0169,.9,.91
ES,p91p92,2023,50334.4,56587.10000000001,.0158,.0177,.91,.92
ES,p92p93,2023,52619.2,59704.60000000001,.0165,.0187,.92,.93
ES,p93p94,2023,55484,63583.5,.0174,.0199,.93,.9399999999999999
ES,p94p95,2023,59207.7,68581.8,.0186,.0215,.9399999999999999,.95
ES,p95p96,2023,64286.9,75336.5,.0201,.0236,.95,.96
ES,p96p97,2023,71381.3,85129.40000000001,.0224,.0267,.96,.97
ES,p97p98,2023,83104.10000000001,101038.1,.026,.0317,.97,.98
ES,p98p99,2023,107205.7,133245.6,.0336,.0418,.98,.99
ES,p99.1p99.2,2023,137916.6,175746.6,.0043,.0055,.991,.992
ES,p99.2p99.3,2023,145008,185975.9,.0045,.0058,.992,.993
ES,p99.3p99.4,2023,151390.2,195354.6,.0047,.0061,.993,.9940000000000001
ES,p99.4p99.5,2023,162175.6,210418.7,.0051,.0066,.9940000000000001,.995
ES,p99.5p99.6,2023,180195,235519.5,.0056,.0074,.995,.996
ES,p99.6p99.7,2023,218655.9,287912.8,.0069,.009,.996,.997
ES,p99.7p99.8,2023,280704.3,370791.3,.0088,.0116,.997,.998
ES,p99.8p99.9,2023,381444.8,503337.8,.012,.0158,.998,.9990000000000001
ES,p99.9p100,2023,1177187.5,1535960.7,.0369,.0481,.9990000000000001,1
ES,p99p99.1,2023,131554.1,166384,.0041,.0052,.99,.991
ES,p9p10,2023,13817.8,4150.6,.0043,.0013,.09,.1
