country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ET,p0p1,2023,11057.5,0,.0006,0,0,.01
ET,p10p11,2023,46532.3,23609.6,.0025,.0013,.1,.11
ET,p11p12,2023,48638.9,27902.3,.0026,.0015,.11,.12
ET,p12p13,2023,50670.7,32195,.0027,.0017,.12,.13
ET,p13p14,2023,52807.60000000001,36487.6,.0028,.0019,.13,.14
ET,p14p15,2023,54734.3,40780.3,.0029,.0022,.14,.15
ET,p15p16,2023,56716.9,45073,.003,.0024,.15,.16
ET,p16p17,2023,58764.4,49365.60000000001,.0031,.0026,.16,.17
ET,p17p18,2023,60736.9,53658.3,.0032,.0029,.17,.18
ET,p18p19,2023,62748.60000000001,57951,.0033,.0031,.18,.19
ET,p19p20,2023,64589.3,62243.60000000001,.0034,.0033,.19,.2
ET,p1p2,2023,16267.7,0,.0009,0,.01,.02
ET,p20p21,2023,66570.8,64389.9,.0036,.0034,.2,.21
ET,p21p22,2023,68319.8,66186.3,.0036,.0035,.21,.22
ET,p22p23,2023,70156,68069.5,.0037,.0036,.22,.23
ET,p23p24,2023,71993.40000000001,69951.10000000001,.0038,.0037,.23,.24
ET,p24p25,2023,73974.90000000001,71976.3,.0039,.0038,.24,.25
ET,p25p26,2023,75972,74015.3,.0041,.0039,.25,.26
ET,p26p27,2023,77889.8,75997.7,.0042,.0041,.26,.27
ET,p27p28,2023,79712.60000000001,77881.8,.0043,.0042,.27,.28
ET,p28p29,2023,81555.5,79783.8,.0043,.0043,.28,.29
ET,p29p30,2023,83313.5,81596.90000000001,.0044,.0044,.29,.3
ET,p2p3,2023,22154.1,0,.0012,0,.02,.03
ET,p30p31,2023,85184.40000000001,83521.60000000001,.0045,.0045,.3,.31
ET,p31p32,2023,86924.5,85334.8,.0046,.0046,.31,.32
ET,p32p33,2023,88701.40000000001,87184.70000000001,.0047,.0046,.32,.33
ET,p33p34,2023,90511.90000000001,89069.40000000001,.0048,.0048,.33,.34
ET,p34p35,2023,92368.3,91000.5,.0049,.0049,.34,.35
ET,p35p36,2023,94164.20000000001,92870,.005,.005,.35,.36
ET,p36p37,2023,96048.5,94751,.0051,.0051,.36,.37
ET,p37p38,2023,97814.3,96509.8,.0052,.0051,.37,.38
ET,p38p39,2023,99858.40000000001,98551.20000000001,.0053,.0053,.38,.39
ET,p39p40,2023,101798.6,100487.7,.0054,.0054,.39,.4
ET,p3p4,2023,26450.2,0,.0014,0,.03,.04
ET,p40p41,2023,103775.6,102459.6,.0055,.0055,.4,.41
ET,p41p42,2023,105890.1,104593.2,.0056,.0056,.41,.42
ET,p42p43,2023,107912.9,106635.9,.0058,.0057,.42,.43
ET,p43p44,2023,110076.6,108820.1,.0059,.0058,.43,.44
ET,p44p45,2023,112278.3,111042.6,.006,.0059,.44,.45
ET,p45p46,2023,114382.7,113167.1,.0061,.006,.45,.46
ET,p46p47,2023,116281.5,115166.2,.0062,.0061,.46,.47
ET,p47p48,2023,118169.1,117154.2,.0063,.0062,.47,.48
ET,p48p49,2023,120260.1,119348.1,.0064,.0064,.48,.49
ET,p49p50,2023,122535.6,121728.9,.0065,.0065,.49,.5
ET,p4p5,2023,29930.4,0,.0016,0,.04,.05
ET,p50p51,2023,124932.8,124234.8,.0067,.0066,.5,.51
ET,p51p52,2023,127046.2,126463.7,.0068,.0067,.51,.52
ET,p52p53,2023,129307.1,128846.3,.0069,.0069,.52,.53
ET,p53p54,2023,131652.9,131315.3,.007,.007,.53,.54
ET,p54p55,2023,134052.4,133842.1,.0071,.0071,.54,.55
ET,p55p56,2023,136374.8,136290.3,.0073,.0073,.55,.5600000000000001
ET,p56p57,2023,138768.7,138761,.0074,.0074,.5600000000000001,.57
ET,p57p58,2023,141442,141514.8,.0075,.0075,.57,.58
ET,p58p59,2023,144203.5,144361.2,.0077,.0077,.58,.59
ET,p59p60,2023,146788.5,147030.1,.0078,.0078,.59,.6
ET,p5p6,2023,33139,2146.3,.0018,.0001,.05,.06
ET,p60p61,2023,149633.9,149965.8,.008,.008,.6,.61
ET,p61p62,2023,152500.6,152937.6,.0081,.0082,.61,.62
ET,p62p63,2023,155493.5,156040.9,.0083,.0083,.62,.63
ET,p63p64,2023,158448.4,159107.3,.0085,.0085,.63,.64
ET,p64p65,2023,161728.6,162505.9,.0086,.0087,.64,.65
ET,p65p66,2023,165235.6,166138.8,.0088,.0089,.65,.66
ET,p66p67,2023,168666.6,169733.9,.009,.0091,.66,.67
