country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
FI,p0p1,2023,20708.5,0,.004,0,0,.01
FI,p10p11,2023,30744.4,9287.6,.0059,.0018,.1,.11
FI,p11p12,2023,30954.2,10976.3,.006,.0021,.11,.12
FI,p12p13,2023,31017.5,12664.9,.006,.0024,.12,.13
FI,p13p14,2023,31385.5,14353.6,.0061,.0028,.13,.14
FI,p14p15,2023,31867.8,16042.3,.0061,.0031,.14,.15
FI,p15p16,2023,32263.6,17730.9,.0062,.0034,.15,.16
FI,p16p17,2023,32738.2,19419.6,.0063,.0037,.16,.17
FI,p17p18,2023,33351.8,21108.2,.0064,.0041,.17,.18
FI,p18p19,2023,33652.8,22796.9,.0065,.0044,.18,.19
FI,p19p20,2023,34130.4,24485.6,.0066,.0047,.19,.2
FI,p1p2,2023,20719.3,0,.004,0,.01,.02
FI,p20p21,2023,34682.3,25329.9,.0067,.0049,.2,.21
FI,p21p22,2023,34796.9,25891.2,.0067,.005,.21,.22
FI,p22p23,2023,34818.5,26332.6,.0067,.0051,.22,.23
FI,p23p24,2023,34824.7,26670.2,.0067,.0051,.23,.24
FI,p24p25,2023,34861.5,27011.8,.0067,.0052,.24,.25
FI,p25p26,2023,34956.9,27577,.0067,.0053,.25,.26
FI,p26p27,2023,35327.7,28015.5,.0068,.0054,.26,.27
FI,p27p28,2023,35798,28567.8,.0069,.0055,.27,.28
FI,p28p29,2023,36331.3,29188,.007,.0056,.28,.29
FI,p29p30,2023,37044.7,30019.9,.0071,.0058,.29,.3
FI,p2p3,2023,21132.1,0,.0041,0,.02,.03
FI,p30p31,2023,37519.6,30553.3,.0072,.0059,.3,.31
FI,p31p32,2023,37833.2,30929.8,.0073,.006,.31,.32
FI,p32p33,2023,38255.9,31435.2,.0074,.0061,.32,.33
FI,p33p34,2023,38872.6,32172.2,.0075,.0062,.33,.34
FI,p34p35,2023,39274.9,32648.6,.0076,.0063,.34,.35
FI,p35p36,2023,39647.5,33088.1,.0076,.0064,.35,.36
FI,p36p37,2023,39925.9,33483.6,.0077,.0065,.36,.37
FI,p37p38,2023,40075.10000000001,33724.3,.0077,.0065,.37,.38
FI,p38p39,2023,40415.60000000001,34195.7,.0078,.0066,.38,.39
FI,p39p40,2023,40779,34695,.0079,.0067,.39,.4
FI,p3p4,2023,22500.3,0,.0043,0,.03,.04
FI,p40p41,2023,41189,35250.3,.0079,.0068,.4,.41
FI,p41p42,2023,41699.10000000001,35952.4,.008,.0069,.41,.42
FI,p42p43,2023,42223.10000000001,36670.5,.0081,.0071,.42,.43
FI,p43p44,2023,42602.60000000001,37212.8,.0082,.0072,.43,.44
FI,p44p45,2023,43157.5,37962.9,.0083,.0073,.44,.45
FI,p45p46,2023,43705,38699.9,.0084,.0075,.45,.46
FI,p46p47,2023,44149.3,39353.10000000001,.0085,.0076,.46,.47
FI,p47p48,2023,44614.9,40027.3,.0086,.0077,.47,.48
FI,p48p49,2023,45041,40650.5,.0087,.0078,.48,.49
FI,p49p50,2023,45480,41286.7,.0088,.008,.49,.5
FI,p4p5,2023,24160.1,0,.0047,0,.04,.05
FI,p50p51,2023,45866.3,41856.9,.0088,.0081,.5,.51
FI,p51p52,2023,46105.4,42266.4,.0089,.0082,.51,.52
FI,p52p53,2023,46665,43058.4,.009,.0083,.52,.53
FI,p53p54,2023,47260.7,43894.4,.0091,.0085,.53,.54
FI,p54p55,2023,48155.2,45088.8,.0093,.0087,.54,.55
FI,p55p56,2023,49457.2,46776.7,.0095,.009,.55,.5600000000000001
FI,p56p57,2023,49461.5,47117.3,.0095,.0091,.5600000000000001,.57
FI,p57p58,2023,49554.5,47234.10000000001,.0096,.0091,.57,.58
FI,p58p59,2023,50432.3,48634.4,.0097,.0094,.58,.59
FI,p59p60,2023,51267.8,49954.7,.0099,.0096,.59,.6
FI,p5p6,2023,25377.1,844.3000000000001,.0049,.0002,.05,.06
FI,p60p61,2023,51337,50377.10000000001,.0099,.0097,.6,.61
FI,p61p62,2023,51418.9,50378.10000000001,.0099,.0097,.61,.62
FI,p62p63,2023,51485.3,50825.60000000001,.0099,.0098,.62,.63
FI,p63p64,2023,52019.5,51817.3,.01,.01,.63,.64
FI,p64p65,2023,52564.3,52751.10000000001,.0101,.0102,.64,.65
FI,p65p66,2023,53637.3,54328.10000000001,.0103,.0105,.65,.66
FI,p66p67,2023,54294.10000000001,55714.4,.0105,.0107,.66,.67
FI,p67p68,2023,54554.2,56297.60000000001,.0105,.0109,.67,.68
FI,p68p69,2023,54560.9,56298.60000000001,.0105,.0109,.68,.6899999999999999
FI,p69p70,2023,54804.60000000001,56299.60000000001,.0106,.0109,.6899999999999999,.7
FI,p6p7,2023,26630.3,2533,.0051,.0005,.06,.07
FI,p70p71,2023,54883.3,57338.3,.0106,.0111,.7,.71
FI,p71p72,2023,55161,58012.5,.0106,.0112,.71,.72
FI,p72p73,2023,55645.10000000001,58954.3,.0107,.0114,.72,.73
FI,p73p74,2023,57659.10000000001,61777.7,.0111,.0119,.73,.74
FI,p74p75,2023,58562.4,64026.8,.0113,.0124,.74,.75
FI,p75p76,2023,58827.2,64027.8,.0113,.0124,.75,.76
FI,p76p77,2023,59175.10000000001,64028.8,.0114,.0124,.76,.77
FI,p77p78,2023,59531.4,65572.90000000001,.0115,.0126,.77,.78
FI,p78p79,2023,61570.3,68478.2,.0119,.0132,.78,.79
FI,p79p80,2023,62295,69797.5,.012,.0135,.79,.8
FI,p7p8,2023,27457.8,4221.6,.0053,.0008,.07,.08
FI,p80p81,2023,62519.60000000001,70527.60000000001,.0121,.0136,.8,.8100000000000001
FI,p81p82,2023,62558.7,71048.90000000001,.0121,.0137,.8100000000000001,.82
FI,p82p83,2023,64303.3,73753.5,.0124,.0142,.82,.83
FI,p83p84,2023,67076.10000000001,77816.40000000001,.0129,.015,.83,.84
FI,p84p85,2023,67427.5,78847.10000000001,.013,.0152,.84,.85
FI,p85p86,2023,69319.3,82330.60000000001,.0134,.0159,.85,.86
FI,p86p87,2023,69363.10000000001,82444.5,.0134,.0159,.86,.87
FI,p87p88,2023,69630.2,83073.70000000001,.0134,.016,.87,.88
FI,p88p89,2023,69661.2,84014.5,.0134,.0162,.88,.89
FI,p89p90,2023,73799.3,90143.70000000001,.0142,.0174,.89,.9
FI,p8p9,2023,28314.6,5910.3,.0055,.0011,.08,.09
FI,p90p91,2023,75366.10000000001,92902.20000000001,.0145,.0179,.9,.91
FI,p91p92,2023,77290.5,96225,.0149,.0186,.91,.92
FI,p92p93,2023,79681.70000000001,100250.9,.0154,.0193,.92,.93
FI,p93p94,2023,82723.3,105252.6,.016,.0203,.93,.9399999999999999
FI,p94p95,2023,86715.20000000001,111672.5,.0167,.0215,.9399999999999999,.95
FI,p95p96,2023,92192.8,120295.5,.0178,.0232,.95,.96
FI,p96p97,2023,99952.20000000001,132675.8,.0193,.0256,.96,.97
FI,p97p98,2023,112701.9,152490.7,.0217,.0294,.97,.98
FI,p98p99,2023,138589.1,191773.9,.0267,.037,.98,.99
FI,p99.1p99.2,2023,170090.4,244396.2,.0033,.0047,.991,.992
FI,p99.2p99.3,2023,177135.8,258455.4,.0034,.005,.992,.993
FI,p99.3p99.4,2023,185571.8,275051.4,.0036,.0053,.993,.9940000000000001
FI,p99.4p99.5,2023,196311.8,295312.7,.0038,.0057,.9940000000000001,.995
FI,p99.5p99.6,2023,213293.2,325901.9,.0041,.0063,.995,.996
FI,p99.6p99.7,2023,238910.2,371082.6,.0046,.0072,.996,.997
FI,p99.7p99.8,2023,315744.4,496914.2,.0061,.0096,.997,.998
FI,p99.8p99.9,2023,408148.4,645201.2000000001,.0079,.0124,.998,.9990000000000001
FI,p99.9p100,2023,1091627.5,1741895.3,.0211,.0336,.9990000000000001,1
FI,p99p99.1,2023,164242.2,232431.4,.0032,.0045,.99,.991
FI,p9p10,2023,29559.1,7599,.0057,.0015,.09,.1
