country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
FJ,p0p1,2023,662.9000000000001,0,.0004,0,0,.01
FJ,p10p11,2023,2405.1,1593.3,.0013,.0009,.1,.11
FJ,p11p12,2023,2611.2,1883.1,.0015,.0011,.11,.12
FJ,p12p13,2023,2824,2172.7,.0016,.0012,.12,.13
FJ,p13p14,2023,3043,2462.3,.0017,.0014,.13,.14
FJ,p14p15,2023,3268.6,2752.1,.0018,.0015,.14,.15
FJ,p15p16,2023,3500.7,3041.8,.002,.0017,.15,.16
FJ,p16p17,2023,3737.7,3331.5,.0021,.0019,.16,.17
FJ,p17p18,2023,3981.3,3621.2,.0022,.002,.17,.18
FJ,p18p19,2023,4231.5,3910.9,.0024,.0022,.18,.19
FJ,p19p20,2023,4488.5,4200.6,.0025,.0023,.19,.2
FJ,p1p2,2023,783.7,0,.0004,0,.01,.02
FJ,p20p21,2023,4751.900000000001,4345.400000000001,.0027,.0024,.2,.21
FJ,p21p22,2023,5002.900000000001,4605.400000000001,.0028,.0026,.21,.22
FJ,p22p23,2023,5257.5,4869,.0029,.0027,.22,.23
FJ,p23p24,2023,5516.400000000001,5136.3,.0031,.0029,.23,.24
FJ,p24p25,2023,5779,5406.6,.0032,.003,.24,.25
FJ,p25p26,2023,6045,5680.1,.0034,.0032,.25,.26
FJ,p26p27,2023,6315.6,5956.3,.0035,.0033,.26,.27
FJ,p27p28,2023,6589.5,6235,.0037,.0035,.27,.28
FJ,p28p29,2023,6866.400000000001,6516.3,.0038,.0036,.28,.29
FJ,p29p30,2023,7145.8,6799.3,.004,.0038,.29,.3
FJ,p2p3,2023,914.5,0,.0005,0,.02,.03
FJ,p30p31,2023,7427.700000000001,7084.3,.0041,.004,.3,.31
FJ,p31p32,2023,7705.8,7370.5,.0043,.0041,.31,.32
FJ,p32p33,2023,7984.8,7657.900000000001,.0045,.0043,.32,.33
FJ,p33p34,2023,8265,7945.900000000001,.0046,.0044,.33,.34
FJ,p34p35,2023,8545.9,8234.4,.0048,.0046,.34,.35
FJ,p35p36,2023,8827.1,8522.700000000001,.0049,.0048,.35,.36
FJ,p36p37,2023,9105.5,8810.800000000001,.0051,.0049,.36,.37
FJ,p37p38,2023,9383.700000000001,9097.800000000001,.0052,.0051,.37,.38
FJ,p38p39,2023,9661.1,9383.6,.0054,.0052,.38,.39
FJ,p39p40,2023,9937,9667.800000000001,.0055,.0054,.39,.4
FJ,p3p4,2023,1056.6,0,.0006,0,.03,.04
FJ,p40p41,2023,10211.3,9949.700000000001,.0057,.0056,.4,.41
FJ,p41p42,2023,10478.1,10228.9,.0058,.0057,.41,.42
FJ,p42p43,2023,10742,10505.1,.006,.0059,.42,.43
FJ,p43p44,2023,11002.4,10777.6,.0061,.006,.43,.44
FJ,p44p45,2023,11259,11046.2,.0063,.0062,.44,.45
FJ,p45p46,2023,11511.5,11310,.0064,.0063,.45,.46
FJ,p46p47,2023,11761.5,11568.9,.0066,.0065,.46,.47
FJ,p47p48,2023,12006.6,11822.5,.0067,.0066,.47,.48
FJ,p48p49,2023,12246,12070,.0068,.0067,.48,.49
FJ,p49p50,2023,12479.7,12311.4,.007,.0069,.49,.5
FJ,p4p5,2023,1210.6,0,.0007,0,.04,.05
FJ,p50p51,2023,12707.3,12546.3,.0071,.007,.5,.51
FJ,p51p52,2023,12926.1,12774.2,.0072,.0071,.51,.52
FJ,p52p53,2023,13138.1,12995,.0073,.0073,.52,.53
FJ,p53p54,2023,13343.5,13208.6,.0074,.0074,.53,.54
FJ,p54p55,2023,13541.4,13414.5,.0076,.0075,.54,.55
FJ,p55p56,2023,13731.6,13612.7,.0077,.0076,.55,.5600000000000001
FJ,p56p57,2023,13913.4,13802.7,.0078,.0077,.5600000000000001,.57
FJ,p57p58,2023,14087.4,13984.7,.0079,.0078,.57,.58
FJ,p58p59,2023,14253.3,14158.2,.008,.0079,.58,.59
FJ,p59p60,2023,14411.1,14323.2,.008,.008,.59,.6
FJ,p5p6,2023,1376.6,144.8,.0008,.0001,.05,.06
FJ,p60p61,2023,14560.7,14479.4,.0081,.0081,.6,.61
FJ,p61p62,2023,14699.5,14627,.0082,.0082,.61,.62
FJ,p62p63,2023,14830.6,14765.7,.0083,.0082,.62,.63
FJ,p63p64,2023,14952.9,14895.7,.0083,.0083,.63,.64
FJ,p64p65,2023,15066.8,15017,.0084,.0084,.64,.65
FJ,p65p66,2023,15173,15129.8,.0085,.0084,.65,.66
FJ,p66p67,2023,15270.7,15234.3,.0085,.0085,.66,.67
FJ,p67p68,2023,15360.8,15330.8,.0086,.0086,.67,.68
FJ,p68p69,2023,15444.3,15420,.0086,.0086,.68,.6899999999999999
FJ,p69p70,2023,15521.2,15502.4,.0087,.0087,.6899999999999999,.7
FJ,p6p7,2023,1555.2,434.6,.0009,.0002,.06,.07
FJ,p70p71,2023,15592.8,15579.1,.0087,.0087,.7,.71
FJ,p71p72,2023,15659.6,15651.3,.0087,.0087,.71,.72
FJ,p72p73,2023,15723.8,15720.4,.0088,.0088,.72,.73
FJ,p73p74,2023,15787.4,15788.6,.0088,.0088,.73,.74
FJ,p74p75,2023,15852.3,15858.2,.0088,.0089,.74,.75
FJ,p75p76,2023,15922.3,15932.5,.0089,.0089,.75,.76
FJ,p76p77,2023,16003.1,16015.8,.0089,.0089,.76,.77
FJ,p77p78,2023,16098,16113.2,.009,.009,.77,.78
FJ,p78p79,2023,16212.8,16231.7,.009,.0091,.78,.79
FJ,p79p80,2023,16356.4,16379.7,.0091,.0091,.79,.8
FJ,p7p8,2023,1746.8,724.2,.001,.0004,.07,.08
FJ,p80p81,2023,16539.1,16568.3,.0092,.0092,.8,.8100000000000001
FJ,p81p82,2023,16777,16812.1,.0094,.0094,.8100000000000001,.82
FJ,p82p83,2023,17085.7,17129.7,.0095,.0096,.82,.83
FJ,p83p84,2023,17489.3,17545.7,.0098,.0098,.83,.84
FJ,p84p85,2023,18018.1,18091.7,.0101,.0101,.84,.85
FJ,p85p86,2023,18712.7,18810.3,.0104,.0105,.85,.86
FJ,p86p87,2023,19627.9,19756.8,.011,.011,.86,.87
FJ,p87p88,2023,20833.5,21005.3,.0116,.0117,.87,.88
FJ,p88p89,2023,22424.4,22654.3,.0125,.0126,.88,.89
FJ,p89p90,2023,24525.5,24833,.0137,.0139,.89,.9
FJ,p8p9,2023,1952.1,1013.9,.0011,.0006,.08,.09
FJ,p90p91,2023,27300.1,27711.4,.0152,.0155,.9,.91
FJ,p91p92,2023,30973,31513.7,.0173,.0176,.91,.92
FJ,p92p93,2023,35839.8,36551.1,.02,.0204,.92,.93
FJ,p93p94,2023,42328.9,43265.60000000001,.0236,.0241,.93,.9399999999999999
FJ,p94p95,2023,51061.2,52296.5,.0285,.0292,.9399999999999999,.95
FJ,p95p96,2023,62953.2,64588.7,.0351,.036,.95,.96
FJ,p96p97,2023,79330.8,81561.70000000001,.0443,.0455,.96,.97
FJ,p97p98,2023,102324.9,105377.5,.0571,.0588,.97,.98
FJ,p98p99,2023,135229.1,139434.5,.0755,.0778,.98,.99
FJ,p99.1p99.2,2023,164374.1,169551.1,.0092,.0095,.991,.992
FJ,p99.2p99.3,2023,170416.2,175815.9,.0095,.0098,.992,.993
FJ,p99.3p99.4,2023,177590.9,183253.8,.0099,.0102,.993,.9940000000000001
FJ,p99.4p99.5,2023,186732.5,192730.5,.0104,.0108,.9940000000000001,.995
FJ,p99.5p99.6,2023,199492.4,205957,.0111,.0115,.995,.996
FJ,p99.6p99.7,2023,219486.5,226679.3,.0122,.0127,.996,.997
FJ,p99.7p99.8,2023,255842.1,264355.9,.0143,.0148,.997,.998
FJ,p99.8p99.9,2023,335707.5,347119.6,.0187,.0194,.998,.9990000000000001
FJ,p99.9p100,2023,920662.9,953291.8,.0514,.0532,.9990000000000001,1
FJ,p99p99.1,2023,159007.2,163986.4,.0089,.0092,.99,.991
FJ,p9p10,2023,2171.2,1303.6,.0012,.0007,.09,.1
