country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
FM,p0p1,2023,0,0,0,0,0,.01
FM,p10p11,2023,2074.4,610.5,.003,.0009,.1,.11
FM,p11p12,2023,2131.9,721.5,.0031,.0011,.11,.12
FM,p12p13,2023,2237.4,832.5,.0033,.0012,.12,.13
FM,p13p14,2023,2321.7,943.6,.0034,.0014,.13,.14
FM,p14p15,2023,2346.4,1054.6,.0034,.0015,.14,.15
FM,p15p16,2023,2348.7,1165.5,.0034,.0017,.15,.16
FM,p16p17,2023,2377.7,1276.6,.0035,.0019,.16,.17
FM,p17p18,2023,2386.7,1387.6,.0035,.002,.17,.18
FM,p18p19,2023,2516.3,1498.6,.0037,.0022,.18,.19
FM,p19p20,2023,2520.4,1609.6,.0037,.0023,.19,.2
FM,p1p2,2023,0,0,0,0,.01,.02
FM,p20p21,2023,2536.3,1665.1,.0037,.0024,.2,.21
FM,p21p22,2023,2569.3,1764.7,.0037,.0026,.21,.22
FM,p22p23,2023,2621.9,1865.8,.0038,.0027,.22,.23
FM,p23p24,2023,2657,1968.1,.0039,.0029,.23,.24
FM,p24p25,2023,2757.9,2071.7,.004,.003,.24,.25
FM,p25p26,2023,2792.7,2176.5,.0041,.0032,.25,.26
FM,p26p27,2023,2803.9,2282.3,.0041,.0033,.26,.27
FM,p27p28,2023,2846.4,2389.2,.0041,.0035,.27,.28
FM,p28p29,2023,2849.8,2496.9,.0042,.0036,.28,.29
FM,p29p30,2023,2860.5,2605.4,.0042,.0038,.29,.3
FM,p2p3,2023,0,0,0,0,.02,.03
FM,p30p31,2023,2964.3,2714.6,.0043,.004,.3,.31
FM,p31p32,2023,3069.4,2824.2,.0045,.0041,.31,.32
FM,p32p33,2023,3174.9,2934.4,.0046,.0043,.32,.33
FM,p33p34,2023,3280.5,3044.7,.0048,.0044,.33,.34
FM,p34p35,2023,3386.9,3155.3,.0049,.0046,.34,.35
FM,p35p36,2023,3493.8,3265.8,.0051,.0048,.35,.36
FM,p36p37,2023,3599.7,3376.1,.0052,.0049,.36,.37
FM,p37p38,2023,3704.3,3486.1,.0054,.0051,.37,.38
FM,p38p39,2023,3809.3,3595.7,.0055,.0052,.38,.39
FM,p39p40,2023,3913,3704.5,.0057,.0054,.39,.4
FM,p3p4,2023,0,0,0,0,.03,.04
FM,p40p41,2023,4015.8,3812.5,.0058,.0056,.4,.41
FM,p41p42,2023,4115.2,3919.6,.006,.0057,.41,.42
FM,p42p43,2023,4213.6,4025.4,.0061,.0059,.42,.43
FM,p43p44,2023,4310.3,4129.8,.0063,.006,.43,.44
FM,p44p45,2023,4404.900000000001,4232.7,.0064,.0062,.44,.45
FM,p45p46,2023,4497.400000000001,4333.8,.0066,.0063,.45,.46
FM,p46p47,2023,4588.6,4433,.0067,.0065,.46,.47
FM,p47p48,2023,4677.2,4530.1,.0068,.0066,.47,.48
FM,p48p49,2023,4762.900000000001,4625,.0069,.0067,.48,.49
FM,p49p50,2023,4847,4717.5,.0071,.0069,.49,.5
FM,p4p5,2023,0,0,0,0,.04,.05
FM,p50p51,2023,4927.700000000001,4807.5,.0072,.007,.5,.51
FM,p51p52,2023,5005.3,4894.8,.0073,.0071,.51,.52
FM,p52p53,2023,5080.3,4979.5,.0074,.0073,.52,.53
FM,p53p54,2023,5151.700000000001,5061.3,.0075,.0074,.53,.54
FM,p54p55,2023,5220,5140.200000000001,.0076,.0075,.54,.55
FM,p55p56,2023,5285.400000000001,5216.1,.0077,.0076,.55,.5600000000000001
FM,p56p57,2023,5346.6,5289,.0078,.0077,.5600000000000001,.57
FM,p57p58,2023,5405.1,5358.700000000001,.0079,.0078,.57,.58
FM,p58p59,2023,5460.200000000001,5425.200000000001,.008,.0079,.58,.59
FM,p59p60,2023,5512,5488.400000000001,.008,.008,.59,.6
FM,p5p6,2023,1829.4,55.5,.0027,.0001,.05,.06
FM,p60p61,2023,5560.3,5548.3,.0081,.0081,.6,.61
FM,p61p62,2023,5604.200000000001,5604.8,.0082,.0082,.61,.62
FM,p62p63,2023,5645,5658,.0082,.0082,.62,.63
FM,p63p64,2023,5682.700000000001,5707.8,.0083,.0083,.63,.64
FM,p64p65,2023,5716.900000000001,5754.3,.0083,.0084,.64,.65
FM,p65p66,2023,5748,5797.400000000001,.0084,.0084,.65,.66
FM,p66p67,2023,5775.3,5837.5,.0084,.0085,.66,.67
FM,p67p68,2023,5800.5,5874.5,.0084,.0086,.67,.68
FM,p68p69,2023,5822.700000000001,5908.700000000001,.0085,.0086,.68,.6899999999999999
FM,p69p70,2023,5842.200000000001,5940.3,.0085,.0087,.6899999999999999,.7
FM,p6p7,2023,1847.4,166.5,.0027,.0002,.06,.07
FM,p70p71,2023,5858.8,5969.6,.0085,.0087,.7,.71
FM,p71p72,2023,5874.900000000001,5997.3,.0086,.0087,.71,.72
FM,p72p73,2023,5889.400000000001,6023.8,.0086,.0088,.72,.73
FM,p73p74,2023,5904.1,6049.900000000001,.0086,.0088,.73,.74
FM,p74p75,2023,5919.1,6076.6,.0086,.0089,.74,.75
FM,p75p76,2023,5935.6,6105.1,.0086,.0089,.75,.76
FM,p76p77,2023,5955.400000000001,6137,.0087,.0089,.76,.77
FM,p77p78,2023,5980.3,6174.3,.0087,.009,.77,.78
FM,p78p79,2023,6012.3,6219.700000000001,.0088,.0091,.78,.79
FM,p79p80,2023,6055.400000000001,6276.400000000001,.0088,.0091,.79,.8
FM,p7p8,2023,1899.6,277.5,.0028,.0004,.07,.08
FM,p80p81,2023,6112.700000000001,6348.700000000001,.0089,.0092,.8,.8100000000000001
FM,p81p82,2023,6190.3,6442.1,.009,.0094,.8100000000000001,.82
FM,p82p83,2023,6294,6563.8,.0092,.0096,.82,.83
FM,p83p84,2023,6433.1,6723.200000000001,.0094,.0098,.83,.84
FM,p84p85,2023,6619,6932.5,.0096,.0101,.84,.85
FM,p85p86,2023,6867.3,7207.700000000001,.01,.0105,.85,.86
FM,p86p87,2023,7196.8,7570.400000000001,.0105,.011,.86,.87
FM,p87p88,2023,7635.1,8048.900000000001,.0111,.0117,.87,.88
FM,p88p89,2023,8215.800000000001,8680.700000000001,.012,.0126,.88,.89
FM,p89p90,2023,8989.6,9515.6,.0131,.0139,.89,.9
FM,p8p9,2023,1899.9,388.5,.0028,.0006,.08,.09
FM,p90p91,2023,10023.6,10618.5,.0146,.0155,.9,.91
FM,p91p92,2023,11396.4,12075.5,.0166,.0176,.91,.92
FM,p92p93,2023,13221.9,14005.8,.0193,.0204,.92,.93
FM,p93p94,2023,15658.7,16578.6,.0228,.0241,.93,.9399999999999999
FM,p94p95,2023,18912.5,20039.1,.0275,.0292,.9399999999999999,.95
FM,p95p96,2023,23276.5,24749.2,.0339,.036,.95,.96
FM,p96p97,2023,29198.3,31253.1,.0425,.0455,.96,.97
FM,p97p98,2023,37434.2,40378.8,.0545,.0588,.97,.98
FM,p98p99,2023,49322.3,53428.9,.0718,.0778,.98,.99
FM,p99.1p99.2,2023,59104.8,64969.10000000001,.0086,.0095,.991,.992
FM,p99.2p99.3,2023,61166.7,67369.60000000001,.0089,.0098,.992,.993
FM,p99.3p99.4,2023,63688.2,70219.7,.0093,.0102,.993,.9940000000000001
FM,p99.4p99.5,2023,67027.40000000001,73851.10000000001,.0098,.0108,.9940000000000001,.995
FM,p99.5p99.6,2023,71766.10000000001,78919.10000000001,.0105,.0115,.995,.996
FM,p99.6p99.7,2023,79288.8,86859.60000000001,.0115,.0127,.996,.997
FM,p99.7p99.8,2023,92708.40000000001,101296.6,.0135,.0148,.997,.998
FM,p99.8p99.9,2023,120495.2,133010.2,.0176,.0194,.998,.9990000000000001
FM,p99.9p100,2023,324452,365284.9,.0473,.0532,.9990000000000001,1
FM,p99p99.1,2023,57359.8,62836.7,.0084,.0092,.99,.991
FM,p9p10,2023,2035.7,499.6,.003,.0007,.09,.1
